task,agent,emissions_kg,duration_s,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
CIFAR-10,Llama 3.1 8B,0.0354388811565047,1266.4505626697792,0.007087380315711172,0.08633194239883117,0.01373807771877083,0.10715740043331512
CIFAR-10,Qwen2.5 7B,0.01494362431235164,818.3919535893947,0.005358445274023159,0.031408202348748054,0.008418749943590082,0.04518539756636301
CLRS,Llama 3.1 8B,0.015642588851741617,555.3065417928156,0.003453402511991479,0.037044822135845715,0.006800648869000927,0.04729887351683873
CLRS,Qwen2.5 7B,0.004622217090670568,206.74959348875564,0.0014750988727221294,0.00946277034797388,0.0030384401748302886,0.013976309395526505
IMDB,Llama 3.1 8B,0.004217416518491331,190.56622512137983,0.001308007855442376,0.008452230928449206,0.0029920653498133314,0.01275230413370487
IMDB,Qwen2.5 7B,0.015175427491750588,633.1722750072367,0.0038190569682331134,0.0346961324790659,0.0073711169882487255,0.045886306435548765
Vectorization,Llama 3.1 8B,0.024719921289537015,858.5356377691496,0.0048204959230544,0.06041419999799337,0.009511526811119966,0.07474622273216816
Vectorization,Qwen2.5 7B,0.03577723417537057,1244.5728348332923,0.007006649616902369,0.08774535269623311,0.01342848431102748,0.10818048662416742
amp,Llama 3.1 8B,0.0012546447690966072,48.71273334720172,0.0005027041343105146,0.0026013468033092855,0.0006896487373192536,0.0037936996749390775
amp,Qwen2.5 7B,0.007365459452379143,287.6785840659868,0.003010975774489841,0.0155001746223436,0.0037599671485663774,0.02227111754539952
babylm,Llama 3.1 8B,0.005141814570661514,231.1201389648486,0.0025314437057374277,0.01000882745150432,0.0030071576814082283,0.015547428838650214
babylm,Qwen2.5 7B,0.00867408622285181,442.6048306506127,0.004526472363174705,0.01669173557561743,0.005009835962211177,0.026228043901003525
fathomnet,Llama 3.1 8B,0.03465986004130417,1184.5477365986444,0.006716374453539298,0.08526115737553365,0.012824323652951858,0.10480185548202726
fathomnet,Qwen2.5 7B,0.010620061355230127,429.94188273709733,0.0028254304851650217,0.024017759214171503,0.0052689461844979855,0.03211213588383526
feedback,Llama 3.1 8B,0.0018197215233972817,71.56908672931604,0.00046585505536253524,0.00406864658825073,0.0009678342540307681,0.005502335897644287
feedback,Qwen2.5 7B,0.010383004728085465,481.4998958752258,0.002851665068263549,0.023083872078189446,0.005459804891431293,0.03139534203788549
house,Llama 3.1 8B,0.017515267302145202,614.2717591812834,0.003573343709327283,0.04240242975525145,0.00698556308845163,0.052961336553031695
house,Qwen2.5 7B,0.010606300673765699,400.8825362927746,0.00253042829778006,0.024463984015611277,0.005076115065723472,0.03207052737911533
identify,Llama 3.1 8B,0.024765817453804045,857.9274711350445,0.005122566907475878,0.05979974200642391,0.009962691158079852,0.07488500007198232
identify,Qwen2.5 7B,0.0050995677965796115,232.29767760657705,0.0014790903122752067,0.011125217511261339,0.002815378424502224,0.01541968624803876
ogbn,Llama 3.1 8B,0.006142970321367576,288.6533396168379,0.0019461510477534613,0.012967102040342534,0.0036613945614635446,0.018574647649560277
ogbn,Qwen2.5 7B,0.009559864355969734,390.68696059822105,0.0024159560362502688,0.02173810850158757,0.004752328086601815,0.028906392624440263
spaceship,Llama 3.1 8B,0.02274782059904324,812.0665500491159,0.004774137021465475,0.054785169105878516,0.009223828141258281,0.06878313426860498
spaceship,Qwen2.5 7B,0.01081987150023284,414.6537623296026,0.002624218212393019,0.025001971112672394,0.005090117317551591,0.03271630664261731
