task,agent,emissions_kg,duration_s,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
CIFAR-10,Llama 3.1 8B,0.005362643837609222,217.8326185136102,0.0019196984657687051,0.01146925250870066,0.002826204649380925,0.016215155623850924
CIFAR-10,Qwen2.5 7B,0.017885567732585258,819.8808087380603,0.004764696500993758,0.0401768463081675,0.009139480094294104,0.05408102290345625
CLRS,Llama 3.1 8B,0.004508643113646024,168.8383364486508,0.0015000878097177596,0.00972942389463036,0.002403381315219061,0.013632893019567443
CLRS,Qwen2.5 7B,0.004221129152985588,160.36753548868,0.0011262655258938107,0.009117628960763478,0.002519635629589256,0.012763530116246676
IMDB,Llama 3.1 8B,0.00500624462482695,210.06934304255992,0.0018285052237365716,0.010191398986447836,0.003117598510642183,0.015137502720826519
IMDB,Qwen2.5 7B,0.02319593825386349,1010.4620424653403,0.006124073249689536,0.052909404271938534,0.011104640917240928,0.07013811843887233
Vectorization,Llama 3.1 8B,0.009005639312758272,328.9095746935345,0.0027002006409211185,0.020567688954142273,0.00396267938744756,0.027230568982511753
Vectorization,Qwen2.5 7B,0.027591270802041427,983.8013535328209,0.007086556179172594,0.06581041181489021,0.010531423572293998,0.0834283915663593
amp,Llama 3.1 8B,0.002907806896923805,111.48706439509988,0.0009756465203955426,0.006397885396103392,0.0014188739910229588,0.008792405907521889
amp,Qwen2.5 7B,0.007584198583796095,299.2761648623273,0.00241572399552241,0.016834969856827836,0.0036818304849916697,0.022932524337342317
babylm,Llama 3.1 8B,0.00520854864185642,225.88727444503456,0.002051281660876237,0.010647491573547885,0.003050441026232201,0.015749214260656976
babylm,Qwen2.5 7B,0.0060684299580764664,292.82080564741045,0.0018091378136370056,0.012896344483668524,0.0036437758563976365,0.018349258153703654
fathomnet,Llama 3.1 8B,0.0020042487804787204,75.42685979232192,0.00060394633872864,0.004512040276295569,0.0009443088042717591,0.006060295419295838
fathomnet,Qwen2.5 7B,0.004673365305740095,170.43535375315696,0.0009869101718342676,0.011120503618591007,0.002023553697706468,0.014130967488132237
feedback,Llama 3.1 8B,0.0029743415396434143,113.03353163599968,0.0008647780694058085,0.006807179056855939,0.0013216311865704771,0.008993588312832625
feedback,Qwen2.5 7B,0.0168765561762883,594.1767539819703,0.003427996379346558,0.04072893674979026,0.006873117174410378,0.05103005030354917
house,Llama 3.1 8B,0.00019165857488430676,7.537679995410144,6.409813606291035e-05,0.00042785228671949997,8.757223665662524e-05,0.000579522659439
house,Qwen2.5 7B,0.009431667034335277,341.1471957922913,0.0021821164481190944,0.021916448922038808,0.0044201939182247334,0.028518759288383082
identify,Llama 3.1 8B,0.0002000934911131128,7.640359714161605,7.475145538766948e-05,0.00044054424132859997,8.973182253927612e-05,0.0006050275192555
identify,Qwen2.5 7B,0.003009626362066012,111.1206548223272,0.0006144966629120423,0.0072699844270894,0.0012157987921522697,0.0091002798821542
ogbn,Llama 3.1 8B,0.005862949745912923,238.43886302318424,0.002192433223701401,0.012201810594778843,0.0033336988574928055,0.017727942675972823
ogbn,Qwen2.5 7B,0.010541277043811267,394.0808816966601,0.0025042738604302344,0.024759277585243475,0.004610362413901646,0.0318739138595765
spaceship,Llama 3.1 8B,0.001609590039330095,61.66472557373345,0.0005436486514594674,0.0035278917111790193,0.0007954158941426107,0.0048669562567810205
spaceship,Qwen2.5 7B,0.0009804028285201243,37.68160078115761,0.00034147309952770293,0.002147180884392437,0.0004758137152077439,0.0029644676991279
