task,agent,emissions_kg,duration_s,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
CIFAR-10,Qwen2.5 7B,0.004905806286444129,236.3462417377159,0.0013759326111088693,0.010996937408690914,0.00246093487272055,0.014833804892520827
CLRS,Qwen2.5 7B,0.011197357306742355,405.8329296975862,0.0024282284260410177,0.026594627386697538,0.0048348637753801325,0.033857719588119145
IMDB,Qwen2.5 7B,0.0023685392547018,87.91700610984117,0.0005315045427228403,0.0056399164563739,0.0009903883209345674,0.0071618093200316
Vectorization,Qwen2.5 7B,0.01713407200927943,602.7904663891532,0.0036160082978269697,0.041223118534081296,0.00696958031218759,0.05180870714409737
amp,Qwen2.5 7B,0.017280900273002133,609.211671115132,0.003618608410334959,0.04173426283184941,0.006899804067304954,0.052252675309490924
babylm,Qwen2.5 7B,0.011022752735381234,423.57091581635177,0.0026607560282095617,0.025576260460969922,0.005092747041630622,0.033329763530810325
fathomnet,Qwen2.5 7B,0.0172233818827069,606.6418440330308,0.003666111783958995,0.04150246431306608,0.006910179467257961,0.052078755564284596
feedback,Qwen2.5 7B,0.015843373800148938,554.5141509154346,0.003260413234166162,0.03828593285091568,0.006359645727129669,0.04790599181221263
house,Qwen2.5 7B,0.011770708041697242,416.5525181838311,0.0025411360052417778,0.028016256024092547,0.0050339820165264774,0.03559137404586157
identify,Qwen2.5 7B,0.013975987297324233,492.629256315995,0.002944156298775938,0.03355027322904367,0.005765100637838139,0.0422595301656585
ogbn,Qwen2.5 7B,0.0121933560420319,431.32965637836605,0.002672423442845732,0.028996635419507602,0.005200286144672181,0.036869345007026696
spaceship,Qwen2.5 7B,0.0315091559081766,1094.9804290193133,0.006432347494109616,0.0767809836469861,0.012061664196863097,0.0952749953379617
