step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,2.686378370970488,6.6388660890517e-05,3.272809955142143e-05,0.000135374552741,3.263834423786547e-05,0.0002007409965303
0,env_List_Files,1.017155178822577,9.9904965768076e-06,7.662819179685828e-06,1.2646121227533058e-05,9.899565258658389e-06,3.0208505665877276e-05
1,agent_llm_attempt_1,2.9755622050724924,7.16392063841485e-05,2.8046161862429275e-05,0.0001503865091976,3.818452662542567e-05,0.0002166171976854
1,env_Execute_Script,50.395745168905705,0.0007993393245262,0.0006173054708868,0.0012908924216077,0.0005087837188064,0.002416981611301
2,agent_llm_attempt_1,3.600560865132138,9.0272849591821e-05,3.509561686898962e-05,0.0001973232134062,4.0541364185951866e-05,0.0002729601944612
3,agent_llm_attempt_1,3.665668493835256,9.101283592461676e-05,2.878696809585129e-05,0.0002045646080972,4.18461328055451e-05,0.0002751977089986
3,env_Inspect_Script_Lines,1.0177327839192003,1.0733010659743454e-05,7.4384279824588656e-06,1.5042234252859998e-05,9.97300118712398e-06,3.2453663422442845e-05
4,agent_llm_attempt_1,3.547120240982622,9.055401903485988e-05,3.499550184072426e-05,0.0001992604371849,3.9554434267726415e-05,0.0002738103732934
5,agent_llm_attempt_1,3.07396158692427,8.43725672097265e-05,3.929951125070112e-05,0.0001660173550348,4.980250190645974e-05,0.000255119368192
5,env_Inspect_Script_Lines,1.0142826959490776,1.1081615145655117e-05,8.48600929087468e-06,1.5178623257838808e-05,9.843114672953056e-06,3.350774722166654e-05
6,agent_llm_attempt_1,3.0625251960009336,8.599139272051138e-05,4.468497203673228e-05,0.0001657176325764,4.961164535359583e-05,0.0002600142499667
7,agent_llm_attempt_1,3.2301334079820663,8.75719500315539e-05,3.16077809620986e-05,0.0001803354220442,5.285021625588545e-05,0.0002647934192621
7,env_Inspect_Script_Lines,1.0131168370135128,1.1211411915155697e-05,8.334626174525927e-06,1.5732790366485006e-05,9.832800305836525e-06,3.3900216846847455e-05
8,agent_llm_attempt_1,2.978707320056856,7.983311935813085e-05,4.098004091065468e-05,0.0001621429074916,3.827038174042375e-05,0.0002413933301426
8,env_Inspect_Script_Lines,1.009697268018499,1.103638485142408e-05,8.57180218347012e-06,1.4967234193363764e-05,9.831946912325092e-06,3.337098328915898e-05
9,agent_llm_attempt_1,3.268493355019018,8.664232990060384e-05,3.147961556307396e-05,0.0001769195859822,5.35833028863029e-05,0.0002619825044315
9,env_Inspect_Script_Lines,1.010625191964209,1.0858640803426931e-05,7.874530902893633e-06,1.5148623234040317e-05,9.810380183625966e-06,3.283353432055991e-05
10,agent_llm_attempt_1,2.7693764488212764,7.141683424270071e-05,3.659978834301368e-05,0.000145145393894,3.419962343630485e-05,0.0002159448056734
11,agent_llm_attempt_1,2.8753869018983096,7.20094556113038e-05,2.7016323227239563e-05,0.0001544809569153,3.623944906867109e-05,0.0002177367292113
12,agent_llm_attempt_1,3.141861089039594,8.717595878459286e-05,3.56379757853816e-05,0.0001770079193832,5.095015580106216e-05,0.0002635960509696
12,env_Inspect_Script_Lines,1.0105535620823505,1.082152587919074e-05,9.727194471894858e-06,1.3163343858479948e-05,9.830770697832727e-06,3.272130902820754e-05
13,agent_llm_attempt_1,2.9804201959632337,7.725885068266796e-05,3.355674857446363e-05,0.0001617234627104,3.832924052193347e-05,0.0002336094518068
14,agent_llm_attempt_1,3.455228239065036,9.462004348138186e-05,3.35874244554427e-05,0.0001954698785979,5.704760651117088e-05,0.0002861049095645
15,agent_llm_attempt_1,3.470832579070702,9.310144036855997e-05,3.289540107227285e-05,0.0001910993195508,5.751835205074815e-05,0.0002815130726738
16,agent_llm_attempt_1,2.6819563230965286,6.915415858095885e-05,3.363633753248423e-05,0.0001429456699142,3.2521091208198216e-05,0.0002091030986549
17,agent_llm_attempt_1,3.174800935899839,7.992768292309883e-05,2.222098330055852e-05,0.0001676848563718,5.177342460439024e-05,0.0002416792642768
18,agent_llm_attempt_1,2.7410008111037314,7.164478103017484e-05,3.643654625861461e-05,0.0001465559505788,3.364155703974474e-05,0.0002166340538772
18,env_Inspect_Script_Lines,1.0106368861161172,1.1116833132647393e-05,8.253713357359615e-06,1.5511956853231368e-05,9.8485664884922e-06,3.3614236699083186e-05
19,agent_llm_attempt_1,2.7150765820406377,6.820186213324678e-05,2.850066004500504e-05,0.000144589004563,3.313395228987146e-05,0.0002062236168979
19,env_Inspect_Script_Lines,1.0105738430283964,1.0812298995664642e-05,9.533657941241345e-06,1.331751065691833e-05,9.842240879596727e-06,3.2693409477756404e-05
20,agent_llm_attempt_1,3.144716020906344,8.306737555374642e-05,3.337790789090067e-05,0.0001666662444463,5.112867633773325e-05,0.000251172828675
20,env_Inspect_Script_Lines,1.0109161748550832,1.1017202697314172e-05,7.884804219614898e-06,1.5604734706187173e-05,9.823442820925267e-06,3.331298174672734e-05
21,agent_llm_attempt_1,2.948232068913057,7.35455699972759e-05,3.085135181338797e-05,0.0001538159563878,3.771420716010552e-05,0.0002223815153613
21,env_Inspect_Script_Lines,1.0083675209898502,1.0813546467143236e-05,9.791624666922636e-06,1.3096677143664692e-05,9.808879676792357e-06,3.2697181487379685e-05
22,agent_llm_attempt_1,2.510968186194077,7.318124706358333e-05,2.684618586009646e-05,0.0001260851008666,6.834861658539416e-05,0.0002212799033121
23,agent_llm_attempt_1,2.7891197451390326,7.1859649219881e-05,3.3707668456798345e-05,0.0001489515080521,3.462457950032937e-05,0.0002172837560092
23,env_Inspect_Script_Lines,1.0097885550931096,9.971126297992536e-06,7.1228169232166925e-06,1.3198621672927402e-05,9.828496690089296e-06,3.0149935286233392e-05
24,agent_llm_attempt_1,2.978671609889716,7.39008311250487e-05,2.6774225173483895e-05,0.0001583842933712,3.829720846454924e-05,0.0002234557270092
25,agent_llm_attempt_1,2.776876008138061,7.3514188063266e-05,3.842027328906568e-05,0.0001494898418172,3.4376509943588953e-05,0.0002222866250499
25,env_Inspect_Script_Lines,1.0099339159205556,1.0563460960334245e-05,8.844855079023032e-06,1.3264177276539613e-05,9.831959547914773e-06,3.1940991903477414e-05
26,agent_llm_attempt_1,3.031826166203245,8.303554756070618e-05,4.229226257534748e-05,0.0001599576279573,4.882669907140857e-05,0.0002510765896041
27,agent_llm_attempt_1,3.123328380053863,8.222066902250578e-05,2.886896319265154e-05,0.0001689576351608,5.0786023343809786e-05,0.0002486126216973
27,env_Inspect_Script_Lines,1.0112277090083808,1.1167481247532349e-05,8.137622698515786e-06,1.5759179277097246e-05,9.870580651072992e-06,3.376738262668602e-05
28,agent_llm_attempt_1,2.6769412960857157,6.859248256328235e-05,3.5537959811719844e-05,0.0001394628893507,3.2403896159182e-05,0.0002074047453216
29,agent_llm_attempt_1,3.5708054460119456,8.565452641668539e-05,2.48352180640372e-05,0.0001941607108832,3.999973024474458e-05,0.000258995659192
29,env_Inspect_Script_Lines,1.0102695249952376,1.102569315952388e-05,1.0172271038128956e-05,1.3320843990527464e-05,9.845539533610766e-06,3.3338654562267186e-05
