step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,4.611465964000672,9.636454768690391e-05,4.976137893337221e-05,0.0001912107085288,5.0407721580187285e-05,0.0002913798090424
0,env_Execute_Script,162.38318326091394,0.0024245520616698,0.0016233322243341,0.0041198977403595,0.0015879466318926,0.0073311765965864
1,agent_llm_attempt_1,1.1192210700828582,1.5005275809386365e-05,9.255729152703076e-06,2.4162241551550775e-05,1.1953843981933056e-05,4.537181468618691e-05
1,agent_llm_attempt_2,4.064634927082807,0.0001123657628217,4.383988602143435e-05,0.0002367085226993,5.92146607879032e-05,0.0003397630695086
2,agent_llm_attempt_1,1.1155340648256242,1.4054689895070984e-05,8.82016831763944e-06,2.1788628551178132e-05,1.1888708241490856e-05,4.249750511030844e-05
2,agent_llm_attempt_2,2.549213179852813,6.311565326410487e-05,3.078513381957158e-05,0.0001300981596372,2.9961030904410616e-05,0.0001908443243612
3,agent_llm_attempt_1,1.1214961409568789,1.4806354582267716e-05,8.2109017391023e-06,2.462363080724117e-05,1.1935799223526071e-05,4.4770331769869546e-05
3,agent_llm_attempt_2,2.7779212610330437,6.882782639542647e-05,2.9020429858684912e-05,0.0001446876157515,3.440831453772262e-05,0.000208116360148
4,agent_llm_attempt_1,1.1084412129130214,1.4486306589104832e-05,1.0984603931909756e-05,2.106196129858517e-05,1.1756029696617692e-05,4.380259492711262e-05
4,agent_llm_attempt_2,2.765830158023164,6.659319346232087e-05,2.6628883181675813e-05,0.0001406345569563,3.4096006467007106e-05,0.000201359446605
5,agent_llm_attempt_1,1.1161103670019656,1.4840883975243004e-05,9.58792970478771e-06,2.3468907663470876e-05,1.181790176067605e-05,4.487473912893463e-05
5,agent_llm_attempt_2,2.572604255983606,6.305563163408308e-05,2.560288848260557e-05,0.0001346367743693,3.04231726577402e-05,0.0001906628355096
6,agent_llm_attempt_1,1.0991906351409853,1.355920098917416e-05,1.1691132175665063e-05,1.7740291973211697e-05,1.15678591957678e-05,4.099928334464456e-05
6,agent_llm_attempt_2,2.534893752075732,6.029461117176704e-05,2.4699248091103988e-05,0.0001279701023761,2.9644920820525545e-05,0.0001823142712878
7,agent_llm_attempt_1,1.1158414739184082,1.4846034853927676e-05,8.600579217799836e-06,2.438890840039676e-05,1.1900826346957022e-05,4.489031396515362e-05
7,agent_llm_attempt_2,2.5762868160381918,6.466415590296533e-05,3.216332301117085e-05,0.0001328767729731,3.048647318630376e-05,0.0001955265691706
8,agent_llm_attempt_1,1.1014479249715805,1.461349523733616e-05,1.152936986825518e-05,2.1042239055191203e-05,1.1615569389606309e-05,4.418717831305269e-05
8,agent_llm_attempt_2,2.7640849130693823,6.859816565225215e-05,2.881795579579039e-05,0.0001445767823256,3.402719129355521e-05,0.0002074219294149
9,agent_llm_attempt_1,1.1173734460026026,1.4726058274550442e-05,9.17917942138846e-06,2.3489185458913653e-05,1.1859173005602013e-05,4.452753788590413e-05
9,agent_llm_attempt_2,3.2138708371203397,9.196950515577504e-05,4.457997738169502e-05,0.0001809684781051,5.254195735970926e-05,0.0002780904128465
9,env_Inspect_Script_Lines,1.014437987934798,1.0806779764104028e-05,7.844767218066677e-06,1.5005567554737809e-05,9.82638607125005e-06,3.2676720844054535e-05
10,agent_llm_attempt_1,3.489204082870856,0.0001000444184435,4.091035960532051e-05,0.0002037684963482,5.7827867126454496e-05,0.00030250672308
10,env_Inspect_Script_Lines,1.0085939578711989,1.0914768232876652e-05,9.744117817675904e-06,1.3438621863315348e-05,9.820508502889426e-06,3.300324818388068e-05
11,agent_llm_attempt_1,3.570351849077269,9.093295167338902e-05,3.405900145408097e-05,0.0002009087718377,3.9988387768001605e-05,0.0002749561610598
11,env_Inspect_Script_Lines,1.010454423027113,1.0853822251978688e-05,6.588172254366005e-06,1.6389179776865603e-05,9.84161231899634e-06,3.281896435022795e-05
12,agent_llm_attempt_1,4.21661231899634,0.0001145649627342,3.794237703007094e-05,0.0002462563081166,6.221415822510608e-05,0.0003464128433718
12,env_Inspect_Script_Lines,1.010354822035879,1.0517131716112897e-05,7.679740507405897e-06,1.427528920316945e-05,9.845875338780592e-06,3.1800905049355935e-05
13,agent_llm_attempt_1,3.9119047899730495,0.0001074207759417,4.80760685166942e-05,0.0002302107397227,4.652398507007295e-05,0.0003248107933095
13,env_Inspect_Script_Lines,1.008838928071782,1.0909044920353804e-05,1.0021911473771868e-05,1.3141677172257005e-05,9.822353819618003e-06,3.298594246564688e-05
14,agent_llm_attempt_1,3.247337892884389,8.760797233626131e-05,3.048485016042403e-05,0.0001812062560802,5.321123453387474e-05,0.0002649023407745
