step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,4.812954531982541,9.289816563839074e-05,3.6364522207399975e-05,0.0001901868188127,5.434708494511951e-05,0.0002808984259652
0,env_List_Files,1.0190369696356356,9.683221710041616e-06,6.035681371216665e-06,1.3349455123545796e-05,9.894254738982357e-06,2.927939123374481e-05
1,agent_llm_attempt_1,2.89260090701282,7.492297283213744e-05,3.283702975305247e-05,0.000157224292451,3.648507935900449e-05,0.000226546401563
1,env_Inspect_Script_Lines,1.0097120460122824,9.81059739980279e-06,7.932186019965453e-06,1.1904453970146278e-05,9.827900191562044e-06,2.9664540181673774e-05
2,agent_llm_attempt_1,2.752392146270722,6.650806032122785e-05,3.0130483215985137e-05,0.0001370826096689,3.388893458630062e-05,0.0002011020274712
3,agent_llm_attempt_1,2.979680649936199,8.133664305539236e-05,3.206159424873543e-05,0.0001755723626857,3.83056141060984e-05,0.0002459395710405
3,env_Inspect_Script_Lines,1.0133077800273895,1.6498853603882243e-05,5.641916669679269e-06,3.442169420253549e-05,9.824371045558817e-06,4.988798191777358e-05
4,agent_llm_attempt_1,3.220009815879166,8.16659804424849e-05,2.1748194069508116e-05,0.000172712082616,5.247511976243308e-05,0.0002469353964479
5,agent_llm_attempt_1,2.891881994903088,7.22841277208787e-05,3.110002424953954e-05,0.0001509748429953,3.649239465464942e-05,0.0002185672618994
5,env_Inspect_Script_Lines,1.0117635242640972,1.0332284866201144e-05,8.871421178194116e-06,1.251306556326881e-05,9.857492425685955e-06,3.124197916714888e-05
6,agent_llm_attempt_1,2.7578656901605427,6.667102476302884e-05,2.5642351595605504e-05,0.0001419445580026,3.400787738953821e-05,0.0002015947869877
7,agent_llm_attempt_1,3.28835185803473,8.426387087055396e-05,3.118147229182515e-05,0.000169712635774,5.389659238151378e-05,0.0002547907004473
8,agent_llm_attempt_1,3.4500112710520625,8.752897067261135e-05,2.2498311251397666e-05,0.0001850768147235,5.708833556208346e-05,0.000264663461537
8,env_Inspect_Script_Lines,1.0087106940336523,1.008252403032598e-05,7.922480292709509e-06,1.2746121313966796e-05,9.818169691910348e-06,3.048677129858665e-05
9,agent_llm_attempt_1,2.64022685168311,6.433462719226089e-05,2.815421005295121e-05,0.0001349420523979,3.143390280246321e-05,0.0001945301652533
10,agent_llm_attempt_1,3.326054867822677,9.086060264712785e-05,2.95640888660526e-05,0.000190671541425,5.450176727156052e-05,0.0002747373975626
10,env_Inspect_Script_Lines,1.0139543870463967,1.6885905636838625e-05,5.75221224102844e-06,3.546502837536991e-05,9.841079876706418e-06,5.105832049310477e-05
11,agent_llm_attempt_1,3.692706064786762,9.064440687539776e-05,2.294045020492957e-05,0.0002088037781504,4.2339452833402905e-05,0.0002740836811888
12,agent_llm_attempt_1,2.8462164509110157,7.817330474680521e-05,3.2379371211260294e-05,0.0001682826346254,3.5712502798479466e-05,0.0002363745086351
12,env_Inspect_Script_Lines,1.010001320857555,1.0267462784988786e-05,8.111740236525072e-06,1.3095843812038764e-05,9.838391026844167e-06,3.104597507540801e-05
13,agent_llm_attempt_1,3.104558327235281,9.356277717131822e-05,4.373042344164778e-05,0.0001889529289442,5.022467551494224e-05,0.0002829080279008
14,agent_llm_attempt_1,2.883498965762556,7.767017258485116e-05,2.695160526930473e-05,0.0001715068038734,3.639476662889744e-05,0.0002348531757716
