step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,3.389308545738458,9.081772290918018e-05,2.0890632149947085e-05,0.0001978018249175,5.591528399640488e-05,0.0002746077410639
1,agent_llm_attempt_1,3.2835131022147834,8.49427043218339e-05,2.899826666325054e-05,0.0001739726391818,5.387239969568327e-05,0.0002568433055407
2,agent_llm_attempt_1,6.740597553085536,0.0001697651715791,3.819989930217539e-05,0.0004030408779911,7.208227007391139e-05,0.0005133230473672
2,env_Edit_Script_(AI),24.757320617325604,0.0006874974298683,0.0001364052689157,0.001697111913252,0.0002452853924374,0.0020788025746052
3,agent_llm_attempt_1,3.440148790832609,8.875347004999515e-05,2.1018582786602303e-05,0.0001904748745999,5.68725524767716e-05,0.0002683660098633
3,env_Execute_Script,88.3633398138918,0.0016611242410173,0.0004818048649471,0.0036683721013659,0.0008726045001246,0.0050227814664377
4,agent_llm_attempt_1,4.506956199649721,0.0001221804697002,2.6137855051764924e-05,0.0002756421649579,6.766001561061583e-05,0.0003694400356202
4,env_Edit_Script_(AI),24.988074347842485,0.0006962758169357,0.0001329005206463,0.0017226066558606,0.0002498388189809,0.0021053459954879
5,agent_llm_attempt_1,2.7132316790521145,6.404337310291012e-05,1.7729529303219804e-05,0.0001428778920882,3.3042071841191504e-05,0.0001936494932326
5,env_Execute_Script,105.10695670498536,0.0019368302692862,0.0005837120572594,0.0042413753375427,0.0010313530447453,0.0058564404395474
6,agent_llm_attempt_1,3.4551960141398013,9.114457326662842e-05,2.0872347381626515e-05,0.0001975309913646,5.719270763349616e-05,0.0002755960463797
6,env_Execute_Script,1.0146592720411718,9.431391421531645e-06,5.340582886351967e-06,1.3247510594283083e-05,9.929832430659896e-06,2.851792591129495e-05
7,agent_llm_attempt_1,4.327464284840971,0.0001170176742194,3.599416466528544e-05,0.0002534510361016,6.438396553017407e-05,0.000353829166297
7,env_Edit_Script_(AI),6.3512899982742965,0.000171117408761,3.661904364473683e-05,0.0003967055951363,8.408720079524856e-05,0.0005174118395763
8,agent_llm_attempt_1,3.201017732731998,8.302260524674143e-05,2.3264739387252792e-05,0.0001755065292883,5.226618694141509e-05,0.0002510374556169
8,env_Execute_Script,9.778194715734571,0.000149260434082,5.460376256027627e-05,0.0002951971806055,0.0001015214344551,0.0004513223776209
9,agent_llm_attempt_1,4.06009029597044,0.000109236794571,2.6189146205403476e-05,0.0002449679737566,5.914481271498113e-05,0.000330301932677
9,env_Execute_Script,49.49258553236723,0.0011810699978265,0.0002664876123635,0.0028044936324818,0.0005002486181393,0.0035712298629846
10,agent_llm_attempt_1,3.0826148381456733,8.028128482535198e-05,2.0838168678428565e-05,0.0001720340265123,4.987626369369941e-05,0.0002427484588844
10,env_Execute_Script,3.0198549879714847,8.713961194257556e-05,2.101650813314538e-05,0.0001937365438777,4.873309613515934e-05,0.000263486148146
11,agent_llm_attempt_1,3.5401060301810503,9.554051794786916e-05,2.113117280743143e-05,0.0002283512937921,3.940570382918749e-05,0.0002888881704287
11,env_Execute_Script,43.29288164619357,0.0007875705665699,0.0002335133806787,0.001709528589842,0.0004383541632547,0.0023813961337755
12,agent_llm_attempt_1,5.02139582298696,0.0001403910873183,3.1319695414387475e-05,0.0003251730379218,6.801118637279919e-05,0.000424503919709
12,env_Edit_Script_(AI),23.04576094495133,0.0006722671215999,0.0001289280819503,0.0016621704964094,0.0002416517454807,0.0020327503238406
13,agent_llm_attempt_1,3.447642656043172,9.201824368449022e-05,2.226540311773389e-05,0.0001989207146948,5.705166689973946e-05,0.0002782377847123
13,env_Execute_Script,40.39469010196626,0.0006616861826453,0.0002398249412559,0.0013489674680613,0.0004119640739867,0.002000756483304
14,agent_llm_attempt_1,2.8490190519951284,6.7509328561886e-05,1.9835911509298696e-05,0.0001485159521337,3.57777227776953e-05,0.0002041295864207
14,env_Execute_Script,4.205465378239751,6.682565630613858e-05,2.6463456958207903e-05,0.0001136234242338,6.197546892540738e-05,0.0002020623501174
15,agent_llm_attempt_1,3.921580927912146,9.900382463830422e-05,2.612439953551726e-05,0.0002266168479678,4.661900696810336e-05,0.0002993602544714
15,env_Inspect_Script_Lines,1.013635712210089,9.51418588190665e-06,5.317394573622006e-06,1.3546955287324636e-05,9.903923658809316e-06,2.876827351975596e-05
16,agent_llm_attempt_1,4.802513979841024,0.0001229996788335,2.9091718415192536e-05,0.000288704953185,5.412042645168388e-05,0.0003719170980518
16,env_Edit_Script_(AI),23.435477643739432,0.0006811009039218,0.0001377776659446,0.0016725018935588,0.0002491816851879,0.0020594612446914
17,agent_llm_attempt_1,3.348648288752884,8.942310319846537e-05,2.375727852841904e-05,0.0001915115421056,5.512197514504402e-05,0.000270390795779
17,env_Execute_Script,42.60795941995457,0.0007514489217087,0.0002274310988436,0.0016291113032878,0.0004156318421152,0.0022721742442466
18,agent_llm_attempt_1,4.801798007916659,0.0001269488111656,2.889028023099842e-05,0.000301035240831,5.393266375305959e-05,0.000383858184815
18,env_Edit_Script_(AI),22.48877624701709,0.000647308209726,0.000127842520001,0.0015891946046977,0.0002402443348106,0.0019572814595094
19,agent_llm_attempt_1,2.8193289767950773,6.781152123600028e-05,1.885856944338089e-05,0.0001510201208105,3.516464345027797e-05,0.0002050433337042
19,env_Execute_Script,38.7368192281574,0.0006622997873818,0.0002108769899285,0.0014120658518734,0.0003796690129558,0.0020026118547578
20,agent_llm_attempt_1,3.041544849984348,7.944184785867751e-05,2.0817629478641955e-05,0.0001702165250634,4.917607852257789e-05,0.0002402102330646
20,env_List_Files,1.0121121075935662,9.792723048452056e-06,5.2318214133256e-06,1.4496122702212231e-05,9.882548958477049e-06,2.961049307401488e-05
21,agent_llm_attempt_1,3.4051038227044046,9.057145405216132e-05,2.0857610102557894e-05,0.0001968209907943,5.618449107924891e-05,0.0002738630919761
22,agent_llm_attempt_1,3.429520919919014,8.77437553424329e-05,2.0891266215421727e-05,0.0001877309835194,5.669066139315773e-05,0.000265312911128
22,env_Execute_Script,43.05370495934039,0.0007287311434494,0.0002493827881329,0.0015205431608791,0.0004335560007137,0.0022034819497257
23,agent_llm_attempt_1,3.5110956192947924,9.046594511466728e-05,2.2060530512020505e-05,0.0001931823767691,5.8301154773734095e-05,0.0002735440620548
23,env_List_Files,1.0123844239860773,1.044461147225377e-05,5.285793219846488e-06,1.6417513137412243e-05,9.878317480130744e-06,3.158162383738947e-05
24,agent_llm_attempt_1,3.3992070769891143,9.496324326287876e-05,2.0931291206788325e-05,0.0002101035014163,5.61078584054485e-05,0.0002871426510286
25,agent_llm_attempt_1,3.181330133229494,8.224570835310695e-05,2.0796247422732627e-05,0.0001760126408072,5.187944549575656e-05,0.0002486883337257
25,env_Execute_Script,46.17289798380807,0.0009837473414043,0.0002528797799448,0.0022568723610518,0.0004648284424743,0.002974580583471
26,agent_llm_attempt_1,3.974485630169511,9.883772401444806e-05,2.6751874830160785e-05,0.0002244460128864,4.766012428897537e-05,0.0002988580120055
27,agent_llm_attempt_1,2.9732208410277963,7.153611387293653e-05,2.140931450974365e-05,0.0001568065143402,3.808964552073223e-05,0.0002163054743707
