step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,2.4537981301546097,7.306958058827868e-05,4.812082603394137e-05,0.0001055836955714,6.723773308977899e-05,0.0002209422546951
0,env_List_Files,1.0154961026273668,9.984844062343465e-06,6.932360014323709e-06,1.3315843986561047e-05,9.943210020557877e-06,3.0191414021442638e-05
1,agent_llm_attempt_1,2.945446311030537,7.557762593072693e-05,3.322381088695374e-05,0.0001576367927711,3.7665288282247886e-05,0.0002285258919403
2,agent_llm_attempt_1,3.219677314627916,8.787233166622961e-05,3.488356429801208e-05,0.0001782173647981,5.260076136586981e-05,0.000265701690462
3,agent_llm_attempt_1,3.3356356262229383,9.092004842131866e-05,2.7906061464099744e-05,0.0001922579315873,5.475315213358651e-05,0.000274917145185
4,agent_llm_attempt_1,3.4741552681662142,9.927397810372214e-05,3.8420786845432765e-05,0.0002041909966905,5.756534049028738e-05,0.0003001771240262
5,agent_llm_attempt_1,3.4809955982491374,9.541451574219352e-05,2.1828298016248003e-05,0.0002090393338889,5.7639542612661103e-05,0.0002885071745178
6,agent_llm_attempt_1,3.2457742486149077,9.331077155621192e-05,3.346817907995349e-05,0.0001955529342225,5.312491913662396e-05,0.0002821460324391
7,agent_llm_attempt_1,3.310907323844731,9.288158415028907e-05,2.388208793285764e-05,0.0002025882176255,5.437798256106261e-05,0.0002808482881194
8,agent_llm_attempt_1,3.786783522926271,9.7275823903962e-05,2.835842816070085e-05,0.0002216568439976,4.411998477945518e-05,0.0002941352569378
9,agent_llm_attempt_1,2.9507465506903827,7.920852043031959e-05,2.8176988370208887e-05,0.000173625138899,3.770258801782298e-05,0.0002395047152871
10,agent_llm_attempt_1,3.6990936202928415,9.76864736844084e-05,2.5521497377304976e-05,0.000227368515226,4.248693598848251e-05,0.0002953769485918
11,agent_llm_attempt_1,3.3422147943638265,8.978720889693106e-05,2.3991811731022464e-05,0.000192478487321,5.502145191680434e-05,0.0002714917509688
12,agent_llm_attempt_1,3.694546931888908,9.89214051283442e-05,3.023544383218137e-05,0.000226486014526,4.238958225145729e-05,0.0002991110406096
13,agent_llm_attempt_1,3.272753879893571,8.991223318966275e-05,2.450354074521297e-05,0.0001939132106869,5.345303850869339e-05,0.0002718697899408
14,agent_llm_attempt_1,3.218839185778052,9.071671371596556e-05,2.382318559176736e-05,0.0001980893251385,5.238980639777664e-05,0.000274302317128
15,agent_llm_attempt_1,3.2630633879452944,9.083090246806196e-05,3.868252484839683e-05,0.0001825065348981,5.345853266771883e-05,0.0002746475924142
16,agent_llm_attempt_1,3.785394222009927,9.94817723134954e-05,2.707618786664061e-05,0.0002295674058743,4.416184265347612e-05,0.0003008054363944
17,agent_llm_attempt_1,3.619774092920125,9.426219746182316e-05,2.855257021908109e-05,0.0002154968390613,4.097347263660697e-05,0.0002850228819169
18,agent_llm_attempt_1,3.830851618666202,0.0001028866857188,2.8787753470797464e-05,0.0002373499121048,4.496328967571673e-05,0.0003111009552514
19,agent_llm_attempt_1,3.1442272369749844,9.335199204587335e-05,3.262879413915509e-05,0.0001985337699323,5.110810775723723e-05,0.0002822706718287
20,agent_llm_attempt_1,3.833024056162685,0.0001005703429355,2.7088952351773684e-05,0.0002319071299723,4.510089133788522e-05,0.000304096973662
21,agent_llm_attempt_1,3.377264832146466,8.949734172449267e-05,2.4826319695960727e-05,0.0001901323743283,5.565657857805492e-05,0.0002706152726023
22,agent_llm_attempt_1,2.8354854392819107,7.854286743392956e-05,3.194155601569411e-05,0.0001702556917635,3.529471647408274e-05,0.0002374919642533
23,agent_llm_attempt_1,3.3554709148593247,8.67457099687346e-05,2.454081164395448e-05,0.0001825382015923,5.521608400287936e-05,0.0002622950972391
24,agent_llm_attempt_1,3.585229962132871,9.144475215561144e-05,2.873787191008377e-05,0.0002075757216175,4.019011100495442e-05,0.0002765037045325
25,agent_llm_attempt_1,2.995239877142012,7.830114697516187e-05,3.482425363076154e-05,0.0001633765195947,3.85602950415988e-05,0.0002367610682671
26,agent_llm_attempt_1,3.709206983912736,8.730721596758851e-05,2.4201905502331493e-05,0.0001971226577026,4.266837327741087e-05,0.0002639929364824
27,agent_llm_attempt_1,3.2772257500328124,8.622895499011725e-05,2.7402427272268703e-05,0.0001795940325592,5.3736112904476216e-05,0.000260732572736
28,agent_llm_attempt_1,3.357899217866361,9.55479745620709e-05,3.687253795861231e-05,0.0001967282129342,5.530996628028031e-05,0.0002889107171731
29,agent_llm_attempt_1,3.622004554141313,8.998763595694195e-05,2.30312421134508e-05,0.0002080562775574,4.101026743753917e-05,0.0002720977871084
30,agent_llm_attempt_1,3.6587560470215976,9.828441105898178e-05,3.02141946836603e-05,0.0002252685135459,4.170223803569873e-05,0.0002971849462653
31,agent_llm_attempt_1,3.439438586123288,9.59245080743168e-05,3.532334038693136e-05,0.0001978454360482,5.6880474208285e-05,0.0002900492506434
32,agent_llm_attempt_1,3.3549999082461,9.601093016079075e-05,3.3645095866892326e-05,0.0002017193280394,5.49461432861992e-05,0.0002903105671925
33,agent_llm_attempt_1,3.4109974768944085,9.412004514111952e-05,2.724471734852774e-05,0.0002010034941335,5.634484103130591e-05,0.0002845930525133
34,agent_llm_attempt_1,3.223972741048783,9.270430014897482e-05,4.434528278370352e-05,0.0001832315354803,5.2735411941022095e-05,0.0002803122302051
35,agent_llm_attempt_1,2.976962948217988,7.852314097765005e-05,3.468408704685203e-05,0.0001645451316321,3.820309821231705e-05,0.0002374323168912
36,agent_llm_attempt_1,3.883890650235117,9.512541259985562e-05,2.4856332674840096e-05,0.0002167821178744,4.599455581822743e-05,0.0002876330063675
37,agent_llm_attempt_1,3.0243084598332644,8.645731974743459e-05,3.439937701177367e-05,0.0001781818092041,4.88418985494516e-05,0.0002614230847653
38,agent_llm_attempt_1,3.243489682674408,9.058134160815278e-05,3.475071782786741e-05,0.0001860504266133,5.309184477664531e-05,0.0002738929892178
39,agent_llm_attempt_1,3.279990599025041,8.389958064460494e-05,2.118588059543366e-05,0.0001787306985292,5.377260817266587e-05,0.0002536891872973
40,agent_llm_attempt_1,2.817926085088402,7.464802211824237e-05,3.278933253373866e-05,0.0001577654039834,3.5160289935043295e-05,0.0002257150264522
41,agent_llm_attempt_1,2.952610570937395,7.707643063235621e-05,3.2142011439398994e-05,0.0001631556860814,3.776016637631175e-05,0.0002330578638972
42,agent_llm_attempt_1,3.688908090814948,9.168028442981847e-05,2.320102695656511e-05,0.0002117351693939,4.227969280521696e-05,0.0002772158891557
43,agent_llm_attempt_1,3.788279417902231,9.368661031055312e-05,2.3684249240890587e-05,0.000215387394526,4.421082138627147e-05,0.0002832824651532
44,agent_llm_attempt_1,2.917588286101818,8.134755780428844e-05,3.194238001595644e-05,0.000176919030423,3.7111163791269065e-05,0.0002459725742302
45,agent_llm_attempt_1,3.141568864695728,8.613845983846121e-05,3.262001877004294e-05,0.0001768484748154,5.09904467759447e-05,0.0002604589403614
46,agent_llm_attempt_1,3.850287856068462,0.0001014594805527,2.7900372624639427e-05,0.0002335449090651,4.534019884886221e-05,0.0003067854805386
47,agent_llm_attempt_1,3.00137583212927,7.993803531340238e-05,3.3451163040117264e-05,0.0001695729134354,3.868649057371336e-05,0.0002417105670492
48,agent_llm_attempt_1,3.683765389956534,9.451888675814084e-05,2.682040560898128e-05,0.0002167801734245,4.219846050513702e-05,0.0002857990395386
49,agent_llm_attempt_1,3.4609924000687897,8.971720387706826e-05,2.2415244241762646e-05,0.0001916143199522,5.725051090638671e-05,0.0002712800751004
