step,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,3.207607924938202,8.618625128366543e-05,2.8025082739645112e-05,0.0001802243108457,5.235405492260018e-05,0.0002606034485079
1,3.252984800375998,9.026523253450454e-05,2.085033155774156e-05,0.000198828492401,5.3258338622334936e-05,0.0002729371625811
2,3.1786027480848134,8.650823684631997e-05,2.084647530602205e-05,0.0001891007068337,5.1629861886613074e-05,0.0002615770440263
3,3.1375415632501245,8.732039751081085e-05,2.0867732685990003e-05,0.0001921412648258,5.10237963210481e-05,0.0002640327938328
4,3.1281474120914936,8.296482461476452e-05,2.7243938601841e-05,0.0001727923604661,5.082644385725467e-05,0.0002508627429252
5,4.63450691010803,0.00011022184334064345,2.7236623710056318e-05,0.0002551640930263853,5.08797316837849e-05,0.00033328044842020346
6,4.418249438051134,0.0001078581708033682,3.506267363200548e-05,0.00022494684661457823,6.612383446449207e-05,0.0003261333547111508
7,8.023369090165943,0.0002140037988076256,4.694977798718538e-05,0.0005129140214350427,8.722465299845986e-05,0.0006470884524206606
8,4.748971958179027,0.00011424022783097589,2.813691419464528e-05,0.0002643785448341011,5.2915475577012535e-05,0.00034543093460574553
9,4.134983259718865,0.0001142097366298,2.6044205026060663e-05,0.000258839651515,6.045488108389288e-05,0.000345338737625
10,2.7592486389912665,6.826528528601208e-05,1.825416211488567e-05,0.0001541909566924,3.397027220861573e-05,0.0002064153910159
11,3.045889985281974,8.232374658708586e-05,2.0602221207475355e-05,0.0001790690321428,4.925304646733115e-05,0.0002489242998176
12,2.774450245779008,6.898673257267679e-05,1.846355819929898e-05,0.0001558015135287,3.433177686399884e-05,0.000208596848592
13,4.822076832409948,0.00011238750864975827,2.8888105459572595e-05,0.00025650048297618596,5.444023445791876e-05,0.00033982882289369256
14,7.3635480045340955,0.00020532407695425815,5.036877351626704e-05,0.0004766362146426136,9.383837976880994e-05,0.0006208433679276671
15,6.047480856999755,0.00015876337997504193,3.6202074124606345e-05,0.0003755175226344653,6.833706775602575e-05,0.0004800566645151663
16,5.475013227201998,0.0001605384523684,3.1288382273004554e-05,0.000377288079612,7.684753187544023e-05,0.0004854239937604
