step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,3.273954927921295,8.589056656300116e-05,2.0838028463271344e-05,0.0001853759816441,5.349536937299289e-05,0.0002597093794804
1,agent_llm_attempt_1,3.646039956714958,9.448621215670314e-05,2.2215185484626725e-05,0.0002220348998491,4.145015522371978e-05,0.0002857002405575
2,agent_llm_attempt_1,3.5453142100013797,9.503071496715304e-05,2.115091944873145e-05,0.0002267849036527,3.941084374803016e-05,0.0002873466668495
3,agent_llm_attempt_1,5.297534658107907,0.0001495331897505,3.947488731651125e-05,0.0003393686048198,7.330362338365782e-05,0.00045214711552
4,agent_llm_attempt_1,2.557336667086929,6.360885855461316e-05,1.6171118927636346e-05,0.0001460698390758,3.009468310046941e-05,0.0001923356411039
5,agent_llm_attempt_1,3.694205472245813,9.522442859546756e-05,2.2596824869344655e-05,0.0002229474005872,4.23881779670612e-05,0.0002879324034236
6,agent_llm_attempt_1,3.2427076948806643,8.894688878925865e-05,2.8633930692872625e-05,0.0001872715387065,5.304538537489458e-05,0.0002689508547743
6,env_List_Files,1.014258691109717,2.0414236970789083e-05,5.325727913761296e-06,4.649337052597957e-05,9.9079226803345e-06,6.172702112007536e-05
7,agent_llm_attempt_1,3.197115520015359,8.469551619831735e-05,2.0967962564535905e-05,0.0001829068129879,5.222110129220204e-05,0.0002560958768446
8,agent_llm_attempt_1,3.3304724101908505,8.728123887746075e-05,2.0630779085953676e-05,0.0001885287619316,5.475484791030693e-05,0.0002639143889279
9,agent_llm_attempt_1,3.227201059926301,9.712094848032364e-05,2.828253710762696e-05,0.0002126735034622,5.271091581089423e-05,0.0002936669563807
10,agent_llm_attempt_1,3.27900035912171,9.411662482142232e-05,2.0601044551549683e-05,0.0002102865571131,5.3695108745402345e-05,0.0002845827104101
11,agent_llm_attempt_1,3.187756490893662,9.171141592737806e-05,2.7874592298607975e-05,0.0001974484912921,5.198693862572934e-05,0.0002773100222164
12,agent_llm_attempt_1,3.1594864390790462,9.20086721575696e-05,2.085141826240348e-05,0.0002059065536172,5.145087117562071e-05,0.0002782088430553
13,agent_llm_attempt_1,3.067685767076909,8.227067358121932e-05,2.086012130703406e-05,0.0001782545870412,4.964911334035504e-05,0.0002487638216886
14,agent_llm_attempt_1,3.042373447213322,8.06403050765071e-05,2.08570201538236e-05,0.0001738054168214,4.917160010922494e-05,0.0002438340370844
15,agent_llm_attempt_1,3.302597302012145,8.723908675879517e-05,2.0539031820954645e-05,0.0001891832069063,5.406469382190457e-05,0.0002637869325491
16,agent_llm_attempt_1,3.041001519653946,8.2474704850876e-05,2.6370073779855885e-05,0.0001738893057776,4.91213764064014e-05,0.0002493807559639
17,agent_llm_attempt_1,3.040940834209323,8.12839203446022e-05,2.6299576768520128e-05,0.000170382358533,4.909821680565882e-05,0.0002457801521072
18,agent_llm_attempt_1,3.062011614907533,8.013408715772383e-05,2.0812688054499125e-05,0.0001719601375782,4.9530548110811257e-05,0.0002423033737435
19,agent_llm_attempt_1,3.065878357272595,7.890754736061775e-05,2.085824839367394e-05,0.0001681006900327,4.963571732449863e-05,0.0002385946557508
20,agent_llm_attempt_1,3.0570630626752973,7.943691667354098e-05,2.082036898179544e-05,0.0001699831915402,4.9391761999059895e-05,0.0002401953225211
21,agent_llm_attempt_1,3.0495145162567496,8.005090855122683e-05,2.6389761307641397e-05,0.0001663623553156,4.9299747959917625e-05,0.0002420518645832
22,agent_llm_attempt_1,3.3301369240507483,8.46820227163176e-05,2.05827820028919e-05,0.0001808037557538,5.4668538520733526e-05,0.0002560550762774
23,agent_llm_attempt_1,3.0738972797989845,7.920144914981158e-05,2.084619273948668e-05,0.0001688601350835,4.977700586249639e-05,0.0002394833336855
24,agent_llm_attempt_1,3.064316973090172,7.908525808852667e-05,2.087360206895143e-05,0.0001687698572325,4.948854466719139e-05,0.0002391320039687
25,agent_llm_attempt_1,3.2309132809750736,8.461291421087891e-05,2.8090838479730777e-05,0.0001749404177289,5.281485501262877e-05,0.0002558461112212
26,agent_llm_attempt_1,3.0595070719718933,7.819547095555576e-05,2.092716201998601e-05,0.0001660173550348,4.949701608081038e-05,0.0002364415331356
27,agent_llm_attempt_1,3.318822086788714,8.45332990027078e-05,2.0583933152963303e-05,0.0001805637555634,5.4457688078077314e-05,0.0002556053767944
28,agent_llm_attempt_1,3.058239691890776,7.816301700967162e-05,2.090103686490917e-05,0.0001659784661143,4.94638983768204e-05,0.000236343401356
29,agent_llm_attempt_1,3.0641186800785363,7.821304982506022e-05,2.089294742190434e-05,0.0001660409661639,4.956077320190768e-05,0.0002364946867877
30,agent_llm_attempt_1,3.051525473594665,7.896738961161802e-05,2.0889822043593636e-05,0.0001685456903857,4.934008978048547e-05,0.0002387756022097
31,agent_llm_attempt_1,3.060776141937822,7.906905251155414e-05,2.088988804819547e-05,0.0001686748571643,4.951825756191587e-05,0.0002390830027744
32,agent_llm_attempt_1,3.0482383319176733,7.812776843242783e-05,2.086320146202872e-05,0.0001660779106416,4.929570727852277e-05,0.0002362368193821
33,agent_llm_attempt_1,3.052986718714237,7.909192728301461e-05,2.0751174657900462e-05,0.0001692479131847,4.915308193044944e-05,0.000239152169773
34,agent_llm_attempt_1,3.0506316791288555,7.831082131071624e-05,2.088608060152932e-05,0.0001665790221565,4.932521803097593e-05,0.000236790320789
35,agent_llm_attempt_1,3.3098411657847464,8.505766912111778e-05,2.0594800504559978e-05,0.0001822437569032,5.435236997178032e-05,0.0002571909273795
36,agent_llm_attempt_1,3.054813865106553,8.105470248771474e-05,2.640885563523156e-05,0.0001692690242904,4.940918061442466e-05,0.0002450870605401
37,agent_llm_attempt_1,3.3064189506694674,8.48603237285425e-05,2.0563368290302063e-05,0.0001818418121501,5.418902891170648e-05,0.0002565942093522
38,agent_llm_attempt_1,3.059514544904232,8.019964804701744e-05,2.649389972867941e-05,0.0001665242998853,4.948341217305926e-05,0.0002425016117871
39,agent_llm_attempt_1,3.0410410589538515,7.817282259366713e-05,2.0830465929873055e-05,0.0001663976331158,4.914495169133362e-05,0.000236373050737
40,agent_llm_attempt_1,3.0526713421568274,7.923664964247237e-05,2.0884839109216964e-05,0.0001693695799431,4.933535121251933e-05,0.0002395897702649
41,agent_llm_attempt_1,3.0489483731798828,7.818689397862497e-05,2.089232242917551e-05,0.000166230688535,4.929258775923195e-05,0.0002364155987234
42,agent_llm_attempt_1,3.0485403379425406,7.940523102753985e-05,2.088988879124283e-05,0.0001699234692722,4.928615580493998e-05,0.0002400995138684
43,agent_llm_attempt_1,3.0552877481095493,8.12729106174727e-05,2.643940819212739e-05,0.0001699318026169,4.9375650920491255e-05,0.0002457468617295
44,agent_llm_attempt_1,3.2683038120158017,8.440432022420533e-05,2.0592837415930357e-05,0.0001810793115311,5.354323160136119e-05,0.0002552153805483
45,agent_llm_attempt_1,3.051745821721852,7.946934333563029e-05,2.084485465002823e-05,0.0001701029138629,4.934560328903092e-05,0.000240293371802
46,agent_llm_attempt_1,3.065197403077036,7.948467339632155e-05,2.0888857519688884e-05,0.0001699265248404,4.952434331644328e-05,0.0002403397256766
47,agent_llm_attempt_1,3.058445073198527,7.956381689927298e-05,2.0835120342297528e-05,0.0001702979140176,4.944599943701178e-05,0.0002405790337969
48,agent_llm_attempt_1,3.049102148972452,7.94751038876876e-05,2.0894792449732208e-05,0.0001700995805222,4.931641715035464e-05,0.0002403107901223
49,agent_llm_attempt_1,3.052102530375123,7.852394072537395e-05,2.081070578642201e-05,0.0001672720782579,4.935195106340366e-05,0.0002374347351077
