step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,2.912105040973984,6.718279115039675e-05,1.9571975701124224e-05,0.0001465695617,3.700068996598324e-05,0.0002031422273671
1,agent_llm_attempt_1,12.243528075981883,0.0003447316578826,7.370119351550239e-05,0.0008293414968054,0.0001393307453027,0.0010423734356237
1,agent_llm_attempt_2,3.2473781059961766,8.480519836078281e-05,2.812075197037267e-05,0.0001751387512243,5.316802225230883e-05,0.000256427525447
2,agent_llm_attempt_1,2.3601787800434977,6.989411373662308e-05,3.455724606520049e-05,0.0001114273113618,6.5355961494303e-05,0.0002113405189213
2,agent_llm_attempt_2,2.711621070979163,6.233170628792146e-05,1.7512001671325456e-05,0.0001378503880573,3.311149523651693e-05,0.0001884738849652
3,agent_llm_attempt_1,2.6058751170057803,5.9233775885579486e-05,1.6383291831992852e-05,0.0001317506609535,3.097264523934832e-05,0.0001791065980248
4,agent_llm_attempt_1,8.172668643994257,0.0002346209352135,5.277701519444045e-05,0.0005568757232783,9.977624698787824e-05,0.0007094289854606
4,env_Inspect_Script_Lines,1.009647537022829,9.219837650645262e-06,5.200120667715666e-06,1.2846121387966036e-05,9.832003611760835e-06,2.7878245667442535e-05
5,agent_llm_attempt_1,2.0830026409821585,6.153261329830309e-05,3.171022221047016e-05,9.437201994266786e-05,5.997540604956966e-05,0.0001860576482027
5,agent_llm_attempt_2,2.646975817042403,6.047241342087283e-05,1.6848535690024906e-05,0.0001341470517619,3.185630878853974e-05,0.0001828518962405
6,agent_llm_attempt_1,2.560420458088629,5.8176222487917e-05,1.5958282379399715e-05,0.0001297837149358,3.0166850972131623e-05,0.0001759088482874
6,agent_llm_attempt_2,2.5297962561016902,5.697669094296945e-05,1.5641738457900743e-05,0.0001270681572105,2.9571900130314237e-05,0.0001722817957987
7,agent_llm_attempt_1,3.768357192981057,9.669701475629596e-05,2.3182632840523304e-05,0.0002253815691943,4.382089571089537e-05,0.0002923850977458
7,env_Inspect_Script_Lines,1.009618720971048,9.258397549656105e-06,5.199450899542879e-06,1.296695481833865e-05,9.828434447020605e-06,2.799484016490213e-05
8,agent_llm_attempt_1,4.927207670989446,0.0001320381243397,2.9863624356782717e-05,0.0003129302503435,5.645298921315569e-05,0.0003992468639134
8,env_Edit_Script_(AI),91.1840178630082,0.0028042195104233,0.0004752363842612,0.0071055687400072,0.0008983811021339,0.0084791862264024
9,agent_llm_attempt_1,1.83323977899272,3.8502370519798143e-05,1.366481816897701e-05,7.691006152654722e-05,2.5845667476985708e-05,0.0001164205471725
9,agent_llm_attempt_2,2.413724804995581,6.732059464791546e-05,1.5474794692482848e-05,0.0001216900973535,6.639401508307654e-05,0.000203558907129
9,agent_llm_attempt_3,2.55564452894032,5.834817790950179e-05,1.582897767212121e-05,0.0001306748267602,2.9924989614260594e-05,0.0001764287940465
10,agent_llm_attempt_1,10.858286381000651,0.0003134172455218,5.96813842351156e-05,0.0007751822868122,0.0001128236200036,0.000947687291051
10,env_Inspect_Script_Lines,1.0097088869661093,9.307069619325378e-06,5.2008642997760844e-06,1.3110010486983016e-05,9.831136290126276e-06,2.8142011076885376e-05
11,agent_llm_attempt_1,2.742188645061105,6.453451245631343e-05,1.7775901810286408e-05,0.000143750114999,3.360854634213158e-05,0.0001951345631514
11,agent_llm_attempt_2,12.28365781402681,0.0003605132008012,7.427617990826589e-05,0.0008754476448018,0.0001403686431967,0.0010900924679068
11,agent_llm_attempt_3,2.900728195090778,7.078439026804972e-05,1.9452514343193256e-05,0.0001577992929053,3.6780662311745504e-05,0.0002140324695603
12,agent_llm_attempt_1,11.189169809920712,0.0003319173134252,6.807324500504769e-05,0.0008068787010575,0.0001286744468923,0.0010036263929549
12,agent_llm_attempt_2,3.6113764450419694,9.09617431060534e-05,2.149324329289645e-05,0.000212914892554,4.0635082562867967e-05,0.0002750432184098
13,agent_llm_attempt_1,13.776895074988717,0.00039181408432947747,8.453532994831374e-05,0.0009403913078660128,0.00015981106720758004,0.0011847377050219834
13,agent_llm_attempt_2,15.132414382183926,0.00043109707091821983,9.327537407080087e-05,0.0010339163826883,0.0001763268630867095,0.001303518619846
13,agent_llm_attempt_3,2.8487214769702405,6.86986829786111e-05,1.890419721245714e-05,0.0001530748446825,3.574682418612712e-05,0.0002077258660811
14,agent_llm_attempt_1,12.242261131992564,0.0003666422237111,7.390880730736646e-05,0.0008949884937692,0.0001397276413552,0.0011086249424318
14,agent_llm_attempt_2,2.8502710529137403,6.977536561220753e-05,1.888135296870639e-05,0.0001563976251173,3.570247926497056e-05,0.0002109814573509
15,agent_llm_attempt_1,11.025376330013389,0.0003261965989707,6.662394727389691e-05,0.0007937664683446,0.0001259381149445,0.0009863285305631
15,agent_llm_attempt_2,2.8453308710595597,6.932074367637086e-05,1.8885446548753808e-05,0.0001550159573469,3.57054021335595e-05,0.0002096068060292
16,agent_llm_attempt_1,12.244001596001908,0.0003611106948134,7.39531381353695e-05,0.0008781557025248,0.0001397902843147,0.0010918991249749
16,agent_llm_attempt_2,2.8491207089973614,6.930236132901812e-05,1.8921711184211986e-05,0.0001548551238848,3.577438781277225e-05,0.0002095512228817
17,agent_llm_attempt_1,5.523455840069801,0.000148678010219,3.0810307365059814e-05,0.0003605141773004,5.8236803861412544e-05,0.0004495612885269
17,agent_llm_attempt_2,2.91898510302417,7.071678220300772e-05,1.959668291096082e-05,0.000157178181297,3.705317721404653e-05,0.000213828041422
18,agent_llm_attempt_1,3.323394425911829,9.009244364756876e-05,2.8845204023884524e-05,0.0001890348734487,5.453461917996821e-05,0.0002724146966526
18,agent_llm_attempt_2,2.9146011960692704,7.068155174895101e-05,1.95835181926058e-05,0.0001571112368008,3.7026759254189936e-05,0.0002137215142476
