step,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,3.1649250760674477,7.9426942170323e-05,5.128911484903207e-05,0.00011776620533502181,7.110984219082943e-05,0.00024016516237486586
1,3.4093084442429245,8.171066485945956e-05,2.201219946438941e-05,0.0001687415238791,5.631678645473181e-05,0.0002470705097982
2,4.417957173194736,0.00010215629486914844,4.1832651651496485e-05,0.00020096793855371074,6.609186460264027e-05,0.00030889245480779164
3,2.841770769096911,6.986435939874975e-05,3.0021750845286776e-05,0.0001456753943145,3.55534048518166e-05,0.0002112505500116
4,7.2413378157652915,0.0001934800225449,4.436065349813916e-05,0.0004492120260337,9.145753516737994e-05,0.0005850302146992
5,4.18980324966833,9.552539495211901e-05,4.2987023110893855e-05,0.00018430042521083676,6.155499433969251e-05,0.00028884244266138014
6,3.489536988083273,9.53631451834256e-05,3.340414458677225e-05,0.000197029602063,5.791809746943829e-05,0.0002883518441192
7,32.57082583475858,0.0009112152329945,0.00021851554749518002,0.0022080550997855,0.0003286928490955132,0.0027552634963763
8,3.503730289172381,9.717002526709485e-05,4.068554210830916e-05,0.0001949971004364,5.8132708500812033e-05,0.0002938153510455
9,5.866695258300752,0.0001576514145209,4.606426137931815e-05,0.000365901403839,6.47287225104972e-05,0.0004766943877288
10,4.730968893971294,0.0001206852837181,3.277344973982282e-05,0.0002793935568448,5.275199908840781e-05,0.000364919005673
