step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,3.207103106076829,8.092193482680319e-05,2.7645871664274984e-05,0.0001647587429154,5.228099317917238e-05,0.0002446856077588
1,agent_llm_attempt_1,4.536375435069203,0.0001122280154648,2.589657064688011e-05,0.0002645024338256,4.894755502787626e-05,0.0003393465595004
1,env_Edit_Script_(AI),22.607760817045342,0.0006427026025855,0.000118167049422,0.0016018304481306,0.0002233578764684,0.0019433553740212
2,agent_llm_attempt_1,1.2034643579972908,1.602477431305463e-05,7.185627363641675e-06,2.767918881119158e-05,1.3589680747180765e-05,4.8454496922014015e-05
2,agent_llm_attempt_2,2.491825679084286,6.67556310124905e-05,1.5497925022532348e-05,0.0001183928724941,6.795981542996338e-05,0.0002018506129466
2,env_Execute_Script,1.0374516650335863,9.184713852191846e-06,5.484497553552501e-06,1.192139842842721e-05,1.0366145008204815e-05,2.7772040990184528e-05
3,agent_llm_attempt_1,1.1098886620020494,1.2158662588548543e-05,6.2291487658725735e-06,1.875945945073454e-05,1.1775833357629987e-05,3.67644415742371e-05
3,agent_llm_attempt_2,3.061468977015465,7.651972682105774e-05,2.0580020616036127e-05,0.0001612445734373,4.954995109098188e-05,0.0002313745451443
4,agent_llm_attempt_1,1.1150154420174658,1.252166639225821e-05,6.281490822626889e-06,1.9706126877849783e-05,1.1874447237803708e-05,3.786206493828038e-05
4,agent_llm_attempt_2,2.4756703110178933,6.581373661748916e-05,1.5480002341652508e-05,0.0001159100927274,6.761248905839037e-05,0.0001990025841275
5,agent_llm_attempt_1,3.800131506985053,9.450140023959484e-05,2.3516473291127782e-05,0.0002177723964393,4.445729539988356e-05,0.0002857461651303
6,agent_llm_attempt_1,5.236436057952233,0.0001443655726291,3.81192725745465e-05,0.000326335538844,7.206685546714451e-05,0.0004365216668857
6,env_Edit_Script_(AI),14.51113922894001,0.0004199462224677,8.674588755056777e-05,0.001019055259686,0.0001640003829725,0.0012698015302091
