step,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,3.390291342046112,8.356719921150254e-05,2.4739762726864108e-05,0.0001721068043494,5.583759045823374e-05,0.0002526841575345
1,3.8458737111650407,8.291352872308167e-05,3.245720711605313e-05,0.0001730070828571476,4.524334832612012e-05,0.00025070763829934006
2,3.508106815163046,9.541292870771764e-05,3.570329478070636e-05,0.0001945434889591,5.825559202348814e-05,0.0002885023757633
3,34.43202585307881,0.0009062012586563001,0.00022212474140409136,0.0021728970160948997,0.00034508086363520534,0.0027401026211343
4,3.3316142628900707,8.961932810594908e-05,2.830920280447048e-05,0.0001879432059155,5.4731717048626816e-05,0.0002709841257686
5,4.679300074465573,0.00010314131857934076,3.7057184638041084e-05,0.0002230732340109375,5.1740476129473084e-05,0.00031187089477836176
6,34.13488297956064,0.0009438433976813999,0.00022830999117886712,0.0022667948689871,0.0003588172054046838,0.0028539220655708
7,4.361275494564325,9.918916434732819e-05,3.3914165444063256e-05,0.00020100210524977654,6.500439992976478e-05,0.00029992067062367786
8,4.251790574751794,0.00011260460420987108,5.334196964063039e-05,0.00022430906832931308,6.283422200940549e-05,0.0003404852599793604
9,3.749450648203492,9.909559153111727e-05,2.755112264393329e-05,0.0002286554607024,4.343114889407945e-05,0.0002996377322405
10,4.73189700813964,0.00010714536803289811,3.905092617140088e-05,0.00023223546357086422,5.2691646025050445e-05,0.000323978035767285
11,3.3324316651560366,9.603216095750816e-05,4.639129648031844e-05,0.0001891743180095,5.480914877520668e-05,0.0002903747632651
12,5.284591206815094,0.0001555756908994,5.582720437636861e-05,0.00034143693982,7.315382791113937e-05,0.0004704179721075
