step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,3.2352634669514373,8.24534443082606e-05,2.7988214126072684e-05,0.0001684065236133,5.292173220853632e-05,0.0002493164699479
1,agent_llm_attempt_1,4.345339411054738,0.000112913571224,2.568355934395623e-05,0.0002510313119366,6.470461971799118e-05,0.0003414194909985
1,env_Edit_Script_(AI),18.179018305032518,0.0005170514552932,0.0001036228852924,0.0012639165666854,0.0001958815148071,0.001563420966785
2,agent_llm_attempt_1,3.460798793938011,8.95884960075788e-05,2.05818064474091e-05,0.0001930768211266,5.723227043442118e-05,0.0002708908980085
2,env_Execute_Script,14.586271759006197,0.0001857691026312,7.732208893745923e-05,0.0003382583261597,0.0001461341049205,0.0005617145200177
3,agent_llm_attempt_1,4.222997170989402,0.0001132891734551,3.295937173412835e-05,0.0002472913089412,6.230452785611206e-05,0.0003425552085315
3,env_Edit_Script_(AI),22.495866064098664,0.0006577233397294,0.0001272386919223,0.0016209968523526,0.0002405383952427,0.0019887739395177
4,agent_llm_attempt_1,2.843965754029341,6.827853163209952e-05,1.883687956264809e-05,0.0001520015104894,3.5617054260284127e-05,0.0002064554443123
4,env_Execute_Script,26.37566082808189,0.0003502462729405,0.0001466433416938,0.0006352313415192,0.000277173427082,0.0010590481102951
5,agent_llm_attempt_1,4.049822082044557,0.0001079247976657,3.117725226861171e-05,0.0002362218556442,5.89357080503962e-05,0.0003263348159632
5,env_Edit_Script_(AI),21.96653951902408,0.000638887414964,0.0001167387217242,0.0015944001644072,0.0002206804129815,0.001931819299113
6,agent_llm_attempt_1,2.8338885280536488,6.75617497982577e-05,1.870781197489163e-05,0.0001502112312827,3.536905052088615e-05,0.0002042880937785
6,env_Execute_Script,29.15459822304547,0.0003873465460209,0.0001595699437587,0.0007100466791492,0.000301612478686,0.001171229101594
7,agent_llm_attempt_1,5.332919924054295,0.0001479522333272,3.919102125760655e-05,0.0003340872117121,7.408850644941494e-05,0.0004473667394191
7,env_Edit_Script_(AI),22.086052682017908,0.0006499111681073,0.0001232370617251,0.0016089515649397,0.0002329634609363,0.0019651520876013
8,agent_llm_attempt_1,3.052879450027831,7.82826958060017e-05,2.0545604935355576e-05,0.0001669995780417,4.9160094044378246e-05,0.0002367052770215
8,env_Execute_Script,40.09039932198357,0.0005300860442175,0.0002150760372163,0.0009812180071939,0.0004065399235551,0.0016028339679654
9,agent_llm_attempt_1,4.154538218979724,0.0001090751204923,2.5687653432098336e-05,0.0002431182500508,6.100717137936349e-05,0.0003298130748623
9,env_Edit_Script_(AI),22.31136676808819,0.000656513769163,0.0001255305788443,0.001622294631165,0.0002372913217883,0.0019851165317977
10,agent_llm_attempt_1,3.11363434093073,8.14766834049295e-05,2.0578805042600266e-05,0.0001752565290935,5.052768028981518e-05,0.0002463630144259
10,env_Execute_Script,28.315788556006737,0.0003806588002394,0.0001562556055269,0.0006994000039632,0.0002953515937448,0.001151007203235
11,agent_llm_attempt_1,4.719560934929177,0.0001221715374191,2.7778832940413214e-05,0.0002891221757401,5.251201818561337e-05,0.0003694130268662
11,env_Edit_Script_(AI),22.3841896840604,0.0006637183036069,0.0001262642857767,0.0016419635357927,0.0002386732349408,0.0020069010565103
12,agent_llm_attempt_1,1.120063657988794,1.299556005187313e-05,6.332903891017164e-06,2.098918345794232e-05,1.1972901287501576e-05,3.929498863646106e-05
12,agent_llm_attempt_2,2.807756953989156,6.650124855925168e-05,1.8499959872023228e-05,0.0001476017847465,3.497968596348074e-05,0.0002010814305821
13,agent_llm_attempt_1,4.710998808033764,0.0001240358131965,2.769565818096126e-05,0.0002949985693305,5.235585502555802e-05,0.000375050082537
13,env_Edit_Script_(AI),13.979966026032344,0.0004074637280159,7.618541088901769e-05,0.0010118583094858,0.0001440141900381,0.0012320579104129
14,agent_llm_attempt_1,1.1166118119144812,1.2970799782503252e-05,6.297684185903213e-06,2.101918348174081e-05,1.1903252744620356e-05,3.922012041226438e-05
