step,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,3.2352634669514373,8.24534443082606e-05,2.7988214126072684e-05,0.0001684065236133,5.292173220853632e-05,0.0002493164699479
1,22.524357716087255,0.0006299650265172,0.00012930644463635623,0.0015149478786219998,0.0002605861345250912,0.0019048404577835
2,18.047070552944206,0.0002753575986387788,9.790389538486834e-05,0.0005313351472863,0.00020336637535492115,0.0008326054180262
3,26.718863235088065,0.0007710125131845001,0.00016019806365642834,0.0018682881612938,0.00030284292309881207,0.0023313291480491997
4,29.219626582111232,0.0004185248045725995,0.00016548022125644808,0.0007872328520086,0.00031279048134228414,0.0012655035546074
5,26.01636160106864,0.0007468122126297,0.0001479159739928117,0.0018306220200514,0.0002796161210318962,0.0022581541150762
6,31.988486751099117,0.0004549082958191577,0.0001782777557335916,0.0008602579104318999,0.00033698152920688614,0.0013755171953725
7,27.418972606072202,0.0007978634014345,0.00016242808298270653,0.0019430387766518,0.00030705196738571496,0.0024125188270204
8,43.1432787720114,0.0006083687400235018,0.00023562164215165557,0.0011482175852356,0.00045570001759947826,0.0018395392449869
9,26.465904987067915,0.0007655888896552999,0.00015121823227639834,0.0018654128812158,0.00029829849316766345,0.00231492960666
10,31.429422896937467,0.0004621354836443295,0.00017683441056950025,0.0008746565330566999,0.00034587927403461515,0.0013973702176609
11,27.103750618989576,0.000785889841026,0.0001540431187171132,0.0019310857115327998,0.0002911852531264134,0.0023763140833765
12,3.9278206119779497,7.949680861112481e-05,2.483286376304039e-05,0.00016859096820444233,4.695258725098231e-05,0.00024037641921856106
13,18.690964834066108,0.0005314995412124,0.00010388106906997895,0.0013068568788163,0.00019637004506365804,0.0016071079929499
14,4.069230877910741,8.465172466463503e-05,2.6286867798021456e-05,0.00017997903287174082,4.9697562657335466e-05,0.0002559634633271644
15,4.064708885969594,8.537624983463859e-05,2.6190283593855364e-05,0.00018244792373414044,4.951602024537149e-05,0.00025815422757340643
16,4.044112351955846,8.32514536330855e-05,2.599012991099666e-05,0.00017659791905436494,4.9141381041651285e-05,0.0002517294300070891
17,4.048417862155475,8.317488251068221e-05,2.6013705133985926e-05,0.00017629902992762764,4.918516499423681e-05,0.00025149790005581145
18,4.05098485480994,8.396561028629581e-05,2.6063376170938604e-05,0.0001785459761727106,4.927949037519284e-05,0.00025388884271880237
19,4.037836981005967,8.294378452395494e-05,2.5948912523204856e-05,0.00017578541840630548,4.9064792565251184e-05,0.00025079912349471067
20,4.044257829897106,8.293568508108372e-05,2.602999948060442e-05,0.00017552875153365645,4.9215881999569126e-05,0.00025077463301380494
21,4.047481721965596,8.272181438603511e-05,2.6021858305818577e-05,0.00017490430658986255,4.920178213473668e-05,0.00025012794703045677
22,4.0440436290809885,8.255451238001383e-05,2.6007739847527897e-05,0.00017443902844142044,4.917530362727121e-05,0.00024962207191626517
23,4.043242588173598,8.331646794010404e-05,2.5969938589348944e-05,0.00017684986370265177,4.910621304459508e-05,0.0002519260153365688
24,4.035776449018158,8.237175778874088e-05,2.591788173360588e-05,0.0001741462504333434,4.900534027999837e-05,0.0002490694724470261
25,4.0455901169916615,8.243146493862552e-05,2.6006521659672654e-05,0.0001740762503743206,4.916723836342701e-05,0.0002492500103973912
26,4.042080946965143,8.313650264813744e-05,2.5994637327573592e-05,0.0001762409743263867,4.914623828501337e-05,0.0002513818499389714
27,4.0379451889311895,8.244181486363458e-05,2.5958097303731253e-05,0.00017424402828324228,4.907918012856196e-05,0.00024928130571549764
28,4.048147068126127,8.209637677912886e-05,2.5987752150464623e-05,0.00017311569405008596,4.91333500401298e-05,0.0002482367962406211
29,4.035840512951836,8.20629355087885e-05,2.5942103712418624e-05,0.0001731406940662913,4.905288128550941e-05,0.0002481356790642156
30,4.0368734310613945,8.244748940304419e-05,2.594140482000505e-05,0.00017430541722158132,4.905164191570495e-05,0.0002492984639572772
31,4.052506937878206,8.22047994400751e-05,2.6055103386126585e-05,0.00017324513859759216,4.9264394474125255e-05,0.000248564636457808
32,4.037367440876551,8.280161794034864e-05,2.5960264902829414e-05,0.00017532236248383632,4.9086623577426915e-05,0.0002503692509640909
33,4.0417821330484,8.203075617713894e-05,2.600499611268854e-05,0.00017286180495540516,4.917157657425074e-05,0.0002480383776423967
34,4.048900226014666,8.284423737540573e-05,2.5999762507502898e-05,0.0001753370847125881,4.916127315858224e-05,0.00025049812037866286
35,4.041409972938709,8.145806590501302e-05,2.5931374578613105e-05,0.0001713437481888797,4.9031597474499405e-05,0.0002463067202420169
36,4.0394457700895146,8.195595970462704e-05,2.592738918124576e-05,0.00017286236051098988,4.902246405060093e-05,0.00024781221374288557
37,4.036752548068762,8.148315274373454e-05,2.5950538541814056e-05,0.00017136791487000263,4.9064122510026215e-05,0.00024638257592182375
