step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,2.9810985228978097,7.76079167619361e-05,3.257290954887699e-05,0.0001637504087739,3.834161301428039e-05,0.000234664931337
1,agent_llm_attempt_1,7.793275897856802,0.000199730980007,5.057819708350974e-05,0.0004710300990424,8.232308954724835e-05,0.0006039313856732
2,agent_llm_attempt_1,3.7669137082993984,9.792769120872704e-05,3.6799590033714336e-05,0.0002155110057415,4.379572806776398e-05,0.000296106323843
2,env_Inspect_Script_Lines,1.00789693929255,1.0029094778480035e-05,8.219551945377329e-06,1.2297509833558706e-05,9.8081542010833e-06,3.0325215980019336e-05
3,agent_llm_attempt_1,3.692897971253842,9.49213832665014e-05,3.664851389669516e-05,0.0002079796108347,4.238795321564087e-05,0.000287016077947
4,agent_llm_attempt_1,5.028843646869063,0.0001323946511204,3.280663356740505e-05,0.0002993174616747,6.8200807304432e-05,0.0004003249025466
4,env_Edit_Script_(AI),22.487475370056927,0.0006842628338735,0.0001935642952037,0.0016349746413126,0.0002404831120977,0.0020690220486141
5,agent_llm_attempt_1,2.411586252041161,6.966401600704584e-05,2.4189924385145735e-05,0.0001201556516789,6.62991907977913e-05,0.0002106447668619
5,env_Execute_Script,4.473172747064382,7.351045370597044e-05,2.7810239830388265e-05,0.0001273048240619,6.716026949127102e-05,0.0002222753333836
6,agent_llm_attempt_1,3.42602965189144,9.457231935161452e-05,4.041572455696625e-05,0.0001889095955718,5.663528483257527e-05,0.0002859606049613
7,agent_llm_attempt_1,5.908505044877529,0.0001600327284944,4.632882065742419e-05,0.0003719350197712,6.563098384584818e-05,0.0004838948242745
8,agent_llm_attempt_1,3.737898576073349,9.488302908791892e-05,3.1654647915615344e-05,0.000212007669603,4.323778797277353e-05,0.0002869001054914
8,env_Inspect_Script_Lines,1.0108874458819628,1.0135585036685038e-05,7.779200002115182e-06,1.3026954860606564e-05,9.84105828166422e-06,3.0647213144385964e-05
9,agent_llm_attempt_1,3.3795426608994603,9.165790045198828e-05,2.838436754911938e-05,0.0001932240434712,5.553979516132839e-05,0.0002771482061816
10,agent_llm_attempt_1,3.561512586195022,8.816374163511472e-05,2.622683393340528e-05,0.0002005087715204,3.984722836563985e-05,0.0002665828338194
10,env_Inspect_Script_Lines,1.0105683039873838,1.073328941512802e-05,6.950467457011825e-06,1.5666401417036013e-05,9.837637427780365e-06,3.2454506301828206e-05
11,agent_llm_attempt_1,3.446944886818528,9.144554289001112e-05,2.7387860101717632e-05,0.0001920834870006,5.703474839295572e-05,0.0002765060954952
12,agent_llm_attempt_1,2.872705067973584,6.926006087128282e-05,2.187946507741529e-05,0.0001513212321668,3.622262072232035e-05,0.0002094233179666
12,env_List_Files,1.013112242333591,1.054702126340773e-05,6.094739987531323e-06,1.5898623829002645e-05,9.897918978499044e-06,3.1891282795033013e-05
13,agent_llm_attempt_1,3.238163041882217,8.846764275685717e-05,3.306075675301027e-05,0.0001814457007114,5.299528951290996e-05,0.0002675017469773
14,agent_llm_attempt_1,2.947161286137998,7.689728650039796e-05,3.3433145237148334e-05,0.0001613767957735,3.770624045023902e-05,0.0002325161814609
14,env_List_Files,1.0122462138533592,9.542714182935228e-06,5.903515873852302e-06,1.306639934028908e-05,9.884620018096435e-06,2.885453523223782e-05
15,agent_llm_attempt_1,3.670480583794415,9.081795182720186e-05,2.5911831209185147e-05,0.0002068318321377,4.186476990192508e-05,0.0002746084332488
16,agent_llm_attempt_1,3.316128123085946,9.36968398669613e-05,3.903214734957045e-05,0.0001898359852035,5.444526395682866e-05,0.0002833133965099
16,env_Inspect_Script_Lines,1.0074909832328558,1.0304156584474184e-05,8.194822673207644e-06,1.3156399404579132e-05,9.805704924898844e-06,3.115692700268562e-05
17,agent_llm_attempt_1,3.6329271448776126,9.068122954988028e-05,2.9620578433441964e-05,0.0002036212740108,4.095317035421936e-05,0.0002741950227985
