step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,3.688781775068492,8.751787176597275e-05,2.2132033364738738e-05,0.0002006715494289,4.182631871145633e-05,0.0002646299015051
1,agent_llm_attempt_1,4.956748659722507,0.0001256938475121,3.064574593749101e-05,0.0002922816227197,5.713615226429991e-05,0.0003800635209215
1,env_Edit_Script_(AI),11.603774613235146,0.0003185095149333,6.304200999846615e-05,0.0007824675704242,0.0001175753285733,0.000963084908996
2,agent_llm_attempt_1,2.8993250499479477,7.505877027160823e-05,1.976481697251882e-05,0.0001704293030115,3.676289557479322e-05,0.0002269570155588
2,env_Execute_Script,1.9883720432408156,3.471766059802147e-05,1.5545529267533542e-05,6.0577548474327614e-05,2.8853550678791686e-05,0.0001049766284206
3,agent_llm_attempt_1,3.775787040125578,9.294540683422588e-05,2.360555562498629e-05,0.000213450448534,4.3985266150492765e-05,0.0002810412703095
4,agent_llm_attempt_1,5.733615499921143,0.0001515907413196,3.304130735856905e-05,0.0003629150125519,6.241226395747315e-05,0.0004583685838679
4,env_Edit_Script_(AI),14.764447301626204,0.0004175655245182,7.976548436623297e-05,0.0010337038825198,0.000149133589464,0.0012626029563502
5,agent_llm_attempt_1,3.4993959558196366,0.0001020591160802,3.11870583245884e-05,0.0002193726754953,5.8038879138055366e-05,0.0003085986129579
5,env_Execute_Script,2.077394180931151,4.456294480425674e-05,3.2362679434693904e-05,4.253142291332779e-05,5.985194958824045e-05,0.0001347460519362
6,agent_llm_attempt_1,5.095021525863558,0.0001401096149662,3.676656792129113e-05,0.0003174227539375,6.94635031046346e-05,0.0004236528249634
7,agent_llm_attempt_1,2.9719035532325506,7.440532101488478e-05,2.0470596114017383e-05,0.0001663456886333,3.81648805199398e-05,0.0002249811652673
8,agent_llm_attempt_1,4.626630626153201,0.0001256992628696,2.7018687980966143e-05,0.0003024891308811,5.0572076606719445e-05,0.0003800798954688
8,env_Edit_Script_(AI),14.43430085107684,0.0004278454663378,7.748131223399236e-05,0.0010540825099312,0.0001621228424185,0.0012936866645837
9,agent_llm_attempt_1,3.931847367901355,0.0001084959390198,2.5171189471056435e-05,0.0002560382603959,4.685233999561105e-05,0.0003280617898626
9,env_Edit_Script_(AI),16.183370864018798,0.0004624604323136,9.350364269095928e-05,0.0011282525692664,0.0001765965608388,0.0013983527727962
10,agent_llm_attempt_1,3.9299271372146896,0.0001077707627233,2.5158290158541337e-05,0.0002538649253125,4.684584131852413e-05,0.0003258690567896
11,agent_llm_attempt_1,3.1313545373268425,8.901086575578967e-05,2.0842231027776704e-05,0.0001974854357698,5.081663667483049e-05,0.0002691443034724
12,agent_llm_attempt_1,3.4209688771516085,9.45722847658756e-05,2.063178187831581e-05,0.0002088073892707,5.652132923456116e-05,0.0002859605003836
13,agent_llm_attempt_1,3.150099511258304,9.102830521202594e-05,2.0856718078433376e-05,0.0002032176625661,5.117010321183545e-05,0.0002752444838564
14,agent_llm_attempt_1,3.2511381492950022,8.833193817462031e-05,2.8140267564386444e-05,0.000185763759724,5.3187386467794166e-05,0.0002670914137561
15,agent_llm_attempt_1,3.1229613330215216,8.802466434691808e-05,2.0852422662390892e-05,0.0001945518223109,5.0758057492526464e-05,0.0002661623024659
16,agent_llm_attempt_1,3.256269094068557,8.789257695094583e-05,2.8965140024207728e-05,0.0001835040356894,5.329373090450342e-05,0.0002657629066181
17,agent_llm_attempt_1,3.105587365105748,8.29398604414434e-05,2.714478520225432e-05,0.0001732531941556,5.0389278793914456e-05,0.0002507872581517
18,agent_llm_attempt_1,3.1011905623599887,8.498516868008756e-05,2.083473483413804e-05,0.0001859307042977,5.020626691402868e-05,0.0002569717060458
19,agent_llm_attempt_1,3.0004588291049004,7.879210376009778e-05,1.949746393125641e-05,0.0001823601458852,3.6387976332722855e-05,0.0002382455861492
20,agent_llm_attempt_1,3.1111273490823805,8.578499784681947e-05,2.088048174969188e-05,0.0001880887615826,5.042092547260432e-05,0.0002593901688049
21,agent_llm_attempt_1,3.4169573318213224,9.550622732342358e-05,2.9856750207754863e-05,0.000202492661991,5.643507284112275e-05,0.0002887844850398
22,agent_llm_attempt_1,4.652845121920109,0.0001236329115001,2.7464151053775496e-05,0.0002951460694475,5.122159845066361e-05,0.000373831818952
22,env_Edit_Script_(AI),14.91864010412246,0.000431847109275,8.172570677845832e-05,0.0010717066906948,0.0001523541314579,0.0013057865289312
23,agent_llm_attempt_1,3.5185950282029808,9.52807105176949e-05,2.0647626374874377e-05,0.0002090440561275,5.8410901928113566e-05,0.0002881025844305
24,agent_llm_attempt_1,3.0766642186790705,8.33414285802467e-05,2.0876155405845823e-05,0.0001814165340121,4.970880000877919e-05,0.0002520014894267
25,agent_llm_attempt_1,3.082295171916485,8.851878587436147e-05,2.674461684354008e-05,0.000191017652817,4.989411999574967e-05,0.0002676563896563
26,agent_llm_attempt_1,3.360471310093999,9.314655181355044e-05,2.973517874826324e-05,0.0001965676572552,5.534664123551921e-05,0.000281649477239
26,env_Execute_Script,1.953640933614224,2.9423341501209045e-05,1.505826419383789e-05,4.573614769753931e-05,2.817365607350237e-05,8.896806796487958e-05
