step,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,3.688781775068492,8.751787176597275e-05,2.2132033364738738e-05,0.0002006715494289,4.182631871145633e-05,0.0002646299015051
1,16.560523272957653,0.0004442033624454,9.368775593595715e-05,0.0010747491931439,0.0001747114808375999,0.0013431484299175
2,4.8876970931887636,0.0001097764308696297,3.531034624005236e-05,0.0002310068514858276,6.56164462535849e-05,0.0003319336439794
3,3.775787040125578,9.294540683422588e-05,2.360555562498629e-05,0.000213450448534,4.3985266150492765e-05,0.0002810412703095
4,20.49806280154735,0.0005691562658378,0.00011280679172480203,0.0013966188950717,0.00021154585342147313,0.0017209715402181
5,5.5767901367507875,0.00014662206088445674,6.35497377592823e-05,0.0002619040984086278,0.00011789082872629581,0.0004433446648941
6,5.095021525863558,0.0001401096149662,3.676656792129113e-05,0.0003174227539375,6.94635031046346e-05,0.0004236528249634
7,2.9719035532325506,7.440532101488478e-05,2.0470596114017383e-05,0.0001663456886333,3.81648805199398e-05,0.0002249811652673
8,19.060931477230042,0.0005535447292074,0.00010450000021495851,0.0013565716408123,0.00021269491902521946,0.0016737665600525
9,20.115218231920153,0.0005709563713334,0.00011867483216201571,0.0013842908296623,0.00022344890083441103,0.0017264145626587999
10,3.9299271372146896,0.0001077707627233,2.5158290158541337e-05,0.0002538649253125,4.684584131852413e-05,0.0003258690567896
11,3.1313545373268425,8.901086575578967e-05,2.0842231027776704e-05,0.0001974854357698,5.081663667483049e-05,0.0002691443034724
12,3.4209688771516085,9.45722847658756e-05,2.063178187831581e-05,0.0002088073892707,5.652132923456116e-05,0.0002859605003836
13,3.150099511258304,9.102830521202594e-05,2.0856718078433376e-05,0.0002032176625661,5.117010321183545e-05,0.0002752444838564
14,3.2511381492950022,8.833193817462031e-05,2.8140267564386444e-05,0.000185763759724,5.3187386467794166e-05,0.0002670914137561
15,3.1229613330215216,8.802466434691808e-05,2.0852422662390892e-05,0.0001945518223109,5.0758057492526464e-05,0.0002661623024659
16,3.256269094068557,8.789257695094583e-05,2.8965140024207728e-05,0.0001835040356894,5.329373090450342e-05,0.0002657629066181
17,3.105587365105748,8.29398604414434e-05,2.714478520225432e-05,0.0001732531941556,5.0389278793914456e-05,0.0002507872581517
18,3.1011905623599887,8.498516868008756e-05,2.083473483413804e-05,0.0001859307042977,5.020626691402868e-05,0.0002569717060458
19,3.0004588291049004,7.879210376009778e-05,1.949746393125641e-05,0.0001823601458852,3.6387976332722855e-05,0.0002382455861492
20,3.1111273490823805,8.578499784681947e-05,2.088048174969188e-05,0.0001880887615826,5.042092547260432e-05,0.0002593901688049
21,3.4169573318213224,9.550622732342358e-05,2.9856750207754863e-05,0.000202492661991,5.643507284112275e-05,0.0002887844850398
22,19.57148522604257,0.0005554800207751,0.00010918985783223381,0.0013668527601422998,0.0002035757299085636,0.0016796183478832
23,3.5185950282029808,9.52807105176949e-05,2.0647626374874377e-05,0.0002090440561275,5.8410901928113566e-05,0.0002881025844305
24,3.0766642186790705,8.33414285802467e-05,2.0876155405845823e-05,0.0001814165340121,4.970880000877919e-05,0.0002520014894267
25,3.082295171916485,8.851878587436147e-05,2.674461684354008e-05,0.000191017652817,4.989411999574967e-05,0.0002676563896563
26,5.314112243708223,0.00012256989331475948,4.479344294210113e-05,0.0002423038049527393,8.352029730902157e-05,0.00037061754520387955
27,3.7294316571205854,9.49935123332624e-05,2.323482519537377e-05,0.0002209337878511,4.30655633008832e-05,0.0002872341763474
28,19.024189922958612,0.0005434483479786,0.00011393893432012063,0.0013166888311246,0.00021261012296364506,0.0016432378884085
29,5.241426543798298,0.00013381714816129782,3.655561089291744e-05,0.00028606356218566215,8.200696810898889e-05,0.00040462614118759997
30,19.349894301965833,0.0005519227029188,0.00011718972481045481,0.0013329496774687,0.00021872259772941975,0.0016688620000087
31,4.789769946131855,0.0001226286481381732,3.40582033139524e-05,0.00027312632960260004,6.361067066512381e-05,0.0003707952035817
32,19.95622796798125,0.0005598586037793,0.00011165446404645709,0.0013603991438770001,0.0002208043670863671,0.0016928579750098
33,6.066711808554828,0.00014935911568774314,4.168624974103399e-05,0.00030195913046777734,0.00010797538336547506,0.00045162076357420003
34,3.7755631008185446,9.853648294311508e-05,2.4161722017912016e-05,0.000229994628448,4.379079164031687e-05,0.0002979471421063
35,3.7698512002825737,0.0001041605597182,2.3523830785668665e-05,0.0002476410314429,4.3787936585593145e-05,0.0003149527988141
36,16.929499137215316,0.00048886766325,9.68204968185536e-05,0.0011898856741224,0.0001914947834978146,0.0014782009544389
37,18.50026639085263,0.0005482841853729,0.00011279758904627932,0.0013234327254138,0.00022162981221262391,0.0016578601266728
38,5.1143297157250345,0.0001462777691826415,5.2746334352663834e-05,0.0002805393911059746,0.00010901789630556273,0.00044230362176420003
39,4.112030922900885,0.0001105839575533,2.5678079804365367e-05,0.0002487240878679,5.99732142342772e-05,0.0003343753819065
40,4.285924544092268,0.00012597212297,2.6070821210210435e-05,0.0002913168997196,6.351722821127623e-05,0.0003809049491411
41,3.425392940174788,9.843599799801572e-05,2.0847719945057728e-05,0.0002202576761973,5.6537907209713024e-05,0.0002976433033521
42,3.443387805018574,9.834947313345076e-05,2.088983262290841e-05,0.0002196801757392,5.681166766832272e-05,0.0002973816760304
43,3.450570560991764,9.788701408903648e-05,2.0865828186158424e-05,0.0002181154522702,5.700204699791761e-05,0.0002959833274543
44,3.55846865195781,9.11852807334825e-05,2.112587843178514e-05,0.0002148590607831,3.973419531507211e-05,0.0002757191345299
45,3.444142295047641,9.747375963520928e-05,2.086968651282655e-05,0.0002168762846181,5.698778885546037e-05,0.0002947337599864
46,3.3038073303177957,9.098150935466968e-05,2.908641975638548e-05,0.0001918532090314,5.416335730503004e-05,0.0002751029860928
47,3.332242547068745,8.848565446581126e-05,2.091459281060593e-05,0.0001918357090247,5.4805907581208485e-05,0.0002675562094165
48,3.420208635274321,9.026988304354368e-05,2.0574562490039985e-05,0.0001959212678457,5.645539410179482e-05,0.0002729512244375
49,3.3319489927962422,9.081961169184576e-05,2.9408057227518423e-05,0.0001904079301056,5.479746488854289e-05,0.0002746134522216
