step,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,3.146207915036939,7.936251736852076e-05,2.701563317300233e-05,0.0001618767961666,5.107793020692448e-05,0.0002399703595465
1,15.609349470003506,0.00043782360016947396,0.00010323107947318,0.0010254969315095,0.00019512977773613498,0.0013238577887187998
2,18.301620074897073,0.0005064849739362674,0.00011296436072849305,0.0011910037305769999,0.00022750275072980295,0.0015314708420354
3,15.417738981079312,0.00044341081721141495,9.372516338810143e-05,0.001056008067028,0.00019101876134543146,0.0013407519917616
4,118.73427619412541,0.003634738177492953,0.0006440072116560245,0.009129074525478599,0.0012173638312738995,0.0109904455684088
5,8.409987326012924,0.00018410579261477134,6.520544394105474e-05,0.0003380758260201603,0.00015340385940799026,0.0005566851293691999
6,2.780934576992877,6.694205329123264e-05,1.82231116554866e-05,0.0001497401197916,3.445107104392567e-05,0.000202414302491
7,2.3438905799994245,7.069018920742927e-05,3.439615536611898e-05,0.00011429981366,6.50516625131584e-05,0.0002137476315393
8,3.188796345028095,6.87418796163976e-05,2.0706431072739273e-05,0.00011548870350166449,7.166134622303718e-05,0.00020785648079751272
9,3.270022590062581,7.062001297141207e-05,2.070548040295308e-05,0.00011962926236995289,7.320069518755191e-05,0.00021353543796040345
10,3.2652748780092224,7.042809747847818e-05,2.071024359363807e-05,0.00011909426194019745,7.315063291785515e-05,0.00021295513845169425
11,13.191511698067188,0.0003623522513343539,7.835280395039203e-05,0.0008691734731147088,0.00014812697233279699,0.0010956532493979116
12,25.510361114982516,0.0007242248221327897,0.00014554191059970635,0.0017551852930351554,0.0002891288735449922,0.0021898560771800523
13,25.506461972137913,0.0007313176903850613,0.00015275266820847602,0.0017697830824889304,0.0002887672034362881,0.0022113029541337634
14,25.4698889660649,0.0007347989722101924,0.00015250312080494982,0.0017811008693228401,0.00028822539989702194,0.0022218293900249865
15,25.474806995014657,0.0007354655492491961,0.0001523256532354729,0.0017835589268474664,0.000287960355025353,0.002223844935108425
16,25.481000188854523,0.0007359567566174001,0.0001528330680356076,0.001783593371317826,0.00028890377133207213,0.0022253302106855625
17,13.23453863186296,0.0003727766966563879,7.893500059397366e-05,0.000899021274770768,0.00014921762099541302,0.001127173896360222
18,13.256775461952202,0.0003743490334294868,7.88723746634113e-05,0.0009039607231659925,0.00014909511118694872,0.0011319282090163946
19,37.78764943999704,0.0011068649789075398,0.0002193790413586847,0.0026979938250606844,0.000429481489580479,0.0033468543559999945
20,13.229346087086014,0.0003751324492206776,7.860659230096191e-05,0.0009071154479140735,0.00014857500204064634,0.0011342970422557057
21,13.234268547967076,0.000375854961984295,7.887462127356638e-05,0.0009085704490771414,0.00014903665118936072,0.0011364817215401915
22,25.471192266908474,0.0007406347431735869,0.00014497393013780728,0.0018064875563029337,0.00028801366511928235,0.0022394751515601363
23,13.237731812056154,0.00037497720891103785,7.893785749671353e-05,0.000905671557870059,0.00014921822301723132,0.0011338276383840717
24,13.235116536030546,0.00037326087241984734,7.152241113076929e-05,0.0009082160043511292,0.00014889949482198883,0.0011286379103039128
25,25.4784028979484,0.00074169352558631,0.0001527613418030474,0.0018011486631408164,0.00028876661255608017,0.0022426766175000414
26,25.513804384157993,0.0007442022884811073,0.00015310037220049797,0.0018077433906390139,0.0002894186615859618,0.002250262424425495
27,13.234893336077219,0.00037600764783656974,7.869044285718747e-05,0.000909509616496585,0.00014874334208362782,0.0011369434014374333
28,25.508085820940323,0.0007469931503598644,0.00015290107555688802,0.0018168003423290162,0.0002889998029726154,0.002258701220858562
29,13.259366967948152,0.0003780921093329979,7.907105557717535e-05,0.0009147123984369866,0.00014946278396809292,0.0011432462379823054
30,24.499104773974977,0.0007331034988565,0.00013270385297986707,0.0018048311660869,0.0002791677272506,0.0022167027463174
31,25.503641342860647,0.0007500907259861449,0.00015295717561381484,0.0018260200719238942,0.0002890901875164191,0.0022680674350542287
32,13.256242642062714,0.00037969986656220356,7.917419691174725e-05,0.0009192801798683028,0.00014965327554671557,0.0011481076523267263
33,13.253791669849308,0.0003740143106048832,7.911502062901262e-05,0.0009022332217848664,0.00014956785711785713,0.0011309160995317787
34,25.505119553999975,0.0007381471566753928,0.000152842156014223,0.0017901725432503833,0.0002889386769516117,0.0022319533762164
35,25.502408521948382,0.0007381156579696224,0.00015306803479716848,0.0017894244870930145,0.00028936561092907434,0.0022318581328193304
36,13.25573900504969,0.00037228412210718115,7.897196442166201e-05,0.0008974304401689039,0.00014928208221452418,0.0011256844868051332
37,12.24385747301858,0.0003628331214175,7.392937515960385e-05,0.000883443206753,0.0001397346859636,0.0010971072678762
38,13.251572988927364,0.000374124203475031,7.885712543744793e-05,0.0009033254448844001,0.00014906581493391918,0.0011312483852558477
39,13.263040543999523,0.0003761620428662511,7.91177864444975e-05,0.000908714338081009,0.00014957812489041318,0.0011374102494159301
40,12.243207492982036,0.0003661925271648,7.392676113191919e-05,0.00089360071488,0.0001397377081173,0.0011072651841293
41,13.320758542045951,0.00038187245072805607,7.967302974031493e-05,0.0009243974061820201,0.0001506065115920744,0.0011546769475144524
42,24.76782481605187,0.000748916315535,0.0001503624377033039,0.0018299109083698,0.00028424299575,0.0022645163418232002
43,10.090363787021488,0.0003005144804251,6.212665028703878e-05,0.0007291064166192,0.0001174398218543,0.0009086728887606
44,12.21835686196573,0.0003668162428898,7.366466663847839e-05,0.0008962373836549,0.0001392490781297,0.0011091511284231
45,8.832265297998674,0.0002548625249483,4.929747294006813e-05,0.0006281524469677,9.31840490575673e-05,0.0007706339689654
46,6.270109515986405,0.000181206498309,4.35930172825206e-05,0.0004219131153071,8.241233059961815e-05,0.0005479184631892
47,4.899777736980468,8.452645208021606e-05,3.6205665597259176e-05,0.0001535287339358149,6.58502740565584e-05,0.0002555846735895
48,2.497897628927604,6.943560058714485e-05,1.5472769569940268e-05,0.0001264912123044,6.799011976852652e-05,0.0002099541016429
49,2.469088882091455,7.459583502886726e-05,3.568209193990794e-05,0.0001223942645829,6.748087056750795e-05,0.0002255572270903
