step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,3.0664793117903173,8.271562110153019e-05,3.363739951694037e-05,0.0001668601334898,4.961168723982863e-05,0.0002501092202466
1,agent_llm_attempt_1,3.2094144336879253,9.182848557783544e-05,4.393572908367629e-05,0.0001813062561666,5.242202329423486e-05,0.0002776640085445
2,agent_llm_attempt_1,3.301457703579217,8.498007786994307e-05,3.155736277873239e-05,0.0001712004147407,5.419853532091818e-05,0.0002569563128403
2,env_List_Files,1.0118095967918634,1.0029731303530224e-05,8.410131759261805e-06,1.2046676303612005e-05,9.870332593305245e-06,3.032714065617905e-05
3,agent_llm_attempt_1,2.9839817550964653,7.492764019620087e-05,3.326762621376977e-05,0.0001548667905524,3.842609761826073e-05,0.0002265605143844
4,agent_llm_attempt_1,2.981667183805257,7.561657196376582e-05,3.376444365071313e-05,0.0001565234585498,3.8355751799988665e-05,0.0002286436540005
4,env_Inspect_Script_Lines,1.0081047751009464,9.458255536979806e-06,6.743052687554902e-06,1.2050842975952492e-05,9.805259922157143e-06,2.859915558566454e-05
5,agent_llm_attempt_1,4.461962199304253,0.0001186458945118,3.9108706268603374e-05,0.0002526715910278,6.697215800328802e-05,0.0003587524552997
6,agent_llm_attempt_1,3.745943152811378,9.748182062507122e-05,3.705416759864205e-05,0.0002142796158679,4.342435072952261e-05,0.0002947581341961
6,env_Inspect_Script_Lines,1.008848343975842,9.885576490538322e-06,7.848994162236614e-06,1.2212509766129642e-05,9.829752339929755e-06,2.989125626829601e-05
7,agent_llm_attempt_1,4.430867274757475,0.0001164961748804,3.3769306627812504e-05,0.0002522557573598,6.622723216941167e-05,0.0003522522961571
8,agent_llm_attempt_1,3.377426204737276,9.078984094956208e-05,3.285591409214181e-05,0.0001859357043016,5.573181531573129e-05,0.0002745234337095
8,env_Inspect_Script_Lines,1.012374680954963,1.043665193911356e-05,5.449845202355403e-06,1.6254179669772384e-05,9.853531532765678e-06,3.155755640489347e-05
9,agent_llm_attempt_1,4.145810451824218,0.0001177063951568,5.0675690765505775e-05,0.0002445335289706,6.070244868492915e-05,0.0003559116684211
9,env_Inspect_Script_Lines,1.0081703402101994,9.725254307029198e-06,7.306382912888384e-06,1.229862095186718e-05,9.801482347150644e-06,2.940648621190621e-05
10,agent_llm_attempt_1,4.274158085230738,0.0001153549233658,4.412657655400409e-05,0.0002413518597492,6.332303009953143e-05,0.0003488014664028
11,agent_llm_attempt_1,3.348798247985542,9.264311735842762e-05,4.167996271983809e-05,0.0001833120910887,5.513517651577584e-05,0.0002801272303244
11,env_Inspect_Script_Lines,1.0100634600967169,1.1500553919422268e-05,5.464892776513724e-06,1.947112669853368e-05,9.838483029873008e-06,3.477450250492041e-05
12,agent_llm_attempt_1,3.853502975776792,0.0001010645320599,3.789289310620585e-05,0.0002224807335409,4.5217638599893287e-05,0.000305591265247
12,env_Inspect_Script_Lines,1.0084530697204173,9.91258618096162e-06,7.787773573355143e-06,1.23786210082244e-05,9.806531539652498e-06,2.997292612123204e-05
13,agent_llm_attempt_1,3.7437279340811074,9.646262923373056e-05,3.3369251173846755e-05,0.0002150796165025,4.32275129068229e-05,0.0002916763805832
13,env_Inspect_Script_Lines,1.0098472284153104,1.0134188969509738e-05,8.473548422482166e-06,1.2337787644867149e-05,9.831655755018196e-06,3.064299182236751e-05
14,agent_llm_attempt_1,5.285152365919203,0.0001470982044515,5.261553547613382e-05,0.0003191099775037,7.305887871189043e-05,0.0004447843916917
15,agent_llm_attempt_1,4.822793634142727,0.0001263841606745,3.922734439191786e-05,0.0002883821751495,5.454131795300379e-05,0.0003821508374945
16,agent_llm_attempt_1,4.030177588108927,0.0001121637269315,4.079190567386306e-05,0.0002398488029839,5.851146005249272e-05,0.0003391521687103
16,env_Inspect_Script_Lines,1.0144549277611077,1.0318753150640171e-05,6.884102618194228e-06,1.4393067068851906e-05,9.92389330511085e-06,3.1201062992156984e-05
17,agent_llm_attempt_1,4.571787849068642,0.0001232799921414,3.996340774365573e-05,0.0002832468932609,4.955438716311215e-05,0.0003727646881677
17,env_Inspect_Script_Lines,1.0100722392089665,9.776183736514136e-06,7.295259615629137e-06,1.2432232161074808e-05,9.832990980551887e-06,2.9560482757255837e-05
18,agent_llm_attempt_1,4.132198836188763,0.0001085939141995,2.857541314049967e-05,0.0002393329692367,6.044965740163914e-05,0.0003283580397788
19,agent_llm_attempt_1,4.152259649708867,0.0001101064854543,3.43927708628727e-05,0.0002377138012903,6.0825065841587886e-05,0.0003329316379948
19,env_Inspect_Script_Lines,1.009753012098372,1.094823789706876e-05,8.044713000901e-06,1.5231678844429553e-05,9.828059370112088e-06,3.310445121544264e-05
20,agent_llm_attempt_1,3.4820500849746168,9.535250016167288e-05,3.462588803713832e-05,0.000196139601357,5.7554167115853895e-05,0.0002883196565099
21,agent_llm_attempt_1,4.310140441171825,0.000120177440217,3.827241190573579e-05,0.0002610621532994,6.404886181440412e-05,0.0003633834270196
21,env_Edit_Script_(AI),28.674849674105644,0.0008012632528415,0.0001722972423696,0.0019685876859796,0.0002819141114415,0.0024227990397907
22,agent_llm_attempt_1,2.573750764131546,6.267344260100243e-05,2.6541437652162742e-05,0.0001326070505385,3.035871311375458e-05,0.0001895072013044
22,env_Execute_Script,1.0336792920716107,1.0266448649520178e-05,7.770853324090694e-06,1.2975565930162247e-05,1.0296489355257816e-05,3.104290860951076e-05
23,agent_llm_attempt_1,2.5388706494122744,6.105489470200812e-05,2.7179771708733647e-05,0.0001277148243943,2.9718562848089888e-05,0.0001846131589511
23,env_Inspect_Script_Lines,1.0096773109398782,9.988772486238525e-06,7.572816818147539e-06,1.2798343568931614e-05,9.832132104525547e-06,3.0203292491604703e-05
24,agent_llm_attempt_1,2.9224589010700583,7.016097421878681e-05,2.2087893112282843e-05,0.0001529740112644,3.708552702640494e-05,0.0002121474314031
24,env_Inspect_Script_Lines,1.012747357133776,1.0293290635744632e-05,6.7027589672222135e-06,1.4529178280042744e-05,9.892134123947472e-06,3.112407137121243e-05
25,agent_llm_attempt_1,3.013312146998942,8.010170877025107e-05,3.293299093698467e-05,0.0001606292951734,4.864318432131162e-05,0.0002422054704317
26,agent_llm_attempt_1,3.769079240038991,9.899718022378578e-05,3.635302850014561e-05,0.0002193157310159,4.367140407880976e-05,0.0002993401635949
27,agent_llm_attempt_1,7.2876731608994305,0.0002027931461474,5.3885362693660766e-05,0.0004668039845512,9.250118410628703e-05,0.0006131905313511
28,agent_llm_attempt_1,6.135401939973235,0.0001697819437077,4.895381980273937e-05,0.0003845269742868,7.989296756762392e-05,0.0005133737616571
29,agent_llm_attempt_1,5.615793181583285,0.000156429501923,4.985194961439742e-05,0.0003632086239022,5.9939087593617536e-05,0.0004729996611102
30,agent_llm_attempt_1,6.288180405739695,0.0001727988117541,4.246103595549144e-05,0.0003975569847156,8.247791772397857e-05,0.0005224959383951
31,agent_llm_attempt_1,6.223508534952998,0.000176650366729,5.748158630415117e-05,0.000395205871726,8.145452011764672e-05,0.0005341419781478
32,agent_llm_attempt_1,6.071792670059949,0.0001707449189643,4.8725852324588944e-05,0.0003892680891937,7.829159166819107e-05,0.0005162855331864
33,agent_llm_attempt_1,4.485157590359449,0.0001264511416699,3.698244434967258e-05,0.0002779396668017,6.743125839598684e-05,0.0003823533695474
33,env_Inspect_Script_Lines,1.0096557629294691,1.0286661619194989e-05,6.1939021182563625e-06,1.5082512071273868e-05,9.827612864319236e-06,3.110402705384947e-05
34,agent_llm_attempt_1,4.200403158087283,0.0001184312766222,3.993774202719657e-05,0.0002564735385135,6.169222946563323e-05,0.0003581035100063
34,env_Inspect_Script_Lines,1.0093341609463096,1.0240850719210362e-05,7.923315729847193e-06,1.3228066130466232e-05,9.81412566939576e-06,3.096550752970918e-05
35,agent_llm_attempt_1,3.201204332057386,8.833517784606322e-05,3.503662703645871e-05,0.0001799320883932,5.213249419919319e-05,0.0002671012096289
35,env_Inspect_Script_Lines,1.009114311076701,1.017195304181398e-05,5.960043231177138e-06,1.4960567526145496e-05,9.836569202080784e-06,3.075717995940342e-05
