step,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,3.710437640082091,8.777943970135493e-05,2.2608362398273955e-05,0.0002000865489506,4.272589943656285e-05,0.0002654208107854
1,4.094617629889399,0.000109413100392,2.6077343617333925e-05,0.0002449490848448,5.980860438171982e-05,0.0003308350328439
2,31.32001229654998,0.0008363344635487001,0.00016728934667548586,0.0020476441381163,0.00031391122141952876,0.0025288447062113
3,29.569270899519324,0.0008117937117772,0.00016006287345111432,0.0019950563182575,0.00029952105096694553,0.0024546402426757
4,26.190123924985528,0.0007519538051116999,0.00014212213377267607,0.0018489148124771,0.0002826639261302974,0.0022737008723801
5,3.283432161901146,8.824159023319862e-05,2.8501128656913614e-05,0.0001844451475463,5.387195030149694e-05,0.0002668182265047
6,2.78069736296311,6.8539952725038e-05,1.847812130816457e-05,0.0001543962346275,3.4371553645986654e-05,0.0002072459095816
7,2.7876428747549653,6.829840881753262e-05,1.8480105698110786e-05,0.0001535320672658,3.450337447381268e-05,0.0002065155474377
8,2.98817958496511,7.314261052914579e-05,2.0338086079487025e-05,0.0001623815187912,3.844347221957934e-05,0.0002211630770902
9,2.77515049604699,6.614684807868444e-05,1.829625065152968e-05,0.0001475456735917,3.416789705063113e-05,0.0002000098212939
10,2.766148362774402,6.588546467576215e-05,1.8309421483188063e-05,0.0001468178952279,3.4092153277662066e-05,0.0001992194699888
11,2.7735150577500463,6.583392154029923e-05,1.8383680877546093e-05,0.0001464615060626,3.421843082566435e-05,0.0001990636177658
12,2.7651010220870376,6.664764744556056e-05,1.8265637827428767e-05,0.000149165674891,3.409278771012194e-05,0.0002015241004286
13,2.751448326278478,6.564023001765159e-05,1.816614476373752e-05,0.0001464370615877,3.387474168169623e-05,0.0001984779480332
14,2.7602087701670825,6.652822404230562e-05,1.8228874809141823e-05,0.0001488970635534,3.403705863877096e-05,0.0002011629970013
15,2.755725315306336,6.573596636862562e-05,1.8179587406464656e-05,0.0001466667839977,3.392105694446299e-05,0.0001987674283487
16,2.7607257491908967,6.649101555042996e-05,1.8236475911002585e-05,0.0001487606745627,3.405333831259567e-05,0.0002010504887863
17,2.757405156735331,6.563058848064747e-05,1.8232433321490425e-05,0.0001462248391987,3.3991522164756644e-05,0.000198448794685
18,2.755513260141015,6.650331589339076e-05,1.821450058234472e-05,0.0001489462302686,3.392695077927783e-05,0.0002010876816302
19,2.756713761948049,6.569612351222776e-05,1.8229449809230693e-05,0.0001464484504936,3.3969054239181187e-05,0.000198646954542
20,2.764194682240486,6.648308001567805e-05,1.8306432560267943e-05,0.0001486598411446,3.4060220213399994e-05,0.0002010264939183
21,2.9760591839440167,7.126958687264278e-05,2.019131057494573e-05,0.0001571381812652,3.817007840585171e-05,0.000215499570246
22,2.76438421336934,6.653731109208271e-05,1.825759534375006e-05,0.0001488067857096,3.412609267979861e-05,0.0002011904737331
23,2.7618882609531283,6.552873604880914e-05,1.8211776390460737e-05,0.0001459098389418,3.40192056959495e-05,0.0001981408210282
24,2.98658086406067,7.248950306930896e-05,2.0310571832420696e-05,0.0001604870728328,3.839061563291277e-05,0.0002191882602982
