step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,3.734630626160651,8.858316279098969e-05,2.2812368285100764e-05,0.0002019326615396,4.310601786839673e-05,0.0002678510476931
1,agent_llm_attempt_1,4.368969062808901,0.000117228748964,2.6054467524786827e-05,0.000263265766172,6.514716440061521e-05,0.0003544673980974
2,agent_llm_attempt_1,5.628603743389249,0.0001420531647863,3.2443710153793654e-05,0.0003367211027125,6.036477060471145e-05,0.000429529583471
2,env_Edit_Script_(AI),25.61643309285864,0.0006806021543595,0.0001341121507137,0.0016716252261801,0.0002522157867063,0.0020579531636002
3,agent_llm_attempt_1,5.734513660427183,0.0001512210985177,3.357206337888842e-05,0.0003612225112021,6.245631142390065e-05,0.0004572508860049
3,env_Edit_Script_(AI),25.039402823895216,0.0006893155921508,0.0001336079526425,0.0016900941298487,0.0002605981132972,0.0020843001957886
4,agent_llm_attempt_1,6.0849891123361886,0.0001712800407956,3.6378432495980255e-05,0.0004028789334213,7.864622806793908e-05,0.0005179035939853
4,env_Edit_Script_(AI),24.42243547085673,0.0006967208951945,0.0001289103076439,0.0017196563757195,0.0002581251059995,0.002106691789363
5,agent_llm_attempt_1,3.1089892918244004,8.15827466861439e-05,2.101540522318697e-05,0.0001751781956969,5.04901196096196e-05,0.0002466837205297
6,agent_llm_attempt_1,3.834774577058852,0.0001003045708768,2.434113228450073e-05,0.000233831853734,4.512036625399359e-05,0.0003032933522725
7,agent_llm_attempt_1,3.546913360711187,9.073418694367888e-05,2.124867256570462e-05,0.0002135776708627,3.952880792009334e-05,0.0002743551513485
