step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,3.405243601067923,8.524055866668483e-05,2.0581919637380094e-05,0.0001809807003407,5.618131493522217e-05,0.0002577439349133
1,agent_llm_attempt_1,3.05951027199626,7.797859579344896e-05,2.618692754333232e-05,0.0001600859614008,4.951287352855111e-05,0.0002357857624727
1,env_List_Files,1.0127363610081377,8.844405726420434e-06,5.230660169772303e-06,1.162334263327125e-05,9.88904029234416e-06,2.6743043095387716e-05
2,agent_llm_attempt_1,2.485452368971892,6.619829022352207e-05,1.54828363386849e-05,0.0001169556491209,6.772688268942552e-05,0.000200165368149
2,env_List_Files,1.0129181150114164,8.850923351391682e-06,5.232919152812942e-06,1.163612042098805e-05,9.893711021545137e-06,2.676275059534613e-05
3,agent_llm_attempt_1,2.683419157983735,5.982618958939124e-05,1.7220571737915073e-05,0.0001311187160055,3.2558605898197536e-05,0.0001808978936416
3,env_List_Files,1.0141737079247832,8.863320945406012e-06,5.244833029467386e-06,1.1640842645377347e-05,9.91456182479548e-06,2.680023749964021e-05
4,agent_llm_attempt_1,2.5266512859379877,5.429374482872893e-05,1.5609439451470855e-05,0.000119055928577,2.9503938839318128e-05,0.0001641693068678
4,env_List_Files,1.0129379429854453,9.623506859522594e-06,5.230697128177194e-06,1.397862229524094e-05,9.889510575319745e-06,2.909882999873788e-05
5,agent_llm_attempt_1,3.002603152068332,7.03603202391972e-05,2.0466877706311287e-05,0.0001535887339816,3.869458708925069e-05,0.0002127501987771
5,env_Inspect_Script_Lines,1.0099615190410989,8.824619744246177e-06,5.203382927451415e-06,1.164223153615751e-05,9.83760127985281e-06,2.6683215743461733e-05
6,agent_llm_attempt_1,2.4949914740864187,6.663771814424038e-05,1.5483783190048876e-05,0.0001180273166436,6.79829771268285e-05,0.0002014940769605
6,env_List_Files,1.0130265420302749,8.865675027250819e-06,5.233628344786767e-06,1.1680009343706388e-05,9.893717905247792e-06,2.6807355593740945e-05
7,agent_llm_attempt_1,2.5759811230236664,5.5596249493799583e-05,1.6068764726797985e-05,0.0001216667640004,3.037219293829468e-05,0.0001681077216655
7,env_List_Files,1.01383495493792,8.869257808085421e-06,5.240823555233072e-06,1.1670009335773557e-05,9.907356043630798e-06,2.6818188934637425e-05
8,agent_llm_attempt_1,2.617415349930525,5.75010423657198e-05,1.652692113855955e-05,0.0001260951008763,3.12452678384337e-05,0.0001738672898533
8,env_List_Files,1.012848693993874,9.6390324074585e-06,5.232122866210476e-06,1.4022788995760038e-05,9.890863110841669e-06,2.914577497281218e-05
9,agent_llm_attempt_1,2.5696933809667826,5.626814069380604e-05,1.603869899002614e-05,0.0001237812101368,3.0319426179307308e-05,0.0001701393353062
9,env_List_Files,1.0125611240509895,8.861603064124838e-06,5.23009864784803e-06,1.167667600654454e-05,9.888268446148788e-06,2.679504310054136e-05
10,agent_llm_attempt_1,3.9904460799880326,9.852096800520216e-05,2.5470099676936577e-05,0.0002242843460908,4.814578344618592e-05,0.000297900229214
11,agent_llm_attempt_1,6.290844377013855,0.0001739062570789,4.384294355456501e-05,0.0003991208748548,8.288072914745298e-05,0.0005258445475568
11,env_Inspect_Script_Lines,1.0110518829897046,8.956180290306275e-06,5.212706613011606e-06,1.2021120728178404e-05,9.847191201212504e-06,2.7081018542402514e-05
