step,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,3.491120943799615,8.850311255414714e-05,3.174108920593236e-05,0.0001779859757178,5.788193293588444e-05,0.0002676089978596
1,2.7150980662554502,6.804783081696681e-05,2.389052977259336e-05,0.0001487659523391,3.310138657689095e-05,0.0002057578686886
2,3.973886489868164,8.400946115775268e-05,4.118766277435071e-05,0.00016498485422285482,4.7848918660181685e-05,0.0002540214356574052
3,2.9604299906641245,6.924593644474024e-05,2.426747098378601e-05,0.0001472170622136,3.789607639967775e-05,0.0002093806095971
4,3.6409421120770276,7.17764695830211e-05,3.224532147970389e-05,0.00014339344804871427,4.139347420487967e-05,0.0002170322437333934
5,3.4311856012791404,7.593653649228546e-05,2.9874137027186966e-05,0.00012342176540865431,7.631523603340611e-05,0.00022961113846926257
6,3.457566794939339,7.913407019027557e-05,2.6848200835150283e-05,0.0001355895529257664,7.684184453812325e-05,0.00023927959829903554
7,3.4511116091161966,7.836978992215536e-05,3.23702671374286e-05,0.0001279253801128942,7.667297835254836e-05,0.00023696862560287674
8,3.6590122058987617,7.053932876915591e-05,3.133785991854622e-05,0.00014036650117784744,4.1587110094001725e-05,0.00021329147119036033
9,3.447309861890972,7.842969529008475e-05,2.560869656894398e-05,0.00013484816343371819,7.669290290731523e-05,0.00023714976291003314
10,3.45769133605063,9.648423046434483e-05,6.273094765576169e-05,0.00015212289947890605,7.688784961097149e-05,0.0002917416967456925
11,4.700006871949881,0.00010048656455145058,3.935458809737068e-05,0.0002125051700047468,5.198389283743584e-05,0.000303843650939568
12,3.5339020690880716,7.513859016761981e-05,3.200834472098006e-05,0.0001559198469464498,3.927017723779297e-05,0.0002271983689052056
13,3.723770787939429,8.033878104316805e-05,3.149275971598772e-05,0.00016855096816918887,4.2878583700965266e-05,0.00024292231158615625
14,3.666781648993492,7.868965114052727e-05,3.17780247899107e-05,0.00016442318709401345,4.173458580626175e-05,0.00023793579769021652
15,3.5314195780083537,9.853522656471639e-05,5.994296077336484e-05,0.00015666206977719816,8.133831261398479e-05,0.00029794334316455504
16,3.8495505801402032,8.224522585106197e-05,2.7098551947743184e-05,0.00017617569649524788,4.541262632960247e-05,0.0002486868747725969
17,3.6859306688420475,8.006714111452308e-05,3.262342040043954e-05,0.00016729902273473004,4.217850424142348e-05,0.00024210094737666605
18,3.5305692893452942,7.055810275835239e-05,3.337662986528226e-05,0.00014084789044943472,3.912371824003964e-05,0.00021334823855472727
19,3.800473761279136,7.503749427285728e-05,2.595555803492687e-05,0.0001564756807254903,4.446144404743488e-05,0.0002268926828078583
20,4.849773258436471,0.00010412937965542594,3.615265780306518e-05,0.00022364129003448594,5.506457106805304e-05,0.0003148585189055118
21,4.503412707708777,0.00010483528711028912,4.235767560477995e-05,0.00020683794325283776,6.779736945948873e-05,0.00031699298831718454
22,3.5752937514334917,6.765034455041141e-05,2.6243674435778288e-05,0.0001383312217697026,3.9981083663749616e-05,0.00020455597986922884
23,3.173847465775907,8.537359004572339e-05,3.603515286923086e-05,0.0001706356920578,5.147534017839159e-05,0.0002581461851055
24,2.9885958889499307,7.716482342657055e-05,3.375302591505101e-05,0.0001611748511649,3.839726224282964e-05,0.0002333251393228
25,3.32691657776013,8.532323038573148e-05,2.4378123512712152e-05,0.0001789445876028,5.467120027040235e-05,0.0002579939113859
26,3.578887394629419,7.003797271596068e-05,2.5086098058895795e-05,0.00014666345064990018,4.0025960080998234e-05,0.00021177550878976302
27,4.377255990635604,0.0001016780063849047,3.57977314004274e-05,0.00020638183176655914,6.526667920536259e-05,0.00030744624237226864
28,4.159636554773897,0.0001023630916257236,4.0173515368289273e-05,0.0002082804444114525,6.106379137296851e-05,0.00030951775115264777
29,4.290090363938361,0.00010278915290679647,3.390057303449994e-05,0.00021328544841735012,6.362002148137739e-05,0.00031080604293315676
30,4.124523488804698,9.693989271349219e-05,4.174527416583873e-05,0.0001909604305438593,6.0413788978217386e-05,0.0002931194936879091
31,4.106400474905968,9.359209147927776e-05,3.7764381498759896e-05,0.0001853054260223483,5.992685876036477e-05,0.0002829966662814724
32,4.377833315636963,0.00010221238909847665,4.882494491334087e-05,0.0001949518226282149,6.528530074154131e-05,0.0003090620682831429
33,4.096374205779284,9.442119647544237e-05,4.3404316541746136e-05,0.0001822409791286857,5.985835540211864e-05,0.000285503651072588
34,4.091490253806114,9.178078120510315e-05,3.597885688185605e-05,0.00018178014543214496,5.976076136705363e-05,0.00027751976368109617
35,4.093245827592909,0.00010076711003444456,4.483403106166839e-05,0.000200393771422058,5.946414060502625e-05,0.0003046919430887314
36,4.40883179102093,0.00010080175779580804,3.233776153735694e-05,0.00020662933197000436,6.58296148538486e-05,0.00030479670836115405
37,4.08515627682209,9.269644454572153e-05,4.0797477535856326e-05,0.00017990708837341244,5.958391111861501e-05,0.00028028847702788677
38,4.107106254901737,9.176811802910521e-05,3.788784819405033e-05,0.0001795223658262831,6.0071259709851194e-05,0.0002774814737302003
39,4.362225116230547,9.961323491678491e-05,4.231686786354259e-05,0.00019392821069882786,6.495786447905832e-05,0.00030120294304139317
40,3.6331665636971593,7.26900935110301e-05,3.087632618903171e-05,0.00014768900703638265,4.122945723356679e-05,0.00021979479045895067
41,3.729726929217577,7.907618071070668e-05,3.543897328445124e-05,0.00016054679510797595,4.311878808981015e-05,0.0002391045564821947
42,3.5263167889788747,9.26721494815567e-05,6.303159085949035e-05,0.00013896094449696337,7.822248009938955e-05,0.0002802150154558921
43,3.8946453197859228,7.921268230707724e-05,3.360019221196556e-05,0.00015960873879089762,4.630836865140333e-05,0.00023951729965425368
44,3.811683561652899,7.909956074652661e-05,3.51367928207618e-05,0.00015935568303854046,4.4682775401613784e-05,0.00023917525126096407
45,4.32656526658684,0.00011068028264911558,5.265263856265408e-05,0.00021783489648895032,6.417910737218335e-05,0.00033466664242375575
46,4.565147198271006,0.0001017926114358295,3.446106235214411e-05,0.0002238149012753727,4.951681280379289e-05,0.00030779277643136125
47,4.31644007191062,0.00010581110988370043,4.1110348936302464e-05,0.00021475517180384831,6.407808645292082e-05,0.0003199436071930592
48,4.351297973189503,0.0001068852310549868,4.081787060258561e-05,0.00021756989627873816,6.480368642627987e-05,0.00032319145330757715
49,4.5766211790032685,0.0001158513863251,3.248332391111229e-05,0.0002680860478037,4.973326172265743e-05,0.0003503026334374
