step,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,3.761737504042685,7.051137357336971e-05,2.3090957532813684e-05,0.00014645817271833592,4.3657812138877096e-05,0.00021320694239003771
1,2.765595581033267,6.169083119626872e-05,1.803332789214602e-05,0.0001344092741959,3.409345339201133e-05,0.0001865360554801
2,3.973965825047344,7.889827562604617e-05,2.5283506508971635e-05,0.00016548374349760182,4.779937057658876e-05,0.00023856662058321845
3,2.9164084040094167,6.815645091957704e-05,1.9598680451642865e-05,0.0001494290084309,3.7058617032340014e-05,0.0002060863059149
4,12.751232570968568,0.00021751749989899096,0.00010506676847993911,0.0003641441802066,0.00018850196654349543,0.00065771291523
5,3.070872536045499,7.880671640835011e-05,2.63021074412827e-05,0.000162258740918,4.972892240718162e-05,0.0002382897707664
6,29.574825666029938,0.00084448466507,0.0001584384520040633,0.0020955513986641,0.00029949881662547735,0.0025534886672938
7,8.754374583950266,0.00015918748463655995,6.739408117852569e-05,0.0002640443779035,0.0001499005809355165,0.00048133904001749995
8,3.8648261170601472,7.739622298567176e-05,2.4185426106172353e-05,0.00016411013129052977,4.572927035882862e-05,0.00023402482775556965
9,3.7348940609954298,7.160501824218506e-05,2.2709444228716392e-05,0.00015087650958983882,4.2927868356734206e-05,0.00021651382217526712
10,2.625917474972084,5.918784751823427e-05,1.6583191633883377e-05,0.000131041215944,3.134331573382952e-05,0.0001789677233118
11,27.21584922296461,0.0007892623065027299,0.00015495568020384683,0.0019386240508971,0.0002929317575471556,0.0023865114886482
12,9.100954788038509,0.0001537317033719752,5.8835255837183884e-05,0.0002686038259901,0.0001374031806801213,0.00046484226250750004
13,3.740873512928374,7.252687322418686e-05,2.291224280952891e-05,0.00015307401134728255,4.3315003180759964e-05,0.00021930125733762433
14,3.664230943075381,7.010779356592654e-05,2.211201221701372e-05,0.00014806567400773137,4.1808941554498034e-05,0.00021198662777927304
15,3.6497776788892224,6.930080438405245e-05,2.1960918221603715e-05,0.00014607095019412294,4.1514646693960666e-05,0.00020954651510970358
16,5.86805230891332,0.00013450873390808966,3.422472875139639e-05,0.0003077983017973229,6.469427515629731e-05,0.00040671730570504685
17,3.8030555461300537,7.39816578678294e-05,2.3549016676710313e-05,0.00015562679116594725,4.4524316939835754e-05,0.00022370012478251824
18,14.775072350050323,0.0002726721711149,0.00012373037662942216,0.0005119820762544,0.00018877297311359402,0.0008244854259974
19,3.034900013008155,7.602316537305053e-05,2.0577731218924464e-05,0.0001602767948902,4.9018554198038254e-05,0.0002298730803072
20,3.9457951859803866,7.9130648240163e-05,2.501396699653595e-05,0.0001669601335691634,4.7295150700180484e-05,0.00023926925126585422
21,3.869869896909222,7.585117917475271e-05,2.4233129696792893e-05,0.0001592998496633152,4.582006212763696e-05,0.00022935304148770965
22,3.942093267920427,7.840732928631411e-05,2.497834443337624e-05,0.0001648801319013312,4.7223657949750006e-05,0.0002370821342845053
23,3.1544489089865233,7.089778223843597e-05,3.7543879241634445e-05,0.00010582925132851528,7.100220502826332e-05,0.00021437533559834216
24,13.258856804925017,0.00021783259962341347,0.00011427154712068775,0.0003652127921718,0.00017918135058069633,0.0006586656898731999
25,3.9762793680420145,7.972356169760539e-05,2.5322913459791083e-05,0.0001678623565090585,4.7876788030973545e-05,0.00024106205799982475
26,3.6990892549511045,6.918290617600187e-05,2.2475507058517757e-05,0.00014423205982790736,4.248245656555002e-05,0.00020919002345198953
27,3.6029769700253382,6.652577634333221e-05,2.1455964383520256e-05,0.00013913650019853102,4.0563131252808194e-05,0.00020115559583488207
28,3.8576741400174797,7.476006605775568e-05,2.4105490597855428e-05,0.0001563840139978959,4.556431182103956e-05,0.00022605381641686677
29,4.162312830914743,8.988993564627318e-05,3.224127197557093e-05,0.00017861458733383864,6.094650901116742e-05,0.0002718023683206123
30,4.028763003880158,8.576836934118647e-05,3.0968704155373616e-05,0.00016982374696886918,5.854743766669547e-05,0.000259339888790938
31,4.029166726977564,8.651794983023477e-05,3.098118647558448e-05,0.0001720554154189119,5.8569811515755854e-05,0.0002616064134102979
32,4.0546176170464605,8.44339054051261e-05,2.5742666974025053e-05,0.0001707129143503768,5.8849256649652185e-05,0.00025530483797405986
33,4.0473602920537814,8.62180742200098e-05,3.1151942970345065e-05,0.0001706823587673951,5.8865370550969e-05,0.0002606996722887325
34,4.0452075600624084,8.436184961047288e-05,2.578837778938762e-05,0.00017042680300601644,5.8871780332992795e-05,0.0002550869611283329
35,4.0512062719790265,8.615018135199045e-05,3.116838923258126e-05,0.00017040319187691877,5.892280187528943e-05,0.0002604943829848485
36,4.049208951066248,8.504559846505579e-05,2.5781745364809115e-05,0.00017244902685218899,5.8923656828442796e-05,0.0002571544290453843
37,4.052378652966581,8.415775626117678e-05,2.574471584824768e-05,0.00016993152483374166,5.879359845938679e-05,0.00025446983914139467
38,4.05252385395579,8.441044712393715e-05,2.578488807013502e-05,0.00017044708080147752,5.9001937731389067e-05,0.0002552339066030008
39,4.0467715580016375,8.677293751655865e-05,3.1147934341401e-05,0.0001723412489837737,5.888824250756039e-05,0.0002623774258327114
40,4.167995751951821,8.979746688065014e-05,3.235536593391725e-05,0.000177998753510876,6.116864883709544e-05,0.00027152276828185036
41,3.9812020120443776,7.868117904708479e-05,2.5375857692245883e-05,0.00016455068719871952,4.7983635525775354e-05,0.0002379101804167096
42,4.074793888023123,8.540553819467515e-05,2.5745962172020523e-05,0.00017318152743676306,5.931529788584966e-05,0.0002582427874946316
43,4.010637789033353,8.005098860507115e-05,2.566643593585693e-05,0.00016785513428266226,4.853053642533875e-05,0.00024205210664387234
44,13.316416520043278,0.0002048017188663933,9.892551146460681e-05,0.00037927169230639996,0.0001410666973966628,0.0006192639011677
45,3.979755051084794,7.917258292356531e-05,2.53022698000533e-05,0.0001662584663364029,4.7835314043913973e-05,0.00023939605018038156
46,3.7903331809211522,7.257285926813876e-05,2.341047340260245e-05,0.00015178428809285688,4.424554495328468e-05,0.0002194403064487844
47,3.5694891629973426,6.446203524903979e-05,2.114694083560655e-05,0.00013379816259373245,3.9970308640881236e-05,0.00019491541207020545
48,3.5948677539126948,6.5775460067551e-05,2.137581828693422e-05,0.00013710094301085842,4.041008510167659e-05,0.00019888684639945034
49,3.5938307020114735,6.665404326761616e-05,2.1399940019657088e-05,0.00013968816730872352,4.0455332301725224e-05,0.00020154343963014703
