step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,2.8724392070434988,6.898877776768219e-05,2.5525561676732733e-05,0.0001468562285964,3.622124242441108e-05,0.0002086030326975
0,env_List_Files,1.0133562600240111,9.692292893784584e-06,6.001366355066378e-06,1.34058440508511e-05,9.899609585085678e-06,2.930681999100316e-05
1,agent_llm_attempt_1,3.135686356108636,8.793082293371742e-05,4.476302593769456e-05,0.0001701818028081,5.093372317367337e-05,0.0002658785519195
2,agent_llm_attempt_1,3.8416039389558136,9.516436411625542e-05,3.817567296486663e-05,0.0002043112745582,4.5263837484849824e-05,0.0002877507850079
2,env_Inspect_Script_Lines,1.012952386867255,9.573004258048974e-06,6.989200232866651e-06,1.2058898533950924e-05,9.898025296731956e-06,2.894612406354953e-05
3,agent_llm_attempt_1,4.493224203120917,0.0001182665117565,3.785997642186505e-05,0.0002521649239568,6.758040612589362e-05,0.0003576053065046
4,agent_llm_attempt_1,3.9524881606921554,0.0001042998922054,4.2449876618296514e-05,0.0002255024026283,4.742182257274786e-05,0.0003153741018193
4,env_Inspect_Script_Lines,1.009095554240048,9.82597978634504e-06,7.866112347306272e-06,1.2020009620528072e-05,9.824930307351882e-06,2.9711052275186225e-05
5,agent_llm_attempt_1,4.066555928904563,0.0001095867060463,4.32820250399529e-05,0.000228891571993,5.918637141844052e-05,0.0003313599684514
5,env_Inspect_Script_Lines,1.0077346176840365,9.6515387996454e-06,7.240001881694013e-06,1.2135565263804438e-05,9.808023707268551e-06,2.9183590852767003e-05
6,agent_llm_attempt_1,3.710828974843025,8.841560400259093e-05,2.4064979915093796e-05,0.0002005412715391,4.2738144685669495e-05,0.0002673443961398
7,agent_llm_attempt_1,3.450592332985252,9.726424989257012e-05,3.275943272311203e-05,0.0002042668300745,5.707399752249735e-05,0.0002941002603201
7,env_Inspect_Script_Lines,1.0104932887479663,9.890496906895509e-06,7.484739879909506e-06,1.2579454512717804e-05,9.841939857384813e-06,2.990613425001212e-05
8,agent_llm_attempt_1,3.663862051907927,8.974966079449254e-05,2.95658058421404e-05,0.0002001751601525,4.163724987043275e-05,0.0002713782158651
8,env_Inspect_Script_Lines,1.0124504137784245,1.693734523155351e-05,6.856935161508736e-06,3.452141650939211e-05,9.835507966474529e-06,5.1213859637375375e-05
9,agent_llm_attempt_1,3.5841279262676835,8.59757153761991e-05,2.3691530449794303e-05,0.0001960401568368,4.0235158715707566e-05,0.0002599668460023
10,agent_llm_attempt_1,2.579067872837186,5.774777186129335e-05,1.945082633583368e-05,0.0001246639886218,3.0498516827356077e-05,0.000174613331785
10,env_Execute_Script,7.702215160243213,0.0001497459060884,6.702510699172803e-05,0.000304704410432,8.106079362203472e-05,0.0004527903110458
11,agent_llm_attempt_1,2.6011012489907444,6.259906072461916e-05,2.6982614830025237e-05,0.0001313217717182,3.0977904480985475e-05,0.0001892822910292
11,env_List_Files,1.01282011391595,1.011186915675205e-05,7.773746601101851e-06,1.2911954776484436e-05,9.889801488154463e-06,3.057550286574075e-05
12,agent_llm_attempt_1,2.819374897982925,6.854191080978373e-05,2.4304521977356188e-05,0.000147839284935,3.510802337744584e-05,0.0002072518302898
13,agent_llm_attempt_1,3.699613721109927,8.84714832179359e-05,2.274816944067028e-05,0.0002022801618224,4.248502820911301e-05,0.0002675133594722
13,env_Edit_Script_(AI),25.1757000470534,0.0007575155369691,0.00022203474931,0.0018053086664622,0.0002631745994828,0.0022905180152551
14,agent_llm_attempt_1,3.233093063812703,8.298484759316986e-05,2.1611185537975148e-05,0.0001764729189659,5.283918238451912e-05,0.0002509232868884
14,env_Inspect_Script_Lines,1.0123082757927475,1.0339206841636293e-05,6.363289644049882e-06,1.5070567613406638e-05,9.829052053909337e-06,3.1262909311365855e-05
15,agent_llm_attempt_1,2.845042383763939,7.195625337041283e-05,3.034423877488663e-05,0.0001515242878937,3.5707333642575484e-05,0.0002175758603112
16,agent_llm_attempt_1,3.1644107876345515,8.785237543454566e-05,3.620610741679701e-05,0.000177896808978,5.153843192771699e-05,0.0002656413483225
16,env_Inspect_Script_Lines,1.0115249110385776,1.827552507527118e-05,7.58803207904156e-06,3.779114134516704e-05,9.880972909741105e-06,5.52601463339497e-05
17,agent_llm_attempt_1,2.768509992863983,6.603600316835637e-05,1.94795003655654e-05,0.0001460156723709,3.417948412631328e-05,0.0001996746568628
