step,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,3.4017356659751385,8.845464937616238e-05,2.968101181082625e-05,0.0001816645897783,5.6116856989360216e-05,0.0002674624585784
1,6.026708053075709,0.00011657206708235571,3.60002167027071e-05,0.0002484221431835382,6.805941335365383e-05,0.0003524817732398377
2,29.41590715793427,0.0008196209342915,0.00015715995236678724,0.0020240480081241,0.0002970996438476769,0.0024783076043386
3,8.966594737023115,0.00015370313983629016,6.031173020860828e-05,0.0002891763424556,0.00011526782159085593,0.0004647558942551
4,4.684782195021398,9.909559787551059e-05,2.7426588610793618e-05,0.00022037017629718608,5.184098651613265e-05,0.00029963775142411776
5,26.569400973035954,0.0007650121742431,0.00015867546400836585,0.0018545345391842,0.0002999757751537279,0.0023131857783464
6,26.5899009819841,0.0007804992277905,0.00015897335695736509,0.001900523742634,0.00030051725641755823,0.0023600143560091
7,8.041593004018068,0.00014164037947832594,4.9759274100301466e-05,0.00027153466167100003,0.00010698749879924842,0.00042828143457059997
8,26.83640709589235,0.0007840769060357,0.0001430998629465287,0.0019223093156241,0.0003054230895119604,0.0023708322680827
9,4.179391408921219,9.27120606251641e-05,2.5781957753131377e-05,0.00019305959889229284,6.149413909879515e-05,0.0002803356957442793
10,3.4265868199290708,9.068965530180248e-05,2.0581955285404374e-05,0.0001970479354156,5.659060924695547e-05,0.0002742204999479
11,8.694914282066748,0.0001676244152052452,5.271252451196441e-05,0.0003247010930919,0.00012943637303833386,0.0005068499906423
12,27.12290370790288,0.0007924210563015,0.0001539641651316415,0.0019510462830573,0.0002910522284768748,0.0023960626766659
13,12.015334853087552,0.00020951664453776065,8.215288876613249e-05,0.0004062386583214,0.00014512898864923047,0.0006335205357368
14,27.033488400978968,0.0008044128068928999,0.0001533324730136254,0.0019697751869322,0.00030921476245914447,0.0024323224224049996
15,9.773483645869419,0.00017057972333056693,6.260143045205244e-05,0.0002929263454517614,0.00016025825125689152,0.0005157860271606553
16,4.65494918206241,0.00010020693561513266,2.703356192978933e-05,0.0002248562909983111,5.110827724662765e-05,0.0003029981301746605
17,4.831249970942736,0.00010648391920736039,2.8881753032526177e-05,0.00023849574635190568,5.460049760198066e-05,0.000321977996986376
18,5.114592510974035,0.00012098644717381607,3.694650625653029e-05,0.00025903854056250487,6.984459406489301e-05,0.00036582964088390055
19,5.4541228209855035,0.00013229652038668669,4.039583941082565e-05,0.00028324605993287433,7.63862829344968e-05,0.00040002818227816405
20,4.547749964054674,9.631889242409138e-05,2.6010977379092627e-05,0.00021605600617740403,4.917477656563278e-05,0.0002912417601221926
21,5.620262908982113,0.0001284281493734703,3.186833054703654e-05,0.0002962224592052575,6.024050571237846e-05,0.0003883312954647659
22,3.637455755029805,6.914834111837072e-05,2.1853564086526386e-05,0.0001459073389504734,4.132460521585826e-05,0.00020908550825286145
23,4.0919535589637235,8.960055237833262e-05,3.161034557286189e-05,0.00017955319919940385,5.976380837544437e-05,0.0002709273531477848
24,4.421348141971976,0.00010054417112872251,3.502978738965439e-05,0.00020274766219677786,6.624038775141041e-05,0.0003040178373378838
25,4.179239059914836,9.001015056030764e-05,2.5818861986883607e-05,0.00018485764788777245,6.148935518350401e-05,0.0002721658650580939
26,4.458243660046719,0.00010048707505251656,3.5356670961648754e-05,0.0002016398835351365,6.684864005720658e-05,0.00030384519455398074
27,4.108808518038131,8.423891247727617e-05,2.6562332371663436e-05,0.000177920697893779,5.0232202885672465e-05,0.0002547152331510903
28,4.124123624060303,8.477996221947448e-05,2.6756868699964857e-05,0.0001790006987575562,5.059365085972888e-05,0.0002563512183173091
29,4.107170008006506,8.335481802555459e-05,2.6650642033465255e-05,0.00017499597333162865,5.0395360050606545e-05,0.000252041975415742
30,7.161136129987426,0.00018488033565608973,5.2733871237544916e-05,0.0004065872697154,9.970599290779016e-05,0.0005590271338606
