step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,3.719457179773599,9.06445336032263e-05,2.268665046248257e-05,0.0002085126668092,4.288474710709933e-05,0.0002740840643787
1,agent_llm_attempt_1,4.076210654340684,0.0001071549546734,2.568619677013152e-05,0.000238863524423,5.9457301930524416e-05,0.0003240070231236
1,env_Execute_Script,12.96115170326084,0.0002417838385384,9.15242865217292e-05,0.0005052967931291,0.0001342665495027,0.0007310876291536
2,agent_llm_attempt_1,5.128188122995198,0.00013994603158,3.077968541858332e-05,0.000322270535598,7.010797291295603e-05,0.0004231581939296
2,env_Edit_Script_(AI),23.10421104030684,0.0006628773729344,0.0001285499777278,0.0016327874173356,0.0002430209190727,0.0020043583141361
3,agent_llm_attempt_1,3.105778681114316,8.560046108326236e-05,2.059390687872191e-05,0.0001878465391698,5.039173448975717e-05,0.0002588321805382
3,env_Execute_Script,9.068146487232298,0.000269414619043,6.013513652170925e-05,0.0006474402401792,0.0001070601104603,0.0008146354871613
4,agent_llm_attempt_1,4.182341101113707,0.0001099683367039,2.5608959837809944e-05,0.0002455971409247,6.130781352080198e-05,0.0003325139142833
4,env_Inspect_Script_Lines,1.009582634083927,9.348249595763971e-06,5.550275544611894e-06,1.2889176979058448e-05,9.827075442040548e-06,2.8266527965710888e-05
5,agent_llm_attempt_1,5.062634995207191,0.0001395337536045,3.073397772049903e-05,0.0003224785913076,6.869901003471266e-05,0.0004219115790628
5,env_Edit_Script_(AI),22.66610577329993,0.0006671619663924,0.0001187059318381,0.001674233283829,0.0002243745271362,0.0020173137428035
6,agent_llm_attempt_1,2.601031956728548,6.13251327950982e-05,1.640696651771443e-05,0.0001381712216499,3.085209622901554e-05,0.0001854302843966
6,env_Execute_Script,9.75829758308828,0.0002938836817846,8.403974253853795e-05,0.0007034600072159,0.0001011234330918,0.0008886231828464
7,agent_llm_attempt_1,4.197251132223755,0.0001188457057847,2.5676592979022265e-05,0.0002719266064303,6.175343005969707e-05,0.0003593566294691
7,env_Edit_Script_(AI),23.3137346371077,0.0006862332731132,0.0001238391505163,0.001704506919161,0.0002466340436315,0.0020749801133089
8,agent_llm_attempt_1,3.3041462707333267,9.0218845639283e-05,2.055210097423692e-05,0.0001981662696479,5.407853078407546e-05,0.0002727969014062
8,env_Execute_Script,6.992414236068726,0.0001231151395117,4.583219593610613e-05,0.0002493376994721,7.709632388367836e-05,0.0003722662192918
9,agent_llm_attempt_1,4.01582361292094,0.0001100696803016,2.613740608242508e-05,0.000248440198753,5.82427445307581e-05,0.0003328203493662
9,env_Edit_Script_(AI),24.09460491873324,0.0006976808786994,0.0001346513599296,0.0017230713784499,0.0002518717762807,0.0021095945146603
10,agent_llm_attempt_1,2.6212757732719183,6.227493190767205e-05,1.6577677379133447e-05,0.0001403915012048,3.13330363171796e-05,0.0001883022149011
10,env_Execute_Script,6.360229536890984,0.0001249252310459,0.0001234071826027,0.0001704540252518,8.387822890395506e-05,0.0003777394367585
11,agent_llm_attempt_1,3.734612106811255,9.595677702399724e-05,2.271792949912366e-05,0.0002244790684713,4.294982507514458e-05,0.0002901468230456
12,agent_llm_attempt_1,3.905155180022121,0.0001019583736081,2.460764756096209e-05,0.0002371690786233,4.651726932885746e-05,0.0003082939955131
12,env_Inspect_Script_Lines,1.0097226751968265,1.0939610997162542e-05,5.196982843025033e-06,1.805640333429892e-05,9.82497967262235e-06,3.30783658499463e-05
13,agent_llm_attempt_1,3.441256388090551,9.184394323265522e-05,2.058168067429161e-05,0.0002002043268234,5.692474073083658e-05,0.0002777107482285
13,env_Inspect_Script_Lines,1.007697317749262,1.6294191070330842e-05,5.181390880730149e-06,3.428919409742548e-05,9.798553896447024e-06,4.926913887460265e-05
14,agent_llm_attempt_1,3.225333934184164,8.472474569588294e-05,2.0588760690135356e-05,0.0001828451462841,5.275035180772345e-05,0.000256184258782
14,env_Inspect_Script_Lines,1.0106633207760751,1.7745268777079085e-05,5.181054694677884e-06,3.8677530945108174e-05,9.798211925145654e-06,5.365679756493171e-05
15,agent_llm_attempt_1,4.016174111980945,0.0001165942607742,3.079423866131162e-05,0.000263536599725,5.82180424554584e-05,0.0003525488808417
15,env_Inspect_Script_Lines,1.013471384998411,1.7895951995028718e-05,5.205249454686323e-06,3.9065586804554187e-05,9.841585789238e-06,5.411242204847851e-05
16,agent_llm_attempt_1,3.8939315299503514,0.0001064594874256,2.4357041574960065e-05,0.0002515013123129,4.604576813031195e-05,0.0003219041220182
16,env_Inspect_Script_Lines,1.0094298929907382,1.801805847049173e-05,5.196373206253541e-06,3.946114267705525e-05,9.824122462628618e-06,5.448163834593741e-05
17,agent_llm_attempt_1,3.606461089104414,9.881539444173154e-05,2.1440922433715587e-05,0.0002368224116793,4.0527159424446944e-05,0.0002987904935374
17,env_Inspect_Script_Lines,1.0098460977897048,9.41446559624054e-06,5.201202508243215e-06,1.3433899631820624e-05,9.831644744715758e-06,2.84667468847796e-05
18,agent_llm_attempt_1,3.463764911983162,9.739034118023764e-05,2.05468657438151e-05,0.000216761840079,5.717281976766471e-05,0.0002944815255904
18,env_Inspect_Script_Lines,1.0109013090841472,9.423054708618228e-06,5.21182314453957e-06,1.3428066289122851e-05,9.85282855755132e-06,2.8492717991213743e-05
19,agent_llm_attempt_1,3.4616125621832907,9.445610629591966e-05,3.030836277978446e-05,0.0001980015472895,5.729929867019464e-05,0.0002856092087395
19,env_Inspect_Script_Lines,1.010674675926566,1.997810922847896e-05,5.20384917308234e-06,4.53667029631788e-05,9.837739001442162e-06,6.0408291137703296e-05
20,agent_llm_attempt_1,3.492841754108668,9.87572397813988e-05,2.064243474822952e-05,0.0002200385093615,5.793370577739553e-05,0.0002986146498872
21,agent_llm_attempt_1,4.284598988015205,0.0001203562396738,2.560128927448036e-05,0.0002750363311392,6.328644683946753e-05,0.0003639240672531
21,env_Inspect_Script_Lines,1.009749329648912,9.514164886973067e-06,5.201173323232483e-06,1.3735566540162836e-05,9.83147017347316e-06,2.876821003686848e-05
22,agent_llm_attempt_1,3.862097858916968,0.0001119581063909,5.5142744205654304e-05,0.0002377099123904,4.567777232215223e-05,0.0003385304289182
22,env_Inspect_Script_Lines,1.0098926392383871,9.688834643648228e-06,5.212414234117149e-06,1.4250011403760254e-05,9.83393755870768e-06,2.9296363196585083e-05
23,agent_llm_attempt_1,3.979253189172596,0.0001037744873363,2.5396243597078705e-05,0.0002404351923459,4.795398649035229e-05,0.0003137854224333
23,env_Inspect_Script_Lines,1.0096149751916528,1.7852938562087547e-05,5.280014990021364e-06,3.887003109781517e-05,9.832315205130728e-06,5.398236129296726e-05
24,agent_llm_attempt_1,4.773167403880507,0.0001285016801262,2.866096722600789e-05,0.0003065819119285,5.331075302221709e-05,0.0003885536321767
24,env_Inspect_Script_Lines,1.0116178542375565,1.0713105692458038e-05,5.273505617831095e-06,1.7248624907040266e-05,9.871345767492636e-06,3.2393476292364e-05
25,agent_llm_attempt_1,4.680587598588318,0.0001210287635262,2.7378793255361667e-05,0.0002868538405991,5.172496000563519e-05,0.0003659575938601
25,env_Inspect_Script_Lines,1.0133105828426778,1.7280064841458273e-05,5.239840818727536e-06,3.710641858134522e-05,9.9038897948857e-06,5.225014919495846e-05
26,agent_llm_attempt_1,3.639207723084837,9.849551125888996e-05,2.184676908690398e-05,0.0002347093544301,4.126713151862431e-05,0.0002978232550356
26,env_Inspect_Script_Lines,1.011165841948241,1.8049548780386188e-05,5.213354219423555e-06,3.952086494507512e-05,9.842637191630072e-06,5.457685635612874e-05
27,agent_llm_attempt_1,4.307807916775346,0.0001175605202137,2.5695710476851217e-05,0.0002658407682361,6.393410412129015e-05,0.0003554705828342
28,agent_llm_attempt_1,5.6862866170704365,0.0001563288667502,3.255799174345857e-05,0.000378666691823,6.147068454237242e-05,0.0004726953681089
28,env_Edit_Script_(AI),23.18372179567814,0.0006911436594551,0.0001225589322877,0.0017230677673438,0.000244201067394,0.0020898277670255
29,agent_llm_attempt_1,3.770773719996214,9.98998392263152e-05,2.3230122573291817e-05,0.0002349535212928,4.388591154452621e-05,0.0003020695554106
29,env_Edit_Script_(AI),23.196213968098164,0.0007050968747549,0.0001420251061822,0.0017455147297411,0.0002444786050292,0.0021320184409526
30,agent_llm_attempt_1,2.649410284589976,6.91551130541676e-05,1.6894109615940027e-05,0.0001603923505371,3.18195245655564e-05,0.0002091059847186
30,env_Execute_Script,1.034280707128346,9.743063845856712e-06,5.487827558018232e-06,1.3674177608891114e-05,1.0298332177464748e-05,2.9460337344374094e-05
31,agent_llm_attempt_1,3.360157165676356,9.048385527943168e-05,2.104426539113803e-05,0.0001972032133181,5.5350738743113154e-05,0.0002735982174524
31,env_Edit_Script_(AI),24.88595895608887,0.000713850664363,0.0001318721618636,0.0017784619783185,0.0002481533457214,0.0021584874859036
32,agent_llm_attempt_1,3.143980342894793,8.706450501410979e-05,2.092657837206509e-05,0.0001913070974879,5.1025369653426535e-05,0.0002632590455134
32,env_Inspect_Script_Lines,1.0085898730903864,9.444793229686998e-06,5.236326346275615e-06,1.3505288578130605e-05,9.816834357722351e-06,2.855844928212857e-05
33,agent_llm_attempt_1,3.286438874900341,8.568757669918772e-05,2.0902060735182e-05,0.0001842693140901,5.392421930381615e-05,0.0002590955941291
33,env_Edit_Script_(AI),24.651955150067806,0.0007120240511013,0.0001289433211144,0.0017808039246389,0.0002432170655371,0.0021529643112905
34,agent_llm_attempt_1,3.210215494967997,9.349591422959224e-05,2.0586699732189823e-05,0.0002096921122003,5.242704087738983e-05,0.0002827058528099
