step,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,3.358273735968396,8.469284402188367e-05,2.655517343704012e-05,0.0001742962505488,5.5236372934369785e-05,0.0002560877969202
1,3.290421683108434,8.54117251021763e-05,3.508786029190158e-05,0.0001691423575351,5.40312771691889e-05,0.0002582614949962
2,2.958523407112807,7.532769139707038e-05,3.572609007048633e-05,0.0001542084566992,3.783561208789858e-05,0.0002277701588576
3,4.311682034749538,0.00010161428841373339,5.13678605931281e-05,0.00019181876456992136,6.406695164170945e-05,0.00030725357680472134
4,3.419988107867539,9.295891101568982e-05,3.662159969453362e-05,0.0001880540393344,5.640646420005296e-05,0.000281082103229
5,4.005269434768707,8.28301022376218e-05,3.0091451177730945e-05,0.00017192069308426033,4.844323535928399e-05,0.00025045537962134506
6,3.4437489048577845,9.368515439863878e-05,4.090989019369868e-05,0.0001854132038872,5.695496879634448e-05,0.0002832780628772
7,8.903156797867268,0.0002470348521859,9.17335141663874e-05,0.0005218234730221,0.0001334082586884809,0.000746965245877
8,4.631350588053465,9.952478427837665e-05,3.8562746515149353e-05,0.00021185683615240362,5.051591004335529e-05,0.0003009354927109112
9,3.4739702369552106,9.754479136911644e-05,4.996444571788526e-05,0.0001876473723427,5.733672229430846e-05,0.0002949485403549
10,6.916348415892571,0.0001940196246764,6.60835024525732e-05,0.0004451653561332,7.541296410426084e-05,0.00058666182269
