step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,2.998604944907129,7.947980605452661e-05,2.9642448932929505e-05,0.0001719734709126,3.870908833212323e-05,0.0002403250081777
1,agent_llm_attempt_1,3.632061135023832,9.375160791708392e-05,2.8314599190650012e-05,0.0002139757267443,4.118867405017631e-05,0.0002834789999851
2,agent_llm_attempt_1,3.443566001020372,9.17768888495226e-05,2.8434155432293117e-05,0.0001920934870085,5.6980351830780926e-05,0.0002775079942716
3,agent_llm_attempt_1,3.280926384963095,9.02371000428992e-05,2.581618417997429e-05,0.00019321043235,5.382548115707727e-05,0.0002728520976871
4,agent_llm_attempt_1,3.1472514430060983,9.121668291336806e-05,4.028970888804343e-05,0.0001843107030055,5.121367416577414e-05,0.0002758140860593
5,agent_llm_attempt_1,3.388954794034362,9.052231997372232e-05,2.773933099127492e-05,0.0001900809853978,5.589420768794501e-05,0.000273714524077
6,agent_llm_attempt_1,3.142806427087635,8.252611491979096e-05,3.29196230137457e-05,0.0001656995770034,5.091700581316319e-05,0.0002495362058303
7,agent_llm_attempt_1,2.741557599976659,6.779786213459389e-05,2.773594120305548e-05,0.0001435851148698,3.368097627664813e-05,0.0002050020323495
7,env_List_Files,1.0115840742364526,1.0330551594804676e-05,8.539526658420929e-06,1.2816676921545422e-05,9.880534652620555e-06,3.123673823258691e-05
8,agent_llm_attempt_1,3.3654486890882254,8.97410917318838e-05,2.5273359930390292e-05,0.0001908170970921,5.526184836117965e-05,0.0002713523053836
9,agent_llm_attempt_1,8.308746383991092,0.0002345918576288,6.782236876304704e-05,0.0005392115424811,0.0001023071516214,0.0007093410628656
10,agent_llm_attempt_1,3.5999145838432014,9.410335426092316e-05,3.516608926522443e-05,0.0002088310003998,4.0545494230981504e-05,0.000284542583896
11,agent_llm_attempt_1,4.078362519852817,0.0001083237458428,3.584317589140167e-05,0.0002322429635768,5.945498572869434e-05,0.0003275411251969
12,agent_llm_attempt_1,3.939394928049296,0.0001003417555921,2.9286000793143943e-05,0.0002269974038213,4.712238397914916e-05,0.0003034057885936
13,agent_llm_attempt_1,3.5894957073032856,9.385321916531868e-05,3.483984649354151e-05,0.0002086718336045,4.0274564271223626e-05,0.0002837862443692
14,agent_llm_attempt_1,3.8030683510005474,9.839871860611784e-05,3.26816139723156e-05,0.0002203435096035,4.450545717910346e-05,0.0002975305807549
14,env_Inspect_Script_Lines,1.0090395552106202,1.0187927734669238e-05,7.845269097695367e-06,1.3139454956956342e-05,9.820758969160832e-06,3.0805483023812544e-05
15,agent_llm_attempt_1,3.7541002286598086,9.604963173534736e-05,3.0955979229109845e-05,0.0002161240617866,4.334754906206703e-05,0.0002904275900777
16,agent_llm_attempt_1,3.960936505813152,0.0001026637763248,3.3444979248868646e-05,0.0002294312946631,4.755066482401971e-05,0.000310426938736
17,agent_llm_attempt_1,3.476291329134256,9.54796525749926e-05,3.0774748578614515e-05,0.0002003934936496,5.753588810330258e-05,0.0002887041303315
18,agent_llm_attempt_1,6.564978096168488,0.0001784632600442,4.797259369152344e-05,0.0004231842274364,6.846684629951294e-05,0.0005396236674275
18,env_Inspect_Script_Lines,1.0111598130315542,1.0236167807491555e-05,6.146554417744129e-06,1.494723418460353e-05,9.85755909415376e-06,3.095134769650142e-05
19,agent_llm_attempt_1,3.5833211801946163,9.378240469178576e-05,3.478220918992248e-05,0.000208540722383,4.02491893632234e-05,0.0002835721209362
20,agent_llm_attempt_1,3.857311387080699,9.909135505976946e-05,3.291695309453405e-05,0.0002211340657964,4.557390342880454e-05,0.0002996249223198
21,agent_llm_attempt_1,3.533442805055529,9.06664721828175e-05,2.9100942254307903e-05,0.0002057793312886,3.927012704856073e-05,0.0002741504005914
22,agent_llm_attempt_1,3.641324460972101,9.137989918527452e-05,2.9100501575826384e-05,0.0002058801647066,4.13269407581538e-05,0.0002763076070406
22,env_Inspect_Script_Lines,1.0095497081056235,1.0386046555473191e-05,8.401419998475168e-06,1.3172510534786852e-05,9.83060915152439e-06,3.140453968478641e-05
23,agent_llm_attempt_1,3.814619548153132,0.0001023711779202,3.851123452133655e-05,0.0002263701811031,4.466078625215838e-05,0.0003095422018766
24,agent_llm_attempt_1,3.726605425123125,9.692590714242792e-05,3.066227993933116e-05,0.0002193735088269,4.304141641284029e-05,0.0002930772051791
25,agent_llm_attempt_1,3.9596635582856834,0.0001021150976794,3.3906760263620434e-05,0.0002273496263214,4.751149928585317e-05,0.0003087678858709
26,agent_llm_attempt_1,7.11297682672739,0.0002110154430569,7.078012169518065e-05,0.0004782039936728,8.906837363158248e-05,0.0006380524889995
