step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,4.839342092163861,0.0001036721374756,4.360804097887036e-05,0.0002150546164827,5.481328722736282e-05,0.0003134759446889
1,agent_llm_attempt_1,5.230375322047621,0.0001422033487261,5.4336187557347206e-05,0.0003035757984193,7.207171229852571e-05,0.0004299836982752
1,env_Edit_Script_(AI),9.597334531135855,0.0002645126356146,8.482079493423841e-05,0.0006170535491989,9.793889740378492e-05,0.0007998132415369
2,agent_llm_attempt_1,2.516188693000004,6.091535596298768e-05,3.1209502857540274e-05,0.0001236812100557,2.93005193842368e-05,0.0001841912322975
2,env_Execute_Script,2.853850845945999,4.484613279849603e-05,2.5880094947575128e-05,7.39047813453908e-05,3.5817458017522265e-05,0.0001356023343104
3,agent_llm_attempt_1,3.8651073570363215,9.869424639624306e-05,3.337757577792302e-05,0.0002193312865728,4.5715312917147663e-05,0.0002984241752678
4,agent_llm_attempt_1,5.620577130001038,0.0001484069935248,5.133782602451589e-05,0.0003371658252859,6.023815749601152e-05,0.0004487418088065
5,agent_llm_attempt_1,1.1019868629518896,1.480599656968232e-05,1.234537958386896e-05,2.079779441288565e-05,1.1626075241818198e-05,4.4769249238572805e-05
5,agent_llm_attempt_2,3.938374574063346,0.0001074097797294,4.915913532244678e-05,0.0002285118494782,4.7106558996407945e-05,0.0003247775437971
6,agent_llm_attempt_1,6.54863157402724,0.0001725875906326,4.414571130306908e-05,0.0004092800496451,6.843150304307023e-05,0.0005218572639912
6,env_Edit_Script_(AI),11.286361990962178,0.0003384747492546,0.0001236281699407,0.0007689183929073,0.0001309077071181,0.0010234542699662
7,agent_llm_attempt_1,3.2057007988914847,8.674699831744848e-05,3.337462837389984e-05,0.0001765901412724,5.233422320387844e-05,0.0002622989928502
7,env_Execute_Script,2.7437429160345346,4.2073463415361344e-05,3.086469920845536e-05,6.260921674794417e-05,3.3744631009176376e-05,0.0001272185469655
8,agent_llm_attempt_1,4.092002177843824,0.0001141823066042,5.167244377154837e-05,0.0002339946316425,5.958872138031034e-05,0.0003452557967943
9,agent_llm_attempt_1,4.268277968047187,0.0001181610625666,4.125969438282881e-05,0.0002529202023424,6.310656051824076e-05,0.0003572864572435
10,agent_llm_attempt_1,4.221418181899935,0.0001153915162098,4.0208801338991615e-05,0.0002467243640467,6.19789476829788e-05,0.0003489121130686
11,agent_llm_attempt_1,3.705817827954888,0.0001005689091319,4.3229538007749736e-05,0.000218301007969,4.256209225859493e-05,0.0003040926382353
12,agent_llm_attempt_1,1.1318436090368778,1.5740622231450655e-05,1.003148623197178e-05,2.549446484323425e-05,1.2069348338344652e-05,4.759529941355068e-05
12,agent_llm_attempt_2,4.025440061930567,0.0001065361732684,3.5370856613102515e-05,0.0002282407381457,5.852440409362317e-05,0.0003221359988524
13,agent_llm_attempt_1,4.928312649950385,0.0001353057245952,4.775107174942805e-05,0.0003047927438331,5.658337010212967e-05,0.0004091271856846
14,agent_llm_attempt_1,5.647367243189365,0.000151308223199,4.26716065776919e-05,0.0003540994499431,6.074327048586889e-05,0.0004575143270066
14,env_Edit_Script_(AI),10.335660124896094,0.000318923576766,0.0001147538144582,0.0007273222485224,0.0001222608547741,0.0009643369177548
15,agent_llm_attempt_1,2.861217896919697,7.58003517465245e-05,3.980261456088676e-05,0.0001533731782572,3.6023560547942506e-05,0.000229199353366
15,env_Execute_Script,1.8643613141030075,2.768599866268236e-05,2.248050830793956e-05,3.477475004132202e-05,2.6459564136004904e-05,8.371482248526648e-05
16,agent_llm_attempt_1,3.670996883884072,9.34279377467304e-05,2.850981960794945e-05,0.0002120490585326,4.1941432537148815e-05,0.0002825003106777
17,agent_llm_attempt_1,4.596297307871282,0.0001237490678212,4.45852281764887e-05,0.0002794491124546,5.014870299298007e-05,0.0003741830436241
18,agent_llm_attempt_1,4.439173721009865,0.000135503474963,6.922898237150148e-05,0.0002739357747074,6.656037116643145e-05,0.0004097251282454
