step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,3.005479786079377,7.205719887289343e-05,3.231135744593931e-05,0.0001467584507395,3.8811283478409886e-05,0.0002178810916638
1,agent_llm_attempt_1,5.390317686833441,0.0001482740486072,5.007967744292914e-05,0.0003230244250858,7.523571752115257e-05,0.0004483398200498
2,agent_llm_attempt_1,5.536898187827319,0.0001523719385724,4.901427026586079e-05,0.0003531036158221,5.8612822771020654e-05,0.000460730708859
3,agent_llm_attempt_1,5.820016490761191,0.0001531797091702,4.3972659260246334e-05,0.0003550625062658,6.413801878871811e-05,0.0004631731843147
4,agent_llm_attempt_1,6.710028940346092,0.000178620279727,5.269624671405552e-05,0.000415758943717,7.164326120142103e-05,0.0005400984516325
5,agent_llm_attempt_1,3.2710671410895884,9.356691958695315e-05,4.7895858961180607e-05,0.0001815454230111,5.347927145064912e-05,0.000282920553423
5,env_Inspect_Script_Lines,1.0090194731019435,1.764433521167285e-05,7.320010814638656e-06,3.621364008665751e-05,9.8179514054209e-06,5.335160230671706e-05
6,agent_llm_attempt_1,3.5946177751757205,8.823940431154774e-05,2.500311972330655e-05,0.0002014876611937,4.032083596361594e-05,0.0002668116168806
7,agent_llm_attempt_1,3.077540175057948,8.27582075642543e-05,3.5438812860316826e-05,0.0001649326319466,4.986654515507528e-05,0.000250237989962
7,env_List_Files,1.0121579240076244,1.0696608931592731e-05,6.718296223132433e-06,1.575223482319643e-05,9.873063591981514e-06,3.234359463831038e-05
8,agent_llm_attempt_1,3.418908786959946,9.429855552264588e-05,3.2878782344332234e-05,0.0001957921010742,5.646193524460412e-05,0.0002851328186631
9,agent_llm_attempt_1,3.512511315755546,0.0001005209194734,2.7845074872772243e-05,0.0002177557297571,5.834672611672432e-05,0.0003039475307466
9,env_List_Files,1.0168975102715194,1.7136593406317228e-05,5.960040568873623e-06,3.5889473153361e-05,9.966817430944908e-06,5.181633115317952e-05
10,agent_llm_attempt_1,3.803030912298709,9.341445476390553e-05,3.158415534744732e-05,0.0002063551650763,4.452022143329184e-05,0.0002824595418571
10,env_Inspect_Script_Lines,1.008689464069903,1.0296230215412386e-05,7.907206527715783e-06,1.3399455156104524e-05,9.826298165393788e-06,3.1132959849214094e-05
11,agent_llm_attempt_1,5.2675791759975255,0.0001451432443714,4.244872577725621e-05,0.0003236366477921,7.278775813627161e-05,0.0004388731317056
12,agent_llm_attempt_1,5.209964828100056,0.0001513713910213,4.457435630946389e-05,0.0003414236064784,7.170736628791525e-05,0.0004577053290758
