step,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,3.005479786079377,7.205719887289343e-05,3.231135744593931e-05,0.0001467584507395,3.8811283478409886e-05,0.0002178810916638
1,5.390317686833441,0.0001482740486072,5.007967744292914e-05,0.0003230244250858,7.523571752115257e-05,0.0004483398200498
2,5.536898187827319,0.0001523719385724,4.901427026586079e-05,0.0003531036158221,5.8612822771020654e-05,0.000460730708859
3,5.820016490761191,0.0001531797091702,4.3972659260246334e-05,0.0003550625062658,6.413801878871811e-05,0.0004631731843147
4,6.710028940346092,0.000178620279727,5.269624671405552e-05,0.000415758943717,7.164326120142103e-05,0.0005400984516325
5,4.280086614191532,0.00011121125479862601,5.5215869775819265e-05,0.0002177590630977575,6.329722285607002e-05,0.0003362721557297171
6,3.5946177751757205,8.823940431154774e-05,2.500311972330655e-05,0.0002014876611937,4.032083596361594e-05,0.0002668116168806
7,4.089698099065572,9.345481649584704e-05,4.215710908344926e-05,0.00018068486676979642,5.973960874705679e-05,0.0002825815846003104
8,3.418908786959946,9.429855552264588e-05,3.2878782344332234e-05,0.0001957921010742,5.646193524460412e-05,0.0002851328186631
9,4.5294088260270655,0.00011765751287971723,3.3805115441645866e-05,0.000253645202910461,6.831354354766923e-05,0.0003557638618997795
10,4.811720376368612,0.00010371068497931792,3.949136187516311e-05,0.00021975462023240454,5.434651959868563e-05,0.0003135925017063141
11,5.2675791759975255,0.0001451432443714,4.244872577725621e-05,0.0003236366477921,7.278775813627161e-05,0.0004388731317056
12,5.209964828100056,0.0001513713910213,4.457435630946389e-05,0.0003414236064784,7.170736628791525e-05,0.0004577053290758
