step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,3.414323105011136,9.887928550938724e-05,4.651001276819252e-05,0.0001963559904183,5.611767931453264e-05,0.000298983682501
1,agent_llm_attempt_1,4.102715123910457,0.0001119248144124,3.7386358157318864e-05,0.00024112547068,5.991793432169491e-05,0.000338429763159
1,env_Edit_Script_(AI),17.07530683511868,0.0004532738124602,0.0001135065714285,0.0010727453026433,0.0001843230945122,0.0013705749685841
2,agent_llm_attempt_1,2.8968693958595395,7.152185231195801e-05,2.619811874225961e-05,0.0001534262338509,3.663799875131291e-05,0.0002162623513445
2,env_Execute_Script,2.9295496959239244,6.332687455751453e-05,9.3463808437897e-05,6.070421522963443e-05,3.731497561740172e-05,0.0001914829992849
3,agent_llm_attempt_1,5.675024852156639,0.0001551360493524,4.403161093531744e-05,0.0003639041800127,6.115282640093938e-05,0.000469088617349
3,env_Edit_Script_(AI),17.74667061213404,0.0005078803576461,0.0001300483563709,0.0012274318152734,0.0001782099257986,0.001535690097443
4,agent_llm_attempt_1,3.4188158842734997,9.025447564679863e-05,2.8464617441490928e-05,0.0001879362614545,5.650375782408649e-05,0.0002729046367201
4,env_Execute_Script,2.4328863192349672,4.558857504249168e-05,2.24875788412085e-05,4.861448333315366e-05,6.674521267155394e-05,0.0001378472748459
5,agent_llm_attempt_1,5.801194719038904,0.0001564216889359,4.585820140449735e-05,0.0003633716795832,6.374615580490273e-05,0.0004729760367926
5,env_Edit_Script_(AI),20.001487479079515,0.000560052245407,0.0001222201003604,0.0013692610954052,0.0002019622981082,0.0016934434938739
6,agent_llm_attempt_1,2.4388919612392783,6.927452106797445e-05,2.277670328853541e-05,0.0001197914847139,6.689885360990755e-05,0.0002094670416124
6,env_Execute_Script,2.338507723994553,4.516294878962718e-05,2.0672036982608183e-05,5.092754074098593e-05,6.49607207470884e-05,0.0001365602984706
7,agent_llm_attempt_1,4.425418925005943,0.0001248122720548,4.011024667836192e-05,0.0002709777167808,6.630991647123463e-05,0.0003773978799304
7,env_Edit_Script_(AI),22.340822321362797,0.0006249475512581,0.0001288857972599,0.0015234234409575,0.0002373597585052,0.0018896689967228
8,agent_llm_attempt_1,2.770581695251167,6.983168036026929e-05,2.876854579355265e-05,0.0001481284518334,3.4254739987146524e-05,0.0002111517376141
8,env_Execute_Script,2.3193536875769496,4.522935718987132e-05,2.5248335605412983e-05,4.695420422962116e-05,6.455855931853876e-05,0.0001367610991535
9,agent_llm_attempt_1,4.244962460361421,0.0001198836339631,4.3225974826463394e-05,0.0002564810385123,6.27880246184456e-05,0.0003624950379572
9,env_Edit_Script_(AI),22.457818931899965,0.0006258980950776,0.0001333229031579,0.0015195020489358,0.0002397182269215,0.0018925431790153
10,agent_llm_attempt_1,2.8805284686386585,7.453158150449349e-05,3.190436011510131e-05,0.0001571520701588,3.6306511883675646e-05,0.0002253629421576
10,env_Execute_Script,2.990525652188808,4.570421658280916e-05,3.4224445702283386e-05,6.544533013652654e-05,3.8527167124104586e-05,0.0001381969429629
11,agent_llm_attempt_1,3.659751421771944,9.54735385419646e-05,3.5002988859962726e-05,0.0002119521140144,4.173054030785959e-05,0.0002886856431823
12,agent_llm_attempt_1,6.707889125216752,0.0001736095935411,3.884052192749715e-05,0.0004146200539167,7.14869430120517e-05,0.0005249475188563
12,env_Edit_Script_(AI),22.94642140297219,0.0007061975391981,0.0002006005369962,0.0017042974745464,0.0002304485350562,0.002135346546599
13,agent_llm_attempt_1,2.848096170928329,7.184698881033532e-05,2.0971916486900463e-05,0.0001605254061871,3.5748151749269005e-05,0.0002172454744233
