step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,7.138523842673749,0.0001848984962181,4.939730819670319e-05,0.0004201997806063,8.948495758749132e-05,0.0005590820463905
0,env_List_Files,1.0114860306493938,9.593309928183343e-06,7.284191393748602e-06,1.185528726210805e-05,9.868044152648911e-06,2.9007522808505565e-05
1,agent_llm_attempt_1,3.131261308211833,8.67920750509879e-05,2.9170006330774314e-05,0.0001823584792219,5.090680690482259e-05,0.0002624352924575
2,agent_llm_attempt_1,3.013438417110592,8.17531901142923e-05,3.4876739056121616e-05,0.0001636667975901,4.865555779154724e-05,0.0002471990944378
2,env_Inspect_Script_Lines,1.0098232896998525,9.807303703116417e-06,7.7251533579392e-06,1.2103620790071544e-05,9.82580680348393e-06,2.965458095149468e-05
3,agent_llm_attempt_1,3.125701518729329,8.812583919475458e-05,3.2416159728124915e-05,0.0001833084799756,5.074358759189232e-05,0.0002664682272956
4,agent_llm_attempt_1,3.4723517801612616,9.337606113861248e-05,2.4293699846728884e-05,0.0002005254381955,5.752431208319548e-05,0.0002823434501255
4,env_Inspect_Script_Lines,1.016540139913559,1.0198135390265976e-05,6.796839758367711e-06,1.4073900146627238e-05,9.96560825345417e-06,3.083634815844912e-05
5,agent_llm_attempt_1,3.0351772401481867,8.439609552975305e-05,3.1252818376480615e-05,0.0001748779176793,4.905977528542281e-05,0.0002551905113412
6,agent_llm_attempt_1,3.181536658667028,8.84768607498436e-05,3.091117515591433e-05,0.0001847295922203,5.188885226897482e-05,0.0002675296196452
6,env_Edit_Script_(AI),28.96958927484229,0.0007953399370806,0.0001758867303337,0.0019409771083402,0.000288024728264,0.002404888566938
7,agent_llm_attempt_1,2.7523076720535755,7.59524944218818e-05,2.9289864186720164e-05,0.0001664748553977,3.389467126172451e-05,0.0002296593908462
7,env_Execute_Script,1.029609126970172,1.058962130483767e-05,8.787140197354955e-06,1.300889930178073e-05,1.0224054069516972e-05,3.202009356865266e-05
8,agent_llm_attempt_1,2.872856604401022,7.366226768839132e-05,3.1449191067598256e-05,0.0001550392907034,3.624589521593104e-05,0.000222734376987
8,env_Inspect_Script_Lines,1.0171974431723356,9.918033267400349e-06,6.637036934487102e-06,1.351973303798104e-05,9.832626635519168e-06,2.998939660798731e-05
9,agent_llm_attempt_1,3.0497948275879025,7.891750911189436e-05,2.823503056603404e-05,0.0001611742955986,4.921545117394999e-05,0.0002386247773386
10,agent_llm_attempt_1,3.439435552340001,9.402374775895894e-05,3.590209642134502e-05,0.0001915037643129,5.689601506003076e-05,0.0002843018757943
10,env_Inspect_Script_Lines,1.0149277769960463,1.838376601611531e-05,8.30872918583615e-06,3.74475299551591e-05,9.831177938677786e-06,5.558743707967304e-05
11,agent_llm_attempt_1,3.4342577517963946,0.0001006605312911,4.941584826356245e-05,0.0001981462696249,5.680756048144152e-05,0.00030436967837
12,agent_llm_attempt_1,3.138519268948585,8.507650426456544e-05,3.1954008435281295e-05,0.0001743559728168,5.093789840531018e-05,0.0002572478796574
12,env_Inspect_Script_Lines,1.0101558580063283,1.4967815370523504e-05,6.06872384986363e-06,2.934724570735625e-05,9.842575095697413e-06,4.5258544652917296e-05
13,agent_llm_attempt_1,3.3521959939971566,8.593678777659534e-05,2.1294372924562863e-05,0.0001833687578098,5.5186008945262686e-05,0.0002598491396797
14,agent_llm_attempt_1,2.811786590144038,7.151007387924873e-05,3.039248337195892e-05,0.0001507984539799,3.503579926133777e-05,0.0002162267366132
14,env_Execute_Script,3.078580774832517,8.69822620149632e-05,3.40963559957228e-05,0.0001790106987655,4.990331061029186e-05,0.0002630103653715
15,agent_llm_attempt_1,3.4565119282342494,9.218186615406876e-05,3.3341801070010555e-05,0.0001882395950332,5.7151137820134566e-05,0.0002787325339233
