step,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,8.150009873323143,0.00019449180614628333,5.6681499590451794e-05,0.00043205506786840803,9.935300174014023e-05,0.0005880895691990055
1,3.131261308211833,8.67920750509879e-05,2.9170006330774314e-05,0.0001823584792219,5.090680690482259e-05,0.0002624352924575
2,4.023261706810445,9.156049381740871e-05,4.2601892414060815e-05,0.00017577041838017155,5.8481364595031166e-05,0.0002768536753892947
3,3.125701518729329,8.812583919475458e-05,3.2416159728124915e-05,0.0001833084799756,5.074358759189232e-05,0.0002664682272956
4,4.4888919200748205,0.00010357419652887845,3.10905396050966e-05,0.00021459933834212723,6.748992033664965e-05,0.0003131797982839491
5,3.0351772401481867,8.439609552975305e-05,3.1252818376480615e-05,0.0001748779176793,4.905977528542281e-05,0.0002551905113412
6,32.15112593350932,0.0008838167978304436,0.00020679790548961432,0.0021257067005605,0.00033991358053297484,0.0026724181865832
7,3.7819167990237474,8.654211572671947e-05,3.8077004384075115e-05,0.00017948375469948073,4.411872533124148e-05,0.00026167948441485264
8,3.890054047573358,8.358030095579167e-05,3.808622800208536e-05,0.00016855902374138105,4.6078521851450204e-05,0.00025272377359498733
9,3.0497948275879025,7.891750911189436e-05,2.823503056603404e-05,0.0001611742955986,4.921545117394999e-05,0.0002386247773386
10,4.454363329336047,0.00011240751377507424,4.421082560718117e-05,0.0002289512942680591,6.672719299870855e-05,0.00033988931287397305
11,3.4342577517963946,0.0001006605312911,4.941584826356245e-05,0.0001981462696249,5.680756048144152e-05,0.00030436967837
12,4.148675126954913,0.00010004431963508895,3.8022732285144926e-05,0.00020370321852415625,6.078047350100759e-05,0.00030250642431031726
13,3.3521959939971566,8.593678777659534e-05,2.1294372924562863e-05,0.0001833687578098,5.5186008945262686e-05,0.0002598491396797
14,5.890367364976555,0.00015849233589421193,6.448883936768172e-05,0.0003298091527454,8.493910987162964e-05,0.00047923710198469996
15,3.4565119282342494,9.218186615406876e-05,3.3341801070010555e-05,0.0001882395950332,5.7151137820134566e-05,0.0002787325339233
16,3.9619205724447966,9.018294519150444e-05,2.8404156286950268e-05,0.00019682821302068187,4.74559790480675e-05,0.0002726883483556357
17,2.875856451690197,7.004597337972391e-05,2.559606597178004e-05,0.000149879008795,3.6324625823181126e-05,0.00021179970059
18,3.677023195195943,8.011514667355076e-05,3.528190811808563e-05,0.0001648654096655045,4.2098785160730285e-05,0.00024224610294433236
19,2.650264486670494,6.339037809321008e-05,2.222141333632042e-05,0.000137541221143,3.191238197937815e-05,0.0001916750164587
20,3.955870882142335,8.991088936803637e-05,3.4263588177113765e-05,0.00019019542992990677,4.7406708487930405e-05,0.00027186572659490955
21,32.66890308074653,0.0009300893017708,0.00021401908834656905,0.0022387173465147,0.0003595970388864014,0.0028123334737477
