step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,32.71836129017174,0.0008768081641934,0.0001753232776749,0.0021545617236569,0.0003213410105375,0.0026512260118693
0,env_List_Files,1.0158173372037709,1.7726868648271225e-05,5.768006103621381e-06,3.795391924654723e-05,9.879235301115032e-06,5.360116065128365e-05
1,agent_llm_attempt_1,13.920947493985295,0.0003879944058741,7.872591751210342e-05,0.0009515943723812,0.0001428677611777,0.001173188051071
1,env_Inspect_Script_Lines,1.0152566460892558,1.6973868889610108e-05,5.6487822222620425e-06,3.585002868078391e-05,9.825486200861637e-06,5.132429710390758e-05
2,agent_llm_attempt_1,8.804985987022519,0.0002433260726559,5.057009747312308e-05,0.0005926882519275,9.249257028309835e-05,0.0007357509196838
2,env_List_Files,1.015313943848014,1.7770231711970677e-05,5.542533271109673e-06,3.830197508136735e-05,9.88777024128164e-06,5.373227859375866e-05
3,agent_llm_attempt_1,25.16959333885461,0.0007028805400838001,0.00015353264944766387,0.0016992896927945,0.00027249451406390003,0.0021253168563061
4,agent_llm_attempt_1,43.110046363435686,0.0012270243389206,0.00023532544100041678,0.0030301790907997003,0.0004446785816701928,0.0037101831134705
5,agent_llm_attempt_1,48.64868274470791,0.0014073898137118,0.0002721128506046,0.0034902872366585,0.0004931584662834999,0.0042555585535468
6,agent_llm_attempt_1,9.30259674973786,0.0002618556031879,6.098700548781768e-05,0.0006191957731402,0.0001115963298206,0.0007917791084487
7,agent_llm_attempt_1,8.530962751246989,0.0002396321490992,4.948555740757215e-05,0.0005878310258253,8.726493062244522e-05,0.0007245815138553
8,agent_llm_attempt_1,8.632999211084098,0.0002297599461559,4.948325999847864e-05,0.0005560785004092,8.916893509708138e-05,0.0006947306955048
9,agent_llm_attempt_1,8.173108233138919,0.0002257634610975,5.084909230526347e-05,0.0005320068144811,9.97905203736284e-05,0.00068264642716
10,agent_llm_attempt_1,8.854615297168493,0.0002355161813986,5.111222121211048e-05,0.0005674326761635,9.35910655858202e-05,0.0007121359629614
