step,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,33.73417862737551,0.0008945350328416711,0.00018109128377852136,0.0021925156429034474,0.00033122024583861505,0.0027048271725205837
1,14.936204140074551,0.0004049682747637101,8.437469973436546e-05,0.000987444401061984,0.00015269324737856164,0.0012245123481749076
2,9.820299930870533,0.0002610963043678707,5.611263074423275e-05,0.0006309902270088673,0.00010238034052438,0.0007894831982775587
3,25.16959333885461,0.0007028805400838001,0.00015353264944766387,0.0016992896927945,0.00027249451406390003,0.0021253168563061
4,43.110046363435686,0.0012270243389206,0.00023532544100041678,0.0030301790907997003,0.0004446785816701928,0.0037101831134705
5,48.64868274470791,0.0014073898137118,0.0002721128506046,0.0034902872366585,0.0004931584662834999,0.0042555585535468
6,9.30259674973786,0.0002618556031879,6.098700548781768e-05,0.0006191957731402,0.0001115963298206,0.0007917791084487
7,8.530962751246989,0.0002396321490992,4.948555740757215e-05,0.0005878310258253,8.726493062244522e-05,0.0007245815138553
8,8.632999211084098,0.0002297599461559,4.948325999847864e-05,0.0005560785004092,8.916893509708138e-05,0.0006947306955048
9,8.173108233138919,0.0002257634610975,5.084909230526347e-05,0.0005320068144811,9.97905203736284e-05,0.00068264642716
10,8.854615297168493,0.0002355161813986,5.111222121211048e-05,0.0005674326761635,9.35910655858202e-05,0.0007121359629614
