step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,8.154662462882698,0.0001972313517705,4.764757751242393e-05,0.0004495370262986,9.918859562345056e-05,0.0005963731994345
0,env_Inspect_Script_Lines,1.009635961148888,9.03118134571701e-06,5.6127185523628325e-06,1.1871953944364575e-05,9.823128547415965e-06,2.7307801044143372e-05
1,agent_llm_attempt_1,15.941013311035933,0.0004188291169506,8.868779708149197e-05,0.0010150324787048,0.0001627034355045,0.0012664237112908
1,env_Inspect_Script_Lines,1.0104156942106783,1.6701442046317416e-05,5.361850566163948e-06,3.531197269524e-05,9.82673022016469e-06,5.050055348156864e-05
2,agent_llm_attempt_1,6.277580386959016,0.0001735006170717,3.888385767995968e-05,0.0004036583784738,8.207576792143907e-05,0.0005246180040752
2,env_Execute_Script,53.87441603699699,0.0014398633147815,0.0003104568530796,0.0035168069800874,0.0005264856294612,0.0043537494626284
3,agent_llm_attempt_1,7.523097378201783,0.0002103524119612,4.373236980430066e-05,0.0005151287454339,7.71865506320157e-05,0.0006360476658702
3,env_Inspect_Script_Lines,1.01154690887779,1.089505852278822e-05,5.22212119752526e-06,1.787723651602846e-05,9.844293744148066e-06,3.294365145770179e-05
4,agent_llm_attempt_1,15.255527135916054,0.000446296217566,9.090722713364814e-05,0.0010901814276991,0.0001683879916336,0.0013494766464663
4,env_Inspect_Script_Lines,1.0082297893241048,1.0001546760929697e-05,5.847052164744704e-06,1.4588345010224655e-05,9.806521199384912e-06,3.0241918374354277e-05
5,agent_llm_attempt_1,9.636922892183064,0.0002542504707176,5.508681229562913e-05,0.0006149804920028,9.871598151512445e-05,0.0007687832858135
6,agent_llm_attempt_1,16.973124030046165,0.0004873333270455,0.0001041452482508,0.0011966376239627,0.0001727786728051,0.0014735615450187
7,agent_llm_attempt_1,8.211263380944729,0.0002424346171046,5.924030822808841e-05,0.0005733032364076,0.000100511859378,0.0007330554040138
8,agent_llm_attempt_1,17.754716242663562,0.0004967686073058,9.502283808549922e-05,0.0012293207056899,0.0001777476859304,0.0015020912297059
9,agent_llm_attempt_1,15.396023910026996,0.0004545226076644,9.11723897641177e-05,0.0011115995003763,0.0001715790906481,0.0013743509807885
