step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,7.411066142842174,0.0002000700619692,4.520595855280536e-05,0.0004650145386904,9.473617874448084e-05,0.0006049566759876
0,env_Inspect_Script_Lines,1.0113873989321291,1.962968918509404e-05,5.770317979314885e-06,4.375170166781572e-05,9.832745394669474e-06,5.935476504180008e-05
1,agent_llm_attempt_1,8.611407476942986,0.0002252757496907,4.7590271864449366e-05,0.0005447390469157,8.884240362612116e-05,0.0006811717224063
1,env_Execute_Script,1.0824099560268223,1.1380854169913971e-05,5.983683272364754e-06,1.719418042966936e-05,1.1234699780794068e-05,3.441256348282818e-05
2,agent_llm_attempt_1,30.16705444222316,0.0008543709727784,0.0001793504716079,0.0020932263967949,0.0003108052661603,0.0025833821345632
2,env_List_Files,1.013109321705997,1.603120229631691e-05,5.243543502057096e-06,3.3338359997969746e-05,9.892029870146266e-06,4.847393337017311e-05
3,agent_llm_attempt_1,23.64527505403385,0.0006764141667078,0.0001328470654116,0.0016786882873844,0.0002337544914451,0.0020452898442413
3,env_List_Files,1.0137365059927106,1.7902348572562052e-05,5.838825479801024e-06,3.838141961409747e-05,9.91151844047838e-06,5.413176353437687e-05
4,agent_llm_attempt_1,15.47966687520966,0.000444451470576,8.691868140677921e-05,0.0010843130896773,0.0001726668693771,0.0013438986404613
5,agent_llm_attempt_1,9.382296162191778,0.0002565579665198,5.134154590894459e-05,0.0006111360444691,0.0001132829261943,0.0007757605165724
5,env_List_Files,1.011878464370966,1.1202043836926692e-05,5.654021096991232e-06,1.834862578675711e-05,9.869243478816417e-06,3.387189036256476e-05
6,agent_llm_attempt_1,7.989691853988916,0.0002264672966323,5.0622062018227255e-05,0.0005476198825391,8.653268709959877e-05,0.0006847746316569
6,env_Execute_Script,1.087971718981862,2.149710267568191e-05,6.49618750218186e-06,4.71842044191817e-05,1.1320916370540444e-05,6.5001308291904e-05
7,agent_llm_attempt_1,32.76676680194214,0.0009260592968,0.0001771492141684,0.0023006990627862,0.0003222995734799,0.0028001478504346
