step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,7.701337982900441,0.0002049555032064,4.374585131038618e-05,0.0004950509515992,8.093209967935562e-05,0.000619728902589
0,env_List_Files,1.0133015178143978,8.973886285396605e-06,5.335193399756399e-06,1.1906398405869822e-05,9.892964781546551e-06,2.713455658717277e-05
1,agent_llm_attempt_1,10.0341325791087,0.0002619300237887,5.903991895888345e-05,0.0006068593743719,0.00012610484248531674,0.0007920041358160999
1,env_Execute_Script,1.0703700790181756,1.0050490410667384e-05,5.792760448011795e-06,1.3664177600958284e-05,1.0932972420576133e-05,3.038991046954621e-05
2,agent_llm_attempt_1,6.314884275896475,0.0001667799385008,3.600541461826884e-05,0.0003849258634929,8.336524793477212e-05,0.0005042965260459
2,env_List_Files,1.0138043810147792,9.029457325092192e-06,5.318886940173541e-06,1.208223188342572e-05,9.901469257763691e-06,2.730258808136295e-05
3,agent_llm_attempt_1,6.007806170964614,0.0001598897873824,3.663866532971152e-05,0.0003791633588789,6.766058557485748e-05,0.0004834626097835
3,env_Execute_Script,1.08065898087807,1.0546467888014217e-05,6.062327216538972e-06,1.4607511680253538e-05,1.1219770643704882e-05,3.1889609540497394e-05
4,agent_llm_attempt_1,6.518076481996104,0.0001736265477435,3.748002378566081e-05,0.0004196820024162,6.783675748544434e-05,0.0005249987836873
4,env_List_Files,1.016496266936883,1.0010406986321698e-05,5.377746155054069e-06,1.492778971368125e-05,9.963173383019038e-06,3.0268709251754355e-05
5,agent_llm_attempt_1,7.026084671961144,0.0001880934199344,4.170387812396102e-05,0.0004397284073434,8.731032888818946e-05,0.0005687426143555
5,env_List_Files,1.0132638751529155,9.169165734281637e-06,5.486936072051898e-06,1.234500987834508e-05,9.893081820337105e-06,2.7725027770734083e-05
6,agent_llm_attempt_1,7.016934504033998,0.0001959923354021,4.9861156121400736e-05,0.0004555753644552,8.719023515522066e-05,0.0005926267557319
6,env_List_Files,1.009858971927315,9.125175707854895e-06,5.354652389662094e-06,1.2409176584071702e-05,9.828185092192144e-06,2.759201406592594e-05
7,agent_llm_attempt_1,8.203584389993921,0.0002203563345924,4.653465858839525e-05,0.0005194345822161,0.0001003275274163,0.0006662967682208
7,env_List_Files,1.0146464810241014,1.0003162219314608e-05,5.327291410487401e-06,1.4988900879586708e-05,9.930610784795137e-06,3.0246803074869247e-05
8,agent_llm_attempt_1,7.408583941869438,0.0002108239648064,5.323503361437095e-05,0.0004895376138449,9.470086413202808e-05,0.0006374735115913
8,env_List_Files,1.012752491980791,9.224862558140422e-06,5.388922428958944e-06,1.26175100874093e-05,9.887007085166669e-06,2.789343960153491e-05
9,agent_llm_attempt_1,13.926183313829824,0.0003800509309997,8.848017860366684e-05,0.0008985640521713999,0.00016212494356635337,0.0011491691743414
9,env_Execute_Script,1.073322094976902,1.0930420772450467e-05,5.947530053250087e-06,1.6138346239813472e-05,1.0964700852572504e-05,3.305057714563606e-05
10,agent_llm_attempt_1,7.819833816960454,0.0002108804388301,4.552528169457231e-05,0.0005088223515059,8.32966402593431e-05,0.0006376442734598
10,env_Execute_Script,1.0093659709673375,9.251022779222409e-06,5.525656020439631e-06,1.2618621205717773e-05,9.828263667360363e-06,2.797254089351777e-05
11,agent_llm_attempt_1,7.551438458962366,0.0002067793662819,4.259347129605023e-05,0.0005048365149775,7.78137751240542e-05,0.0006252437613976
12,agent_llm_attempt_1,8.651908117113635,0.0002310612206956,4.755050385343679e-05,0.0005618073938862,8.930749300311112e-05,0.0006986653907427
13,agent_llm_attempt_1,7.440260873176157,0.0002162800585461,5.467509365590981e-05,0.000503885125326,9.541101495787088e-05,0.0006539712339398
14,agent_llm_attempt_1,7.878674557898194,0.0002170820639645,4.639563996379678e-05,0.0005258951429425,8.410549417733113e-05,0.0006563962770836
15,agent_llm_attempt_1,8.286477371118963,0.0002302629061717,4.701358059975573e-05,0.0005472318266797,0.0001020061005663,0.0006962515078458
16,agent_llm_attempt_1,8.364854882005602,0.0002334894223736,4.675173208614792e-05,0.0005556718334247,0.0001035840372613,0.0007060076027722
17,agent_llm_attempt_1,7.414687599055469,0.0002137048770212,4.436260613680877e-05,0.0005072726280417,9.454936122056098e-05,0.0006461845953991
18,agent_llm_attempt_1,7.697484612930566,0.0002147337033784,4.503297356926942e-05,0.0005233109742022,8.095153471933576e-05,0.0006492954824908
19,agent_llm_attempt_1,8.117616174044088,0.0002286224602965,4.72557038945897e-05,0.0005454298807876,9.86056673709148e-05,0.0006912912520531
20,agent_llm_attempt_1,8.287027918966487,0.0002325697545431,4.687615746933447e-05,0.0005543248879078,0.0001020257355755,0.0007032267809527
21,agent_llm_attempt_1,7.732058129040524,0.0002155287891207,4.442674163661245e-05,0.0005259676429929,8.130521781341586e-05,0.0006516996024429
22,agent_llm_attempt_1,7.428809083066881,0.0002182583272135,5.468125392527754e-05,0.0005100459635869,9.522575515180105e-05,0.000659952972664
23,agent_llm_attempt_1,8.004751379834488,0.0002235028316232,4.62646938462664e-05,0.0005428904343034,8.665577909818643e-05,0.0006758109072478
24,agent_llm_attempt_1,8.360105480998755,0.0002367961463495,4.62689587121723e-05,0.0005665537865766,0.0001031834785923,0.0007160062238811
25,agent_llm_attempt_1,7.420432086801156,0.0002153627557866,4.4391027385653074e-05,0.0005117709649695,9.50355710875657e-05,0.0006511975634427
26,agent_llm_attempt_1,7.447139988886192,0.0002155353299682,4.223356106987998e-05,0.0005142918003215,9.519401876993166e-05,0.0006517193801613
27,agent_llm_attempt_1,8.080872257938609,0.0002313008588526,5.310190938184853e-05,0.0005482887719594,9.79993090816101e-05,0.0006993899904229
28,agent_llm_attempt_1,8.289002096978948,0.0002343243429631,4.6809235204306496e-05,0.000559792114501,0.0001019308226079,0.0007085321723133
29,agent_llm_attempt_1,8.041232323972508,0.0002285139665482,5.327994581095372e-05,0.0005404832101589,9.720004091763663e-05,0.0006909631968875
30,agent_llm_attempt_1,7.401593049988151,0.0002157207575998,4.44060042670846e-05,0.0005132315217011,9.464253619921188e-05,0.0006522800621674
31,agent_llm_attempt_1,8.273210955085233,0.0002368472271989,5.479149831958008e-05,0.0005598582256638,0.0001015109542951,0.0007161606782785
32,agent_llm_attempt_1,7.810223964974284,0.0002198668874163,4.580243425571192e-05,0.0005359979288073,8.301645191645045e-05,0.0006648168149794
33,agent_llm_attempt_1,7.43155882996507,0.0002195779914626,5.3676911808361554e-05,0.0005151154120923,9.515094940951611e-05,0.0006639432733102
34,agent_llm_attempt_1,8.350203152978793,0.000235177931991,4.677929493965166e-05,0.0005610871155354,0.0001032467795872,0.0007111131900623
35,agent_llm_attempt_1,8.295312489150092,0.0002385576470872,5.531461288396308e-05,0.0005638185066061,0.0001021993966934,0.0007213325161835
36,agent_llm_attempt_1,7.917652445845306,0.0002213641769402,4.664789360520616e-05,0.0005375265411373,8.51697707141284e-05,0.0006693442054567
37,agent_llm_attempt_1,7.384657053044066,0.0002156497168687,4.471318636460067e-05,0.0005132590217087,9.409304652039686e-05,0.0006520652545937
38,agent_llm_attempt_1,7.564246348105371,0.0002125045088076,4.219441753751358e-05,0.0005220801398877,7.828045563009155e-05,0.0006425550130553
39,agent_llm_attempt_1,8.270598992006853,0.0002352361503898,4.692384643160376e-05,0.0005629201725483,0.0001014452074602,0.0007112892264402
40,agent_llm_attempt_1,7.379349690862,0.000215021025581,4.257063665236692e-05,0.0005136923554047,9.390127351378196e-05,0.0006501642655709
