step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,11.886132103856651,0.0003076289854612,6.665952457105742e-05,0.0007405955924753,0.0001229300723333,0.0009301851893797
1,agent_llm_attempt_1,8.987814160063863,0.0002377560062599,5.318183925272412e-05,0.0005696657335079,9.606100270240052e-05,0.000718908575463
1,env_Inspect_Script_Lines,1.013720167800784,1.761456798306523e-05,5.883008361784027e-06,3.747197440873151e-05,9.906611648491688e-06,5.3261594419007225e-05
2,agent_llm_attempt_1,8.584661740809679,0.0002373987316344,5.0082898724008936e-05,0.0005795949081175,8.815046871184474e-05,0.0007178282755533
3,agent_llm_attempt_1,9.025749844964594,0.0002419220484087,5.228854523637461e-05,0.0005727207359456,0.0001064962564928,0.0007315055376748
4,agent_llm_attempt_1,9.289288064930588,0.0002554346497465,5.270678211294968e-05,0.0006079343752389,0.0001117227591768,0.0007723639165287
5,agent_llm_attempt_1,8.28350532008335,0.0002389586629548,5.9081584833444326e-05,0.0005616060048367,0.0001018574878728,0.000722545077543
6,agent_llm_attempt_1,8.698141714092344,0.0002410563967607,5.099868473943016e-05,0.0005876135256528,9.02758354980809e-05,0.0007288880458903
7,agent_llm_attempt_1,9.3875919948332,0.0002622305745399,6.104056050275861e-05,0.0006182629946209,0.0001136093632537,0.0007929129183775
8,agent_llm_attempt_1,9.027095152065158,0.0002530392521068,5.3168262792299216e-05,0.0006053843731876,0.0001065682588817,0.0007651208948617
9,agent_llm_attempt_1,8.303873158991337,0.000244666753885,5.949968575131696e-05,0.0005783590738133,0.0001019460103151,0.0007398047698797
10,agent_llm_attempt_1,9.322856836952267,0.0002606334653655,5.258041203718311e-05,0.0006231649429651,0.0001123383458108,0.0007880837008131
11,agent_llm_attempt_1,8.846465538721532,0.0002472281024101,5.124230388769794e-05,0.0006029871490653,9.332012829189708e-05,0.0007475495812449
12,agent_llm_attempt_1,8.616756335832179,0.0002450955425889,4.982993217701773e-05,0.000602282704051,8.898867240641268e-05,0.0007411013086344
13,agent_llm_attempt_1,8.641088430769742,0.0002440409737459,4.966775981968867e-05,0.0005993213127908,8.89235107564471e-05,0.0007379125833669
14,agent_llm_attempt_1,8.864680427126586,0.0002436756611124,5.013785949088765e-05,0.0005929090854408,9.376103380669116e-05,0.0007368079787384
15,agent_llm_attempt_1,9.231601832900196,0.0002561036504494,5.255130407650001e-05,0.0006112027111981,0.0001106327748288,0.0007743867901035
16,agent_llm_attempt_1,8.07800618512556,0.0002358335451752,4.842446883722194e-05,0.0005667046200272,9.796649460913614e-05,0.0007130955834736
17,agent_llm_attempt_1,8.866580761037767,0.0002496816267292,5.112623042205824e-05,0.0006100315991375,9.381053239598664e-05,0.0007549683619555
18,agent_llm_attempt_1,8.050149966031313,0.0002369501473563,4.767965447354647e-05,0.0005714287904794,9.73634354899534e-05,0.0007164718804429
19,agent_llm_attempt_1,8.95028573088348,0.0002520331292572,5.172560767813965e-05,0.0006153557700514,9.499727918430129e-05,0.0007620786569138
20,agent_llm_attempt_1,8.679846993647516,0.0002438342239064,4.889538089687851e-05,0.0005984321454235,8.995990256597805e-05,0.0007372874288864
21,agent_llm_attempt_1,8.386856976896524,0.0002459350641438,4.800879443318308e-05,0.0005917771400731,0.0001038538557192,0.0007436397902256
22,agent_llm_attempt_1,8.931612160988152,0.000250795640795,5.214829960356658e-05,0.0006111657666991,9.502276687546532e-05,0.0007583368331782
23,agent_llm_attempt_1,7.998294380959123,0.0002353496930895,5.041245174060293e-05,0.000574537959622,8.668213687940604e-05,0.000711632548242
24,agent_llm_attempt_1,8.913903500884771,0.0002537887560919,5.1523136202037165e-05,0.0006212757747903,9.458827716169053e-05,0.000767387188154
25,agent_llm_attempt_1,7.993162383791059,0.000237327257098,5.0306746789025336e-05,0.0005805649089012,8.67405005821234e-05,0.0007176121562723
