step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,11.585811597062277,0.0003092489064979,6.504087134499603e-05,0.000752871991196,0.0001171705211816,0.0009350833837226
0,env_List_Files,1.0130504849366844,9.0581124054754e-06,5.578306558079275e-06,1.1913898418924871e-05,9.897028162635656e-06,2.7389233139639808e-05
1,agent_llm_attempt_1,5.712247586110607,0.000145398951526,3.405326321600957e-05,0.0003435872193122,6.200583707347202e-05,0.0004396463196017
2,agent_llm_attempt_1,8.267469366081059,0.0002255064431076,5.551275050108396e-05,0.000524833475417,0.0001015230497416,0.0006818692756598
2,env_Edit_Script_(AI),23.44404681585729,0.0006791413862542,0.0001303402502673,0.0016741324504181,0.0002490635031323,0.0020535362038177
3,agent_llm_attempt_1,13.227913791080937,0.0003791498133647,7.4043281215448e-05,0.0009233657386928,0.0001490354232871,0.0011464444431955
3,env_Execute_Script,4.349092630902305,7.081799301185227e-05,3.1528980311082704e-05,0.0001178770387468,6.47280559299462e-05,0.0002141340749879
4,agent_llm_attempt_1,7.48730004997924,0.0002186336457612,5.558476747456052e-05,0.0005091012406097,9.640182433261846e-05,0.0006610878324169
4,env_Edit_Script_(AI),23.29581708600745,0.0006946612646426,0.0001311735960701,0.0017230669340122,0.0002462235046621,0.0021004640347445
5,agent_llm_attempt_1,15.657223631162196,0.00043777126786350004,9.650979559921496e-05,0.0010513000076954001,0.00017588974696765137,0.0013236995502622002
5,env_List_Files,1.0127201890572906,1.0412528874938926e-05,5.250664106716869e-06,1.6342513070810583e-05,9.891437735900078e-06,3.148461491342753e-05
6,agent_llm_attempt_1,15.708824882050976,0.0004454774250552,9.163448060655856e-05,0.001058686680281,0.00019667968289828025,0.0013470008437859
7,agent_llm_attempt_1,15.706196031998843,0.0004492442111938,9.467772407279845e-05,0.0010666780755741,0.0001970347663154022,0.0013583905659624
7,env_Edit_Script_(AI),23.26970003102906,0.0007100994140232,0.0001386664907486,0.001762526410026,0.0002459518389226,0.0021471447396973
8,agent_llm_attempt_1,16.831384400837123,0.000476003001988,0.00010135435817988349,0.0011487711967887,0.00018917621266443922,0.001439301767633
8,env_Edit_Script_(AI),23.29323138901964,0.0007052209908248,0.0001363189699317,0.0017500230666769,0.0002460516971005,0.0021323937337092
9,agent_llm_attempt_1,16.548373438883573,0.0004737415898099,0.00010260526260329978,0.0011263461788572002,0.0002035124395798,0.0014324638810405
9,env_List_Files,1.0120047579985112,9.505806868817396e-06,5.474279738577995e-06,1.3396399602072506e-05,9.87225835496146e-06,2.874293769561196e-05
10,agent_llm_attempt_1,29.726474915165454,0.0008654527582905,0.000180173311887388,0.0020852294459528,0.00035148763908584614,0.0026168903969262004
10,env_List_Files,1.0128168028313669,9.503276786886529e-06,5.524277187826841e-06,1.3321121762999155e-05,9.889888474976438e-06,2.8735287425802436e-05
11,agent_llm_attempt_1,22.52655464876443,0.0006410966410845,0.00012931801084339694,0.0015774643175276,0.00023171706109222909,0.0019384993894633
11,env_List_Files,1.0185458199121058,1.0285959159830732e-05,5.334276650850327e-06,1.586667936237518e-05,9.900946997287168e-06,3.110190301051268e-05
12,agent_llm_attempt_1,22.432286937721074,0.0006534311943269,0.0001423927845705985,0.001574356259482,0.0002590466318011585,0.0019757956758537
13,agent_llm_attempt_1,14.41964618000202,0.0004286573908951,8.103297125328146e-05,0.0010529305645619,0.0001621781646519,0.0012961417004671
