step,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,12.598862081998961,0.0003183070189033754,7.061917790307531e-05,0.0007647858896149248,0.00012706754934423565,0.0009624726168622398
1,5.712247586110607,0.000145398951526,3.405326321600957e-05,0.0003435872193122,6.200583707347202e-05,0.0004396463196017
2,31.71151618193835,0.0009046478293618,0.00018585300076838396,0.0021989659258351,0.0003505865528739,0.0027354054794775
3,17.577006421983242,0.00044996780637655224,0.00010557226152653071,0.0010412427774396,0.0002137634792170462,0.0013605785181834
4,30.78311713598669,0.0009132949104038,0.0001867583635446605,0.0022321681746219,0.00034262532899471845,0.0027615518671614
5,16.669943820219487,0.00044818379673843895,0.00010176045970593182,0.0010676425207662107,0.00018578118470355146,0.0013551841651756277
6,15.708824882050976,0.0004454774250552,9.163448060655856e-05,0.001058686680281,0.00019667968289828025,0.0013470008437859
7,38.9758960630279,0.0011593436252169999,0.00023334421482139846,0.0028292044856001,0.0004429866052380022,0.0035055353056597
8,40.12461578985676,0.0011812239928128,0.0002376733281115835,0.0028987942634655997,0.0004352279097649392,0.0035716955013422
9,17.560378196882084,0.0004832473966787174,0.00010807954234187778,0.0011397425784592727,0.00021338469793476147,0.001461206818736112
10,30.73929171799682,0.0008749560350773865,0.00018569758907521484,0.002098550567715799,0.0003613775275608226,0.002645625684352003
11,23.545100468676537,0.0006513826002443307,0.00013465228749424726,0.001593330996889975,0.00024161800808951626,0.0019696012924738126
12,22.432286937721074,0.0006534311943269,0.0001423927845705985,0.001574356259482,0.0002590466318011585,0.0019757956758537
13,14.41964618000202,0.0004286573908951,8.103297125328146e-05,0.0010529305645619,0.0001621781646519,0.0012961417004671
14,8.27956890501082,0.0002385087211,5.497903225180952e-05,0.0005647726740392,0.0001014328712041,0.0007211845774951
15,7.43022420280613,0.0002158998126428,4.4176195850682655e-05,0.0005133956885003,9.52495908720367e-05,0.0006528214752231
16,7.917465800885111,0.0002222094287227,4.962329775573698e-05,0.0005369812629112,8.529545300860063e-05,0.0006719000136755
17,8.48692144593224,0.000238147424308,4.715753787217315e-05,0.000567244342676,0.0001056902351155,0.0007200921156637
18,8.834776415023953,0.0002409570396525,4.987673988061546e-05,0.0005855260239755,9.318485354758903e-05,0.0007285876174037
19,7.765954830916598,0.0002199152766504,4.809956661985329e-05,0.0005345501498652,8.231341418965411e-05,0.0006649631306747
20,8.100290304981172,0.0002296781431074,4.892552716155714e-05,0.0005474946046675,9.806321382315624e-05,0.0006944833456522
21,8.265863191103563,0.0002342864794525,4.786721749621026e-05,0.0005593462808164,0.0001012041851897,0.0007084176835024
22,8.528600184014067,0.0002345380521386,4.667429537114936e-05,0.0005752724046601,8.72316698750688e-05,0.0007091783699063
23,7.624349216930568,0.0002145521725429,4.638587243990162e-05,0.0005228618071768,7.949890370493653e-05,0.0006487465833217
24,7.588502864120528,0.0002137566891785,4.600207174072391e-05,0.0005214868060789,7.885238325042236e-05,0.0006463412610701
25,8.615007133921608,0.0002355930568023,4.787939891710957e-05,0.0005755965715863,8.889244247176168e-05,0.0007123684129752
26,8.308801009086892,0.000235811876447,4.74304787735737e-05,0.0005635404508268,0.0001020591336166,0.000713030063217
27,7.578369030030444,0.0002144526401718,4.611508139689685e-05,0.0005236498633678,7.868068012370108e-05,0.0006484456248884
28,7.96209823503159,0.0002228099179689,4.9746204456365495e-05,0.0005378959858788,8.607353716959349e-05,0.0006737157275047
29,8.641844037920237,0.0002362645059248,4.775514369257413e-05,0.0005772887951707,8.935475103207866e-05,0.0007143986898953
30,7.966109751956537,0.0002235886487876,4.884437239965216e-05,0.0005410629328608,8.616308941919772e-05,0.0006760703946796
31,7.758424384985119,0.000219185252348,4.678216334665925e-05,0.0005339334826999,8.204009252238192e-05,0.0006627557385689
32,7.413968802196905,0.0002160549256269,4.4863400261719135e-05,0.0005135037441377,9.492334969820353e-05,0.0006532904940976
33,8.451073651900515,0.0002393403814439,4.727290528625703e-05,0.0005716112906242,0.0001048150930424,0.0007236992889529
34,8.007029737113044,0.0002252054174518,4.839607702212685e-05,0.0005456179365026,8.694504359284312e-05,0.0006809590571176
35,7.427797602023929,0.0002167612928194,4.554598307802386e-05,0.0005147170784383,9.516329211247568e-05,0.0006554263536288
36,8.03496597497724,0.0002301895818422,5.1113337989052216e-05,0.0005478809938495,9.70354634621698e-05,0.0006960297953007
37,8.508473588852212,0.0002437321889143,5.798474923566092e-05,0.0005730629584519,0.00010593119553,0.0007369789032176
38,8.545349182095379,0.0002342606646924,4.7257492550041645e-05,0.0005735004588061,8.758167543306222e-05,0.0007083396267892
39,7.783866885816678,0.0002200996492879,4.847558479870844e-05,0.000534575149885,8.246988798556333e-05,0.0006655206226693
40,7.678086159052327,0.0002179497870526,4.697671894737844e-05,0.000531433758482,8.060955490218476e-05,0.0006590200323316
41,8.419362160842866,0.0002405901640265,5.7084210309281326e-05,0.0005661440640309,0.0001042500123769,0.0007274782867172
42,8.495689080096781,0.000239301053164,4.751230736455512e-05,0.000570502123061,0.0001055659406579,0.0007235803710835
43,7.374417039100081,0.0002181413589252,5.3698866679676e-05,0.0005117848538702,9.411557227722369e-05,0.0006595992928271
44,7.407285938039422,0.0002180851896646,5.37042347981669e-05,0.000511010131035,9.471508664492933e-05,0.0006594294524781
45,8.335882462793961,0.0002370728603541,5.542702111966865e-05,0.000558717113634,0.000102698795943,0.0007168429306967
46,7.7105241438839585,0.0002161135909405,4.538560092929882e-05,0.0005270445883027,8.103769259048731e-05,0.0006534678818225
47,7.479954268084839,0.0002205645175289,5.267435602165395e-05,0.0005180815255769,9.617037439279051e-05,0.0006669262559914
48,7.406488116132095,0.0002184723813547,5.362052363622805e-05,0.0005121981875362,9.47815021655212e-05,0.0006606002133379
49,7.949724830919877,0.0002237717660529,4.567449156890144e-05,0.0005451893250381,8.576027416792284e-05,0.0006766240907749
