step,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,6.5810183188878,0.0001715182450153,4.0051077392022376e-05,0.0004097022722078,6.88705082348962e-05,0.0005186238578347
1,17.87432350497693,0.00046623945126534315,9.863493369696017e-05,0.0011312442383370762,0.00017990031159062495,0.0014097794836246608
2,9.037855089176446,0.0002462931345002,5.2855756649011656e-05,0.0005852404681974,0.0001066262713594,0.0007447224962058
3,17.072226281277835,0.0004689581853933,9.455231318146038e-05,0.0011389464667104,0.0001845014057445,0.0014180001856364
4,15.62361864419654,0.000447964534226,8.896230747738468e-05,0.0011092903318825,0.0001562685364637,0.0013545211758236
5,15.264718534890562,0.0004400786865676,8.911934443871413e-05,0.001073039747311,0.000168517456148,0.0013306765478978
6,17.684185693971813,0.000488589387939,9.478269304884642e-05,0.0012059790203267,0.0001765978132879,0.0014773595266634
7,15.617932923138142,0.000454636248038,9.018525529072686e-05,0.0011288756253264,0.0001556337173122,0.0013746945979294
8,8.995386024005711,0.0002511116267696,5.2062139061144175e-05,0.0006109240998455,9.630604869065188e-05,0.0007592922875973
9,24.006373298820108,0.0006911861556382,0.0001338929407584,0.0017156472058417,0.0002404161171599,0.0020899562637601
