step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,7.133419628255069,0.0001930657889091,4.478049989943939e-05,0.0004498781376724,8.911904888356932e-05,0.0005837776864555
1,agent_llm_attempt_1,9.071372603997588,0.0002372816933452,5.24671615058609e-05,0.0005579665574941,0.0001070406650529,0.0007174743840529
1,env_List_Files,1.0123647009022534,1.9784194706954457e-05,5.696709923312475e-06,4.4238646495387e-05,9.88659069925133e-06,5.982194711795081e-05
2,agent_llm_attempt_1,31.94725596299395,0.0008891847052074,0.00018357970838726685,0.0021692636798888,0.0003358058694218838,0.0026886492576981
2,env_Inspect_Script_Lines,1.010341206099838,1.73307312051545e-05,5.33472814239842e-06,3.723225201213154e-05,9.836370147402504e-06,5.240335030193246e-05
3,agent_llm_attempt_1,43.27428630320355,0.0012263715122012,0.00023759344806403577,0.0030227204737513,0.00044789522374433054,0.0037082091455597
3,env_Inspect_Script_Lines,1.0137093388475478,1.7467055900693787e-05,5.354737685230783e-06,3.755475226796534e-05,9.906068621462006e-06,5.281555857465813e-05
4,agent_llm_attempt_1,43.492175491992384,0.0012470886523475,0.00025474923225090446,0.0030544107768547997,0.0004616920532179,0.0037708520623238
4,env_Inspect_Script_Lines,1.0108669907785952,1.7570856634896484e-05,5.229844411556868e-06,3.804836376275489e-05,9.8512151860632e-06,5.312942336037496e-05
5,agent_llm_attempt_1,23.700458475388587,0.0006794233392156,0.00014570166296930362,0.0016545199347177,0.0002541671541066602,0.0020543887517937
6,agent_llm_attempt_1,16.202063949778676,0.0004646908189577,9.141245837455227e-05,0.0011367589649609,0.0001769254233972,0.0014050968467327
7,agent_llm_attempt_1,35.987328744959086,0.0010499289776887,0.0002025357848034,0.0026170776492193,0.0003550821606794,0.0031746955947022
