step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,5.089081482961774,0.0001343694566949,3.306694452746897e-05,0.0003039796876223,6.924953768353185e-05,0.0004062961698333
1,agent_llm_attempt_1,7.851256383117288,0.0002073469819182,4.636559394362436e-05,0.0004966528973255,8.394158322997911e-05,0.0006269600744991
1,env_Edit_Script_(AI),22.631328189047053,0.0006609257079782,0.000127953283359,0.0016467493729521,0.0002237543613843,0.0019984570176956
2,agent_llm_attempt_1,16.083648156840354,0.00043339895161640003,9.063640739254584e-05,0.0010354308283380999,0.00018441163634932663,0.0013104788720800001
2,env_Edit_Script_(AI),23.36906631989405,0.0006920201291251,0.0001314019722971,0.0017131874816627,0.0002478885155643,0.0020924779695242
3,agent_llm_attempt_1,7.659794524079189,0.0002135232760459,4.313029978414709e-05,0.0005222934733879,8.021171097449647e-05,0.0006456354841465
3,env_Edit_Script_(AI),22.58668593992479,0.0006719688953056,0.0001253439866347,0.0016836727358295,0.0002228318473311,0.0020318485697955
4,agent_llm_attempt_1,16.657257203944027,0.0004560828542619,9.378612867430099e-05,0.0010993769906021,0.00018590561681258909,0.001379068736089
4,env_Edit_Script_(AI),25.787831068970263,0.0007373197830247,0.0001381778175678,0.001835574246229,0.0002556995627392,0.0022294516265361
5,agent_llm_attempt_1,7.409025439992547,0.0002128152233872,4.474278031747018e-05,0.0005039279031393,9.482384477353968e-05,0.0006434945282303
5,env_List_Files,1.0141523301135749,9.36414885263727e-06,5.334943252046197e-06,1.3063066006679946e-05,9.916593673794222e-06,2.8314602932520364e-05
6,agent_llm_attempt_1,6.439992421073839,0.0001819185024815,3.832965880225569e-05,0.0004261414520243,8.560025656673438e-05,0.0005500713673933
7,agent_llm_attempt_1,8.549761346075684,0.0002300466877583,4.658708846193422e-05,0.000561384337999,8.762629654892308e-05,0.0006955977230098
7,env_Edit_Script_(AI),23.76448562904261,0.0006948843635053,0.000130476344415,0.0017347677767034,0.0002358945030428,0.0021011386241613
8,agent_llm_attempt_1,15.800121216801926,0.00045052393908420003,0.0001092312512032327,0.0010541777877861001,0.00019885107108722259,0.0013622601100765001
8,env_Edit_Script_(AI),22.699130391934887,0.000676097855489,0.0001284441966983,0.001690767463728,0.000225121745947,0.0020443334063735
9,agent_llm_attempt_1,8.278626980958506,0.0002322594148841,4.7152482726192615e-05,0.0005533273871094,0.0001018085295987,0.0007022883994344
10,agent_llm_attempt_1,8.248547678813338,0.0002302804492913,4.745129642978938e-05,0.0005476432158886,0.0001012100410815,0.0006963045534
11,agent_llm_attempt_1,7.407307282090187,0.0002155875175692,5.3807888128491934e-05,0.0005037306807622,9.433861217953058e-05,0.0006518771810702
12,agent_llm_attempt_1,7.433290970046073,0.000212059659208,4.420909361144557e-05,0.000502004846048,9.499597092314312e-05,0.0006412099105825
13,agent_llm_attempt_1,8.403229897841811,0.000231603879603,4.6322104016596485e-05,0.000549803495403,0.0001041806421611,0.0007003062415807
14,agent_llm_attempt_1,8.279776290990412,0.0002311575126399,4.720968938921163e-05,0.0005499151621535,0.0001018316994763,0.0006989565510191
15,agent_llm_attempt_1,7.586034242063761,0.0002108865540631,4.289951782779439e-05,0.0005159787461153,7.878450029464955e-05,0.0006376627642377
16,agent_llm_attempt_1,7.438872301019728,0.000214539356628,4.419860926630867e-05,0.0005091140183992,9.539520386477106e-05,0.0006487078315303
17,agent_llm_attempt_1,8.287512501934543,0.0002322304722314,4.652616606128223e-05,0.0005538798875548,0.0001017948312206,0.0007022008848367
18,agent_llm_attempt_1,8.293027360923588,0.0002336576376784,4.720746703801293e-05,0.0005571121123537,0.0001021966600583,0.0007065162394501
19,agent_llm_attempt_1,8.061249890131876,0.0002285653793527,5.301442443327712e-05,0.0005409018216084,9.720240898378608e-05,0.0006911186550255
20,agent_llm_attempt_1,7.405901616904885,0.0002157746865257,4.420907368144128e-05,0.0005137862443547,9.44478103263666e-05,0.0006524431283625
21,agent_llm_attempt_1,8.040084781125188,0.000228107149059,4.636141833683281e-05,0.0005462648814571,9.710679323114977e-05,0.0006897330930251
22,agent_llm_attempt_1,8.278017995879054,0.0002343440583519,4.718517761443223e-05,0.0005596040588002,0.0001018025497957,0.0007085917862104
23,agent_llm_attempt_1,7.412954438943416,0.0002182858774971,5.303220667561712e-05,0.0005120951319028,9.49089385433278e-05,0.0006600362771218
24,agent_llm_attempt_1,7.965768343070522,0.0002224145376511,4.65311026791736e-05,0.0005399132097068,8.607589410773169e-05,0.0006725202064937
25,agent_llm_attempt_1,8.085824719863012,0.0002295230254751,4.69465200082239e-05,0.0005490734948239,9.79942978909498e-05,0.000694014312723
