step,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,10.164471878902987,0.00026217254160914124,6.000714671756985e-05,0.0006141038246098462,0.0001186264714762831,0.0007927374428037631
1,4.874174577882513,0.0001216261259517,3.001294525630448e-05,0.0002824585592975,5.529234849252842e-05,0.0003677638530463
2,6.370320911984891,0.000176255667432,3.897839094792315e-05,0.0004095294942842,8.444063112320792e-05,0.0005329485163554
3,6.108360324054956,0.0001685756398139,3.7174576880453394e-05,0.0003932117034537,7.93399511196185e-05,0.0005097262314538
4,7.055970017099753,0.0001937927931104,4.2020112316057565e-05,0.000456015642591,8.794019170131327e-05,0.0005859759466083
5,6.279804296093062,0.0001795492079125,3.8561933710634525e-05,0.0004216397817629,8.27055587375071e-05,0.000542907274211
6,7.006962371990085,0.0001887120929439,4.109335971627236e-05,0.0004521936950894,7.732625606327525e-05,0.0005706133108689
7,6.513310317182913,0.0001906814444924,4.879024024558919e-05,0.0004409070193887,8.687082705113831e-05,0.0005765680866854
8,6.795931524829939,0.0001917462987567,4.204201548733924e-05,0.0004645739827751,7.317191396723503e-05,0.0005797879122296
9,7.463492136914283,0.0002108912551524,4.15123458262152e-05,0.0005003640114011,9.580062180757524e-05,0.0006376769790349
10,7.691673792898655,0.0002125757092376,4.404529163515395e-05,0.0005178793031888,8.084570869040262e-05,0.0006427703035143
11,8.29573150887154,0.000234090302475,4.6795801128366616e-05,0.0005588682248713,0.0001021604724403,0.00070782449844
12,7.464012707117945,0.0002151011957318,4.427774186549607e-05,0.0005103395749372,9.57893611882658e-05,0.000650406677991
13,27.79482444911264,0.0007950360242387001,0.00018322542327191927,0.0018874581766396,0.0003332860184302474,0.0024039696183418002
14,14.896345066139475,0.0004322225247091,0.00010670491919427419,0.0010091255295278001,0.00019109123291952227,0.0013069216816417
15,15.066313220886514,0.000426185831137,9.793567150508522e-05,0.0010157663681623998,0.0001749663458968927,0.0012886683855642999
16,8.512655965052545,0.0002339881373228,4.654730521846923e-05,0.0005546057214615,0.000106362552523,0.0007075155792031
17,8.285737650934607,0.0002300043748304,4.698845834340183e-05,0.0005464918260784,0.0001019894959663,0.0006954697803882
18,7.5855657290667295,0.0002082601429123,4.3191722628784434e-05,0.0005078065173549,7.872298145666718e-05,0.0006297212214403
19,7.424126839032397,0.0002118183389751,4.434669707815943e-05,0.0005010490119516,9.508451573912884e-05,0.0006404802247689
20,8.285614193882793,0.0002313715822906,4.688870349773317e-05,0.0005508118295338,0.0001019033055577,0.0006996038385893
21,7.734833003021777,0.0002124720727085,4.536329743684231e-05,0.0005154315234534,8.166211434937496e-05,0.0006424569352396
22,7.460411912063137,0.0002142699301566,4.421550029380032e-05,0.000507891795209,9.578586470193438e-05,0.0006478931602047
23,8.023906442103907,0.0002244319462621,4.683963842412195e-05,0.0005349345946044,9.68460605816088e-05,0.0006786202936101
24,8.291832298971713,0.0002316015295475,4.730865962371356e-05,0.0005508979407125,0.0001020925353248,0.0007002991356611
25,7.436677991179749,0.0002159852544263,5.2098244570351935e-05,0.0005056831823253,9.529840071077666e-05,0.0006530798276064
26,7.415789034916088,0.0002138493083887,4.458682727223533e-05,0.0005070626278751,9.49718608643808e-05,0.0006466213160117
27,8.2924752777908,0.0002353268099626,5.486873191405007e-05,0.0005546432214913,0.0001020514025734,0.0007115633559788
28,8.360540748108178,0.0002381368854743,5.565368213118138e-05,0.000561030726601,0.0001033758404056,0.0007200602491379
29,7.456610903842375,0.0002151585395088,4.3276423914157605e-05,0.0005115362425627,9.576740327692178e-05,0.0006505800697538
30,8.06634432496503,0.0002277364788259,5.374696120515024e-05,0.0005371176519233,9.774767536501817e-05,0.0006886122884934
31,8.12497153878212,0.0002293431741692,4.826528684876256e-05,0.0005466976595869,9.8507545552113e-05,0.0006934704919878
32,8.53211682010442,0.0002328221086804,4.655573822976989e-05,0.0005701435116662,8.729058035338919e-05,0.0007039898302494
33,7.427933492930606,0.0002150593165832,4.438341228791871e-05,0.0005107379085913,9.51587261192294e-05,0.0006502800469985
34,7.42723921709694,0.0002190938489342,5.36133858422452e-05,0.0005137123554206,9.515361859747728e-05,0.0006624793598603
35,7.407709856983274,0.000214223922614,4.229911129706229e-05,0.0005107481863717,9.470674841884628e-05,0.0006477540460876
36,8.274131008889526,0.0002345392046186,4.702255274440317e-05,0.0005604215594487,0.0001017377424946,0.0007091818546878
37,7.429487609071657,0.0002155716051359,4.465222982974883e-05,0.0005119587428978,9.521809353415545e-05,0.0006518290662617
38,7.401041697012261,0.0002145665371983,4.44165922493081e-05,0.0005097662411515,9.46071846759878e-05,0.0006487900180768
39,7.920344803016633,0.0002221641784157,4.575711888863435e-05,0.0005407215436861,8.528452665519178e-05,0.0006717631892299
40,8.279858944937587,0.000236236027004,5.482969294691829e-05,0.0005580857242506,0.0001013971602977,0.0007143125774953
41,7.390765232034028,0.0002150158658174,4.417541636696477e-05,0.0005118642983745,9.41089491275812e-05,0.0006501486638691
42,7.660866467980668,0.0002155106928085,4.429509302667949e-05,0.0005270909772292,8.025881393114106e-05,0.000651644884187
43,7.9658251910004765,0.0002233197398413,4.662546493661409e-05,0.0005424821006485,8.614972262229356e-05,0.0006752572882074
44,8.601609545061365,0.0002356573542141,4.69976467059803e-05,0.000576977961586,8.858722231945852e-05,0.0007125628306115
45,7.398094309959561,0.0002159065133684,4.414223053707804e-05,0.0005141809669026,9.45185389292116e-05,0.0006528417363689
46,7.433869158150628,0.0002165132660577,4.239131067506357e-05,0.000517140969265,9.514410918216324e-05,0.0006546763891222
47,7.395836988929659,0.0002153814456477,4.230148308489132e-05,0.0005148665229981,9.408607034387792e-05,0.0006512540764269
48,8.25864051003009,0.0002377345391551,5.417302308885258e-05,0.0005635698952985,0.0001011007464723,0.0007188436648598
49,7.747354374965653,0.0002184227151368,4.514044639807496e-05,0.0005336595936,8.164999639783572e-05,0.0006604500363959
