step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,6.704611290246248,0.0001649365820046,3.791105127584258e-05,0.0003893975337376,7.141413949688689e-05,0.0004987227245104
0,env_List_Files,1.011929449159652,9.146239231422927e-06,5.640206648550386e-06,1.2140009715722044e-05,9.875487986331185e-06,2.765570435060361e-05
1,agent_llm_attempt_1,6.474784716963768,0.0001798022699477,4.046394741833532e-05,0.0004168578334713,8.635068310605776e-05,0.0005436724639957
2,agent_llm_attempt_1,14.947524250950664,0.000412199456715,8.489596760560333e-05,0.0010090641405895,0.0001524173394039,0.0012463774475991
2,env_List_Files,1.0134185440838337,1.6770105180447285e-05,5.714478760853996e-06,3.5102528087804785e-05,9.89116500907888e-06,5.070817185773767e-05
3,agent_llm_attempt_1,7.379274976905435,0.0002173916686385,4.53300710595026e-05,0.0005177962475642,9.420611758638796e-05,0.00065733243621
3,env_Inspect_Script_Lines,1.013218796811998,1.6969673624230543e-05,5.758410505419955e-06,3.5705306345334975e-05,9.84789492795244e-06,5.131161177870737e-05
4,agent_llm_attempt_1,33.09829090675339,0.0009313474768596,0.0001799534357613,0.0022978126715855,0.0003383717407886,0.0028161378481355
4,env_Inspect_Script_Lines,1.0147664570249617,1.731568591743751e-05,5.2606944931151886e-06,3.716947418297423e-05,9.927688826185962e-06,5.235785750227538e-05
5,agent_llm_attempt_1,32.7325635952875,0.0009416400659669,0.00019207160602823886,0.0023149093519236,0.00034027884032619997,0.0028472597982781003
6,agent_llm_attempt_1,14.665160194970667,0.0004380519410668,8.626909205496343e-05,0.0010905205946443,0.0001477585419029,0.0013245482286022
7,agent_llm_attempt_1,9.08476720424369,0.0002523180300258,5.1305838421648105e-05,0.000603940760925,0.0001076935188987,0.0007629401182454
8,agent_llm_attempt_1,7.828856626991183,0.0002230279866906,4.8743069435032326e-05,0.0005420940447891,8.353799293852514e-05,0.0006743751071626
9,agent_llm_attempt_1,7.828561134170741,0.0002221611096078,4.8501168479593424e-05,0.0005397476540309,8.350508749071096e-05,0.0006717539100012
10,agent_llm_attempt_1,8.979412090033293,0.0002439660812348,5.084130706725802e-05,0.0005910782506362,9.576657136979824e-05,0.0007376861290732
11,agent_llm_attempt_1,18.494835272897035,0.0005499783289122,0.000105422984392,0.0013557016401222,0.0002018581248742,0.0016629827493885
