step,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,7.7165407394059,0.00017408282123602292,4.355125792439296e-05,0.00040153754345332205,8.128962748321808e-05,0.0005263784288610035
1,6.474784716963768,0.0001798022699477,4.046394741833532e-05,0.0004168578334713,8.635068310605776e-05,0.0005436724639957
2,15.960942795034498,0.0004289695618954473,9.061044636645732e-05,0.0010441666686773047,0.00016230850441297887,0.0012970856194568377
3,8.392493773717433,0.00023436134226273054,5.108848156492256e-05,0.000553501553909535,0.0001040540125143404,0.0007086440479887074
4,34.11305736377835,0.0009486631627770375,0.0001852141302544152,0.0023349821457684743,0.00034829942961478596,0.002868495705637775
5,32.7325635952875,0.0009416400659669,0.00019207160602823886,0.0023149093519236,0.00034027884032619997,0.0028472597982781003
6,14.665160194970667,0.0004380519410668,8.626909205496343e-05,0.0010905205946443,0.0001477585419029,0.0013245482286022
7,9.08476720424369,0.0002523180300258,5.1305838421648105e-05,0.000603940760925,0.0001076935188987,0.0007629401182454
8,7.828856626991183,0.0002230279866906,4.8743069435032326e-05,0.0005420940447891,8.353799293852514e-05,0.0006743751071626
9,7.828561134170741,0.0002221611096078,4.8501168479593424e-05,0.0005397476540309,8.350508749071096e-05,0.0006717539100012
10,8.979412090033293,0.0002439660812348,5.084130706725802e-05,0.0005910782506362,9.576657136979824e-05,0.0007376861290732
11,18.494835272897035,0.0005499783289122,0.000105422984392,0.0013557016401222,0.0002018581248742,0.0016629827493885
