step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,6.714176445733756,0.0001702740323294,3.9351123210627386e-05,0.0004042367122849,7.127386640576233e-05,0.0005148617019013
1,agent_llm_attempt_1,13.481482727918774,0.0003766966049294,8.992023107650974e-05,0.0008951523827818,0.0001539540037719,0.0011390266176303
1,env_Inspect_Script_Lines,1.0090387938544154,1.6622144266215196e-05,5.251130996346295e-06,3.518641703692538e-05,9.82323083638524e-06,5.026077886965692e-05
2,agent_llm_attempt_1,7.404500743374228,0.0001987027748629,4.225022828863278e-05,0.0004638917600061,9.468038866374022e-05,0.0006008223769585
3,agent_llm_attempt_1,7.751860643271357,0.0002168844935193,4.8500769333778784e-05,0.0005255393093221,8.175879990319826e-05,0.0006557988785591
3,env_Inspect_Script_Lines,1.0126078939065335,1.7678932658183535e-05,5.67777613863458e-06,3.795864147093653e-05,9.819797831328794e-06,5.34562154408999e-05
4,agent_llm_attempt_1,6.939802472945303,0.0001873546670516,4.40833228117957e-05,0.000446686746244,7.573876037495212e-05,0.0005665088294307
5,agent_llm_attempt_1,8.936535594053566,0.0002334381166964,5.079773679471877e-05,0.0005598760034644,9.517872829843934e-05,0.0007058524685575
5,env_Inspect_Script_Lines,1.0102090453729031,1.6905791145739983e-05,5.709142457281842e-06,3.5572806240224963e-05,9.836500088891222e-06,5.1118448786398026e-05
6,agent_llm_attempt_1,24.616799073293805,0.0007109044810662,0.0001400304831919,0.0017666508577747,0.0002428976993826,0.0021495790403493
7,agent_llm_attempt_1,73.40206474717706,0.0020950083124361,0.0004025350018026971,0.0051841652584413,0.0007480269467301999,0.0063347272069744
8,agent_llm_attempt_1,41.77771555632353,0.0012102164765847,0.00023465234964458815,0.0029960868412927002,0.00042862158345256893,0.0036593607743901
9,agent_llm_attempt_1,54.05905845575035,0.0015403293229888,0.00030040321938292044,0.0038078019351102995,0.0005493258023608,0.0046575309568542
10,agent_llm_attempt_1,73.37781946873292,0.0021824373708799,0.0004119604962799,0.0054396790739587,0.0007474489912544,0.0065990885614933
11,agent_llm_attempt_1,65.18595432536677,0.0019109388339239,0.00036129340234429996,0.0047594071408524,0.0006574513382368,0.005778151881433701
12,agent_llm_attempt_1,63.312798221129924,0.001874908936593,0.0003560402022985666,0.004662224563105499,0.0006509426457224,0.0056692074111266
13,agent_llm_attempt_1,57.66388039616868,0.0016948495451534,0.0003150782700525259,0.0042101083680989,0.0005995708445176,0.0051247574826693
14,agent_llm_attempt_1,48.44388177059591,0.0014129665019241,0.00026867255329502467,0.0035239675413832995,0.00047978082563490004,0.0042724209203133
15,agent_llm_attempt_1,70.8274443638511,0.0020925440760108,0.0003884580489762338,0.0052304344621205,0.0007083835247127001,0.0063272760358095
16,agent_llm_attempt_1,16.543513141106814,0.0004655629318076,9.152643476909502e-05,0.0011520870327785,0.0001641204078617,0.0014077338754093
17,agent_llm_attempt_1,8.001694205217063,0.0002358829696528,5.071358297228782e-05,0.0005761068497633,8.642459672410043e-05,0.0007132450294597
18,agent_llm_attempt_1,17.279268078971654,0.0004896051745391,9.352514578362313e-05,0.0011984295698539,0.0001884762694891,0.0014804309851266
19,agent_llm_attempt_1,8.16142841707915,0.0002365758138846,5.417830310130792e-05,0.0005619787829118,9.918291327517688e-05,0.0007153399992883
20,agent_llm_attempt_1,32.110805039294064,0.0009237551327653,0.0001778353231364,0.0022862798845864,0.0003290654862985,0.0027931806940213
21,agent_llm_attempt_1,15.20307775726542,0.0004412738617659,9.16128023092389e-05,0.0010753003046914,0.0001673773209952,0.0013342904279959
22,agent_llm_attempt_1,16.97100694011897,0.0004676204799266,9.383118446714252e-05,0.0011477323070749,0.000172391841783,0.0014139553333252
23,agent_llm_attempt_1,9.16504786675796,0.0002560372089836,5.950289050239736e-05,0.0006057193734534,0.0001089636254835,0.0007741858894394
24,agent_llm_attempt_1,33.01264955243096,0.0009432801463725,0.0001810584833878,0.0023445468756335,0.0003266135899699,0.0028522189489912
25,agent_llm_attempt_1,8.896663871593773,0.0002427657801155,5.16305664851706e-05,0.0005880974149192,9.432876819951668e-05,0.0007340567496039
26,agent_llm_attempt_1,16.11491921916604,0.0004607763257022,9.766562168875247e-05,0.0011203053406916,0.0001752895366012,0.0013932604989816
27,agent_llm_attempt_1,17.130671001039445,0.0004820473832223,0.0001018170865634,0.0011701323249866,0.0001856288975298,0.0014575783090799
28,agent_llm_attempt_1,15.903760394081472,0.0004502450223629,9.130744251978824e-05,0.0011086569980278,0.0001614523023056,0.0013614167428533
29,agent_llm_attempt_1,16.92555416561663,0.0004689911242633,9.428653021964938e-05,0.0011521592550565,0.0001716539984167,0.0014180997836929
30,agent_llm_attempt_1,16.25219561671838,0.0004625782682184,9.20027819434968e-05,0.0011288859030997,0.0001778203910229,0.0013987090760662
31,agent_llm_attempt_1,17.22280774731189,0.0004798442382716,9.452745074489976e-05,0.0011693414910354,0.0001870476647293,0.0014509166065096
32,agent_llm_attempt_1,15.261083742137998,0.0004398387141405,9.120736734567932e-05,0.0010700294671295,0.0001687141030017,0.0013299509374769
33,agent_llm_attempt_1,17.15473670931533,0.0004783469914605,0.0001002369771435,0.0011605631506625,0.0001855892173777,0.0014463893451838
34,agent_llm_attempt_1,15.249495421070606,0.0004403426359824,9.047082362194452e-05,0.0010725064135641,0.0001684974209289,0.001331474658115
35,agent_llm_attempt_1,17.13314937381074,0.0004779618810659,0.0001002649191432,0.0011595848165768,0.0001853751418672,0.0014452248775873
36,agent_llm_attempt_1,8.427625694777817,0.0002431369202244,5.934000985723092e-05,0.0005712643459077,0.0001045746191456,0.0007351789749105
37,agent_llm_attempt_1,7.968873844947666,0.0002349254753223,5.012108003252132e-05,0.0005739807369593,8.624801374713167e-05,0.000710349830739
