step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,5.993755509611219,0.0001577743866912,3.708840418026996e-05,0.0003725361313655,6.744168610312045e-05,0.0004770662216489
0,env_List_Files,1.0121998428367078,1.062828662990582e-05,5.236669100847276e-06,1.703306918443559e-05,9.867268560143808e-06,3.213700684542667e-05
1,agent_llm_attempt_1,6.576799844857305,0.0001786872762559,3.983049737258573e-05,0.0004319303455559,6.854018772590077e-05,0.0005403010306544
2,agent_llm_attempt_1,46.9982458059676,0.0013355537124961,0.0002583978600203,0.0033187934883756,0.00046115465181,0.0040383460002059
2,env_Edit_Script_(AI),18.462573247030377,0.0005275958494951,0.0001081970850768,0.0012860060288062,0.0002011011921878,0.0015953043060709
3,agent_llm_attempt_1,22.51503371214494,0.000670668689098,0.0001414470432388,0.0016452338161911,0.0002412362454691,0.0020279171048991
4,agent_llm_attempt_1,17.496518021915108,0.0004964467892825,9.29344757755429e-05,0.0012158245837667,0.0001923590812379,0.0015011181407802
5,agent_llm_attempt_1,15.179186148103328,0.0004518084703558,9.02898014175168e-05,0.001108497831268,0.0001673565456048,0.0013661441782904
6,agent_llm_attempt_1,16.86494379118085,0.0004721649645359,9.451784702450823e-05,0.0011628014858047,0.000170377268311,0.0014276966011402
7,agent_llm_attempt_1,21.994770797900856,0.0006327953547036,0.0001254216692556,0.001566999309162,0.0002209776110261,0.0019133985894438
8,agent_llm_attempt_1,16.88576197391376,0.00047852349839,9.311444947093226e-05,0.0011828562240623,0.0001709523799143,0.0014469230534476
9,agent_llm_attempt_1,15.7292937990278,0.0004557731977483,9.017273331907992e-05,0.0011296389592558,0.0001583207276391,0.001378132420214
10,agent_llm_attempt_1,15.365995158907026,0.0004503791981727,9.751367929499292e-05,0.0010938933751134,0.0001704153990799,0.0013618224534884
11,agent_llm_attempt_1,16.910760674159974,0.0004719381522002,9.423084197514137e-05,0.0011615200958772,0.0001712598453534,0.0014270107832058
12,agent_llm_attempt_1,15.14941952843219,0.0004514583112883,9.727211362954992e-05,0.0011012569921149,0.0001665562881208,0.0013650853938653
13,agent_llm_attempt_1,17.813150153961033,0.0004889602460877,9.539679203316368e-05,0.0012041487410812,0.0001789353662856,0.0014784808993999
14,agent_llm_attempt_1,15.362512378953395,0.0004540633949345,9.975418090786812e-05,0.0011027181043914,0.0001704901628726,0.0013729624481719
15,agent_llm_attempt_1,30.968264262657613,0.0008667353636875,0.0001654782266737,0.0021481403296377,0.0003071500855148,0.0026207686418263
16,agent_llm_attempt_1,15.816466142889112,0.0004515375709438,9.18489923272758e-05,0.0011136775576119,0.0001597985032596,0.0013653250531988
17,agent_llm_attempt_1,23.995167918037623,0.0006673049710815,0.0001329473191689,0.0016445713156656,0.0002402275146994,0.002017746149534
18,agent_llm_attempt_1,16.89163478091359,0.0004738551186019,9.375277408253502e-05,0.0011681631567626,0.0001708912299441,0.0014328071607892
19,agent_llm_attempt_1,16.227058929856867,0.0004610826850395,9.142494994483574e-05,0.001125335622504,0.0001774262726565,0.0013941868451054
20,agent_llm_attempt_1,17.801355015020818,0.0004930734033225,9.633044271935886e-05,0.0012159434727578,0.0001786440367435,0.0014909179522207
21,agent_llm_attempt_1,15.441884316969665,0.0004528185460441,8.954329766414121e-05,0.0011076244972088,0.000172030573659,0.001369198368532
22,agent_llm_attempt_1,17.627729727886617,0.0004878481248183,9.445547710136557e-05,0.0012053170753461,0.0001753455990239,0.0014751181514714
23,agent_llm_attempt_1,15.42610892187804,0.0004548734801069,8.798427922441585e-05,0.0011157428370438,0.0001716848059945,0.0013754119222628
24,agent_llm_attempt_1,17.341848447918892,0.0004885663201746,9.4272725807138e-05,0.0011935281770405,0.0001894888732595,0.0014772897761072
25,agent_llm_attempt_1,20.958309965673838,0.0006154828175111,0.0001221207249504,0.0015278870556301,0.0002110424722363,0.0018610502528169
26,agent_llm_attempt_1,17.888880021870136,0.0004930188403231,9.670672658410812e-05,0.0012134834707779,0.0001805627714001,0.0014907529687622
27,agent_llm_attempt_1,15.41870736842975,0.0004515719268636,9.08158942245344e-05,0.0011031692158667,0.0001714438259317,0.0013654289360229
28,agent_llm_attempt_1,17.582216857932508,0.0004843309974819,9.364163927933535e-05,0.001195896234492,0.0001749454548711,0.0014644833286425
29,agent_llm_attempt_1,15.568105911836028,0.0004484202249917,8.861836383217118e-05,0.001112029222952,0.0001552514722079,0.0013558990589921
30,agent_llm_attempt_1,16.11044648801908,0.0004650586882759,9.153179460024482e-05,0.0011393784115085,0.0001752989759616,0.0014062091820705
31,agent_llm_attempt_1,16.531280224677175,0.0004672261393812,9.134988198791986e-05,0.0011570092589465,0.0001644038153644,0.0014127629562989
32,agent_llm_attempt_1,15.38358185812831,0.0004536994847912,9.850481434124196e-05,0.0011024008819191,0.0001709563880266,0.001371862084287
33,agent_llm_attempt_1,18.265228723175824,0.0005018563884776,9.72249459326404e-05,0.001222817367136,0.0001974329633832,0.0015174752764519
34,agent_llm_attempt_1,15.356147385202348,0.0004580631279072,8.956288686667569e-05,0.0011251789557036,0.0001703146947431,0.0013850565373134
35,agent_llm_attempt_1,28.627032523043454,0.0008082547715167,0.0001527377741369,0.0020099635524246,0.00028123813702,0.0024439394635815
36,agent_llm_attempt_1,15.235687457956374,0.0004475785233655,9.033649684509824e-05,0.0010948850425762,0.0001681324460453,0.0013533539854666
37,agent_llm_attempt_1,16.54607202997431,0.0004647417614775,8.940174789199004e-05,0.0011517025880323,0.0001641465469354,0.0014052508828597
38,agent_llm_attempt_1,15.352144340984523,0.0004484693474241,8.988378853687826e-05,0.0010956547654217,0.0001705090377182,0.0013560475916768
39,agent_llm_attempt_1,15.265099262818694,0.000453862534528,9.60115363472512e-05,0.0011077806084358,0.0001685629569291,0.0013723551017122
40,agent_llm_attempt_1,17.368730236310512,0.0004822574065575,9.382361287269884e-05,0.0011742437171733,0.0001901460316627,0.0014582133617087
41,agent_llm_attempt_1,15.614122478291392,0.000446867049096,9.095352585111696e-05,0.0011042583834068,0.0001559907742853,0.0013512026835433
42,agent_llm_attempt_1,17.60305733093992,0.000483621935281,9.40849585845524e-05,0.0011934590103095,0.000174795351255,0.0014623393201491
43,agent_llm_attempt_1,15.33852329896763,0.000450137382568,9.962195414522698e-05,0.001091561984353,0.0001699073313088,0.0013610912698071
44,agent_llm_attempt_1,16.690628121141344,0.0004681468516983,9.098799840319126e-05,0.0011573606481078,0.0001671982898467,0.0014155469363578
45,agent_llm_attempt_1,15.434873338788748,0.0004576168217885,9.780545988639146e-05,0.0011142489469477,0.0001716526238946,0.0013837070307287
46,agent_llm_attempt_1,16.130954247899354,0.0004627038112431,9.209280242323598e-05,0.0011315103496514,0.0001754855314657,0.0013990886835404
47,agent_llm_attempt_1,17.224127672147006,0.0004818819240013,0.0001026955176979,0.0011672464893592,0.0001871359989823,0.0014570780060395
48,agent_llm_attempt_1,15.851828043814749,0.0004473180810209,9.115626841304816e-05,0.0011009047696006,0.0001605054416486,0.0013525664796624
49,agent_llm_attempt_1,16.942680819891393,0.0004729566265788,9.355490527363595e-05,0.0011646342650379,0.0001719011984584,0.00143009036877
