step,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,6.889263160992414,0.0001809028500339,4.086141284013187e-05,0.000431447289614,7.469161211564724e-05,0.0005470003145698
1,15.498616051860155,0.00042161943361171395,8.981575902122687e-05,0.0010116385870872452,0.0001734065130275172,0.0012748608591360273
2,8.222104172687978,0.0002267883828469,5.363654827201035e-05,0.0005314487584939,0.0001006602010288,0.0006857455077948
3,10.099082191009074,0.0002711060542979888,5.8700339594037776e-05,0.000643586903763,0.00011746267741538513,0.0008197499207725661
4,7.901720273774117,0.0002244594523818,4.926021893645645e-05,0.000544497935607,8.494530998480817e-05,0.0006787034645283
5,9.976242991164327,0.0002511157534906882,5.617026718245777e-05,0.0005975296446933918,0.00010560485378761466,0.000759304765663434
6,7.171337841078639,0.0002124998941144,5.301101661654149e-05,0.0004994098439823,9.012019889713784e-05,0.000642541059496
7,8.784781588241458,0.00023996893361690467,5.29085685573842e-05,0.0005806604645073259,9.203082426683979e-05,0.0007255998573314713
8,17.471363600343466,0.000481712707087764,9.459354233843831e-05,0.0011704992697189357,0.00019147352871555607,0.0014565663407730613
9,23.607523853890598,0.0006952454887083,0.00014140994783943164,0.0017087122002976,0.00025210841901776023,0.0021022305671548
10,27.529036059509963,0.0007585144145873199,0.00015925069627753058,0.0018261834053702247,0.00030810424397402275,0.002293538345621832
11,17.22921415604651,0.00048390794495549997,0.00010324155776123112,0.0011530187001937,0.00020694387655104427,0.001463204134506
12,8.883759372401983,0.0002424386957817386,5.316629258341781e-05,0.0005858024130844028,9.409903114040694e-05,0.000733067736808222
13,8.978767833206803,0.0002470198401585,5.219447108511518e-05,0.000598721034521,9.600434804128278e-05,0.0007469198536474
14,8.87213095696643,0.0002438665401882337,5.449740350812092e-05,0.0005889429711771335,9.394476972261652e-05,0.0007373851444078999
15,9.901987763121724,0.00026227767020631584,5.616722526609565e-05,0.0006327149506119698,0.00010417314680267334,0.0007930553226807567
16,17.66809317097068,0.0004939002947924,0.00010143280209736768,0.0011769820526978001,0.0002150033891239,0.0014934182439191
17,44.12809275928885,0.0012512511222545,0.00024365914628861574,0.0030854835794968003,0.00045429549727629996,0.0037834382230618998
18,17.214712862856686,0.00047772993753221097,0.00010252829930292384,0.0011546809237614722,0.00018731432126105265,0.0014445235443254077
19,10.130296220071614,0.00027055922618713805,5.791847803849552e-05,0.0006419655135800207,0.00011821247179493623,0.0008180964634135492
20,31.179123375099152,0.0009059300701175,0.00019178753276829819,0.0022163984397991,0.0003310966492358,0.0027392826218032
21,50.81842422904447,0.0014155415588994159,0.0002888795075387055,0.003456455542902615,0.0005348721318088359,0.004280207182250285
22,34.67256505927071,0.0009677978788748784,0.00019156658498439003,0.002385285797117727,0.000349501426504928,0.0029263538086072146
23,32.74530578311533,0.000941007034887487,0.00019356896053176077,0.0022912048885216814,0.000360571837868818,0.0028453456869222526
