step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,7.334077499806881,0.0001901289242302,5.15813806895021e-05,0.0004302156219608,9.310041518054076e-05,0.0005748974178309
0,env_Execute_Script,3.486914449837059,5.03183269594091e-05,2.343122999178181e-05,7.093366785682065e-05,5.778384204281288e-05,0.0001521487398914
1,agent_llm_attempt_1,7.961353503167629,0.0002081456798762,4.7051564359890594e-05,0.0004970523420979,8.527121033726467e-05,0.0006293751167951
2,agent_llm_attempt_1,15.7432259619236,0.0004229097159971,8.79178965474307e-05,0.001032448325958,0.0001583960946261,0.0012787623171316
2,env_Inspect_Script_Lines,1.0106532098725438,1.5711084694288708e-05,5.214032193153856e-06,3.245502595916605e-05,9.836927897089888e-06,4.7505986049409794e-05
3,agent_llm_attempt_1,16.323490276001394,0.0004548107920672,0.0001009064974742,0.001094870875903,0.0001794449975468,0.0013752223709241
4,agent_llm_attempt_1,8.323074133135378,0.000238318823602,5.711102876713371e-05,0.0005610157265749,0.0001024836245044,0.0007206103798465
4,env_Edit_Script_(AI),27.302621060982347,0.0007771361325561,0.0001517518223645,0.0019132520861404,0.0002848413752598,0.0023498452837649
5,agent_llm_attempt_1,34.296036910731345,0.0009582906582706,0.00019108733240400254,0.0023351993681330003,0.0003713198956282,0.0028976065961653
5,env_Edit_Script_(AI),28.18634301610291,0.0007973316455747,0.0001533161777027,0.0019653732389883,0.0002922215272995,0.0024109109439906
6,agent_llm_attempt_1,15.480217162054032,0.0004601773552192,8.977150478889363e-05,0.0011290220143251,0.0001726558583594,0.0013914493774735
6,env_Edit_Script_(AI),28.983546420000494,0.0008097167642443,0.0001562444643388,0.0020038399364068,0.000288275725538,0.0024483601262837
7,agent_llm_attempt_1,15.585645917803047,0.0004484398020348,8.926403489366426e-05,0.0011138839466724,0.0001528102730038,0.0013559582545699
8,agent_llm_attempt_1,17.270904568955302,0.0004895316903054,9.427067106245676e-05,0.0011977237359559,0.0001882143820571,0.0014802087890755
9,agent_llm_attempt_1,8.226267453283072,0.000238854096095,5.0564951851683647e-05,0.00057096795679,0.0001006959875631,0.0007222288962048
10,agent_llm_attempt_1,15.506831193808466,0.0004549119590745,8.86102515567817e-05,0.0011134903352569,0.0001734276852324,0.0013755282720462
11,agent_llm_attempt_1,9.616696455981582,0.0002597316369832,5.229539960957511e-05,0.000634520507603,9.854091335113884e-05,0.0007853568205637
12,agent_llm_attempt_1,27.126921431161463,0.000799472286577,0.0001550210137425,0.0019808396402112,0.0002815229979097,0.0024173836518636
13,agent_llm_attempt_1,17.686484843026847,0.0004922973403191,9.534931568790453e-05,0.0012161745840586,0.0001770474520369,0.0014885713517835
14,agent_llm_attempt_1,8.025204566307366,0.0002372947208269,5.028758378560965e-05,0.0005707835121881,9.64426795900282e-05,0.0007175137755638
15,agent_llm_attempt_1,8.020583278033882,0.0002357780557683,5.045716076343044e-05,0.0005659276749696,9.654296308160864e-05,0.0007129277988146
16,agent_llm_attempt_1,9.300436478108168,0.000258186393103,5.149141364241493e-05,0.0006172821604906,0.0001119108552087,0.0007806844293417
17,agent_llm_attempt_1,8.0185795170255,0.0002352437292995,5.0285748104533566e-05,0.0005642518402879,9.677455457988094e-05,0.0007113121429723
18,agent_llm_attempt_1,8.036633282899857,0.0002349837440576,5.092122298046272e-05,0.0005624982277652,9.710656857480192e-05,0.0007105260193204
19,agent_llm_attempt_1,8.832954853773117,0.000246197966157,5.076916287468934e-05,0.0006004799248273,9.318564568723864e-05,0.0007444347333892
20,agent_llm_attempt_1,8.841899731662124,0.0002461332511698,5.092258681951921e-05,0.0005999185354994,9.339793080127696e-05,0.0007442390531202
21,agent_llm_attempt_1,8.02770262490958,0.0002382731886022,5.624274419387891e-05,0.0005672235093214,9.700613868060624e-05,0.0007204723921959
22,agent_llm_attempt_1,8.517747725825757,0.0002465485880507,5.834386421159784e-05,0.0005806924090023,0.0001064586440592,0.0007454949172732
23,agent_llm_attempt_1,8.029617321211845,0.0002343787336448,4.941664300570263e-05,0.0005623332276485,9.694676407638731e-05,0.0007086966347306
24,agent_llm_attempt_1,8.42264103377238,0.0002457336688843,4.847648292314362e-05,0.0005900335275867,0.0001045208160079,0.0007430308265179
25,agent_llm_attempt_1,7.973593184258789,0.0002318308409306,4.943962914411938e-05,0.0005651951743885,8.635770649287024e-05,0.0007009925100255
26,agent_llm_attempt_1,8.814077531918883,0.0002461703151911,5.011123009777801e-05,0.0006014740922779,9.276580212042772e-05,0.0007443511244961
27,agent_llm_attempt_1,8.158667736221105,0.0002427874714623,5.726244270887999e-05,0.0005773110174089,9.954887813526308e-05,0.0007341223382531
28,agent_llm_attempt_1,7.989797234069556,0.0002316142369201,4.913429691123429e-05,0.0005645529516442,8.665031069475744e-05,0.0007003375592502
29,agent_llm_attempt_1,8.751432952936739,0.0002442951633504,5.0018102928704576e-05,0.0005971526999246,9.151037975680084e-05,0.0007386811826101
30,agent_llm_attempt_1,8.897969688288867,0.0002484611376874,5.125255759974257e-05,0.0006059713181088,9.405406406925372e-05,0.0007512779397777
31,agent_llm_attempt_1,8.016909618861973,0.0002374698639847,5.60697025010104e-05,0.0005652123966228,9.676126103408429e-05,0.0007180433601579
32,agent_llm_attempt_1,8.98354543093592,0.000248570749741,5.22985904545345e-05,0.0006034071493843,9.590363655135864e-05,0.0007516093763902
33,agent_llm_attempt_1,8.948453032877296,0.0002475946805386,5.2030273355177423e-05,0.0006015988146117,9.502892441426717e-05,0.0007486580123811
34,agent_llm_attempt_1,8.064643896184862,0.0002334928542854,4.972365173433744e-05,0.000558975447177,9.73188810153968e-05,0.0007060179799268
35,agent_llm_attempt_1,9.16242476599291,0.0002536494329707,5.8513463497329934e-05,0.0005993702017264,0.0001090822482455,0.0007669659134693
