step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,18.924158660927787,0.0005142882745982,0.0001023076818328,0.0012619848984698,0.0001907732903129,0.0015550658706157
0,env_Execute_Script,3.1432946778368205,4.6150882075588586e-05,2.248257998186067e-05,6.593977497715287e-05,5.112518123674414e-05,0.0001395475361957
1,agent_llm_attempt_1,5.91946551320143,0.0001582108534303,3.732809452952616e-05,0.0003750336333609,6.602424877346494e-05,0.0004783859766639
2,agent_llm_attempt_1,6.895484431181103,0.0001868946968707,4.107488030596749e-05,0.0004488545257501,7.51886004349217e-05,0.000565118006491
2,env_Inspect_Script_Lines,1.0116201150231063,1.0004520337790338e-05,5.324523108967624e-06,1.506612316859446e-05,9.860263372926663e-06,3.0250909650488747e-05
3,agent_llm_attempt_1,7.511121354997158,0.0002116982468005,4.475806240393236e-05,0.0004986998434048,9.665919335287376e-05,0.0006401170991616
3,env_Edit_Script_(AI),25.69942681095563,0.0007337092947977,0.0001372158872808,0.0018273275729754,0.000253991045872,0.0022185345061282
4,agent_llm_attempt_1,14.844969283090904,0.00041231518508600003,9.012560605486388e-05,0.0009960757968485,0.00016052597536472606,0.001246727378268
4,env_Inspect_Script_Lines,1.0102922071237117,1.0330120433208973e-05,5.570331661843899e-06,1.5824734887814884e-05,9.84036796920312e-06,3.1235434518861906e-05
5,agent_llm_attempt_1,14.372040880843997,0.0004038058996002,8.519590127544986e-05,0.0009551985419306,0.00018060320312765222,0.0012209976463337
6,agent_llm_attempt_1,8.284199112094939,0.0002347498283564,5.498411064250327e-05,0.0005533171093219,0.0001015175028037,0.0007098187227682
6,env_Edit_Script_(AI),24.00059923017397,0.0007109172507345,0.0001342562006746,0.0017749466977363,0.0002404147538925,0.0021496176523035
7,agent_llm_attempt_1,15.207781621953472,0.0004319457382129,9.717862096640847e-05,0.0010314713807346,0.00017743475393046731,0.0013060847556315
7,env_Edit_Script_(AI),23.56975561613217,0.0007046041791825,0.00012951919625,0.0017689136373491,0.0002320958318576,0.0021305286654568
8,agent_llm_attempt_1,15.490304653067142,0.0004456589672869,9.629460425428456e-05,0.0010584611245505,0.00019279404860952419,0.0013475497774143
8,env_Edit_Script_(AI),24.545373158995066,0.0007183143975568,0.0001318726516769,0.0017989222724708,0.0002411896595666,0.0021719845837144
9,agent_llm_attempt_1,15.8285001530312,0.00044463202791119997,9.175503830008422e-05,0.001072731135963,0.00017995842177123347,0.0013444445960343
9,env_Edit_Script_(AI),23.70515127596445,0.0007000823753282,0.0001284650283792,0.0017533647360252,0.0002350262135836,0.0021168559779881
10,agent_llm_attempt_1,15.645547366933897,0.000452823656748,0.00010772516234795632,0.001065802241534,0.0001956864180087869,0.0013692138218909002
10,env_Edit_Script_(AI),24.386473475024104,0.0007183819585896,0.0001341525643975,0.0017802892020171,0.0002577471032253,0.00217218886964
11,agent_llm_attempt_1,14.362443139078096,0.00039679759930580003,8.38600104577595e-05,0.0009647682718138,0.0001511781972845913,0.0011998064795562
11,env_Inspect_Script_Lines,1.0120651540346444,9.936857161644688e-06,5.271366586867065e-06,1.4963067535234131e-05,9.81188074931399e-06,3.0046314871415183e-05
12,agent_llm_attempt_1,7.233132615918294,0.0002077603808698,4.4497057122093e-05,0.0004923251160775,9.138790568880118e-05,0.0006282100788884
13,agent_llm_attempt_1,7.70520295901224,0.0002153474984773,4.4209988631159e-05,0.000525858754024,8.108268689312454e-05,0.0006511514295482
14,agent_llm_attempt_1,8.307863896014169,0.0002331877819747,4.7090111414619255e-05,0.0005556829445509,0.0001023224694512,0.0007050955254168
15,agent_llm_attempt_1,7.436791768064722,0.0002170190382476,5.259915853456252e-05,0.0005085642957425,9.50422504250633e-05,0.0006562057047021
16,agent_llm_attempt_1,7.471043101046234,0.0002152389514667,4.437895117008684e-05,0.0005106137418238,9.583052033817188e-05,0.000650823213332
17,agent_llm_attempt_1,8.061809529084712,0.0002261366893668,4.707198721728168e-05,0.0005391279313045,9.757504796596348e-05,0.0006837749664877
18,agent_llm_attempt_1,8.508098372956738,0.0002377300557104,4.617082489980825e-05,0.0005665518421338,0.0001061074411263,0.00071883010816
19,agent_llm_attempt_1,7.455014040926471,0.0002189036792288,5.483457464328529e-05,0.0005116829093481,9.538685513996624e-05,0.0006619043391313
20,agent_llm_attempt_1,7.420127796009183,0.0002166404606372,5.34578757448931e-05,0.0005066112386202,9.499187607757954e-05,0.0006550609904427
21,agent_llm_attempt_1,8.288403152953833,0.0002354098266547,5.509849313649441e-05,0.0005547290548975,0.0001019868275208,0.0007118143755548
22,agent_llm_attempt_1,8.301421877928078,0.0002352953415651,5.538501758935429e-05,0.0005537921096987,0.0001022910769375,0.0007114682042256
23,agent_llm_attempt_1,7.848781765904278,0.0002186780779278,4.6665107967882384e-05,0.0005306212578233,8.393581724053045e-05,0.0006612221830317
24,agent_llm_attempt_1,7.438515108078718,0.0002141067685702,4.460225467802793e-05,0.0005076695727979,9.512797710162384e-05,0.0006473998045775
25,agent_llm_attempt_1,8.178113190922886,0.0002291947752934,4.6319131480974215e-05,0.0005472221044442,9.948053879973787e-05,0.0006930217747249
26,agent_llm_attempt_1,8.293013229034841,0.0002328094307374,4.694472397926222e-05,0.0005550440551473,0.0001019627165204,0.0007039514956471
27,agent_llm_attempt_1,7.481028003850952,0.0002166316840767,4.4139843216718914e-05,0.0005146926339776,9.620197535065623e-05,0.000655034452545
28,agent_llm_attempt_1,7.448983675101772,0.0002188561358422,5.509479247931246e-05,0.0005110229088174,9.564287974887216e-05,0.0006617605810456
29,agent_llm_attempt_1,7.431839921046048,0.0002149347031705,4.2435080000483705e-05,0.0005124048543692,9.506331604465636e-05,0.0006499032504143
30,agent_llm_attempt_1,8.294972500996664,0.0002331914812783,4.702498252511562e-05,0.0005561329449079,0.0001019487836572,0.0007051067110903
31,agent_llm_attempt_1,7.468412528047338,0.0002192974655974,5.493283563864308e-05,0.0005124956877793,9.566651706182812e-05,0.0006630950404798
32,agent_llm_attempt_1,7.470056707039475,0.0002202165191555,5.67492980803966e-05,0.0005131445771837,9.598012964512844e-05,0.0006658740049092
33,agent_llm_attempt_1,8.292089862981811,0.0002332378327589,4.677025113868769e-05,0.0005564698896236,0.0001020067244186,0.0007052468651809
34,agent_llm_attempt_1,8.357353236991912,0.0002386230609488,5.539554654364119e-05,0.0005632485061539,0.0001028862569584,0.000721530309656
35,agent_llm_attempt_1,7.430059207836166,0.0002145958701295,4.414240662034236e-05,0.0005096612410611,9.507506508768228e-05,0.0006488787127691
36,agent_llm_attempt_1,7.746752914041281,0.0002157540826729,4.486240000405062e-05,0.0005256206982764,8.189772971478913e-05,0.0006523808279952
37,agent_llm_attempt_1,7.99777282983996,0.0002228883816307,4.74154743243301e-05,0.0005397662651489,8.677124049993129e-05,0.0006739529799732
38,agent_llm_attempt_1,8.277893207967281,0.0002344507524477,5.472960773166532e-05,0.0005526454421129,0.0001015393498786,0.0007089143997233
39,agent_llm_attempt_1,7.418028854997829,0.0002139941200522,4.4592609015405193e-05,0.0005074842948644,9.49822826543823e-05,0.0006470591865342
40,agent_llm_attempt_1,7.42434953385964,0.000213997537141,4.37052187593021e-05,0.0005082642955045,9.510000460431912e-05,0.0006470695188681
